District Name,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,TestsTakers,TestsTaken,OneTest,TwoTests,ThreeTests,FourTests,FiveorMoreTests,Unnamed:9,Score=1,Score=2,Score=3,Score=4,Score=5,PercentScore12,PercentScore35,TotalNumofClasses,AverageClassSize,NumberofStudents,FemalePercent,MalePercent,EnglishLanguageLearnerPercent,StudentswithDisabilitiesPercent,EconomicallyDisadvantagedPercent,NumEnrolledGrades09through12,NumDropoutAllGrades,PercentDropoutAllGrades,PercentDropoutGrade09,PercentDropoutGrade10,PercentDropoutGrade11,PercentDropoutGrade12,NuminCohort,PercentGraduated,PercentStillinSchool,PercentNonGradCompleters,PercentHSEquiv,PercentDroppedOut,PercentPermanentlyExcluded,HighSchoolGraduatesNum,AttendingCollUnivNum,AttendingCollUnivPercent,PrivateTwoYearPercent,PrivateFourYearPercent,PublicTwoYearPercent,PublicFourYearPercent,MACommunityCollegePercent,MAStateUniversityPercent,UnivofMassPercent,Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,WFNum,WFPercent,StudentIncluded,CPI,SGP,IncludedInSGP,InDistrictExpenditures,TotalIndistrictFTEs,InDistrictExpendituresperPupil,TotalExpenditures,TotalPupilFTEs,TotalExpendituresperPupil,Unnamed:8,ReadingWriting,Writing,Math,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,TotalNumofTeachers,PercentofTeachersLicensedinTeachingAssignment,TotalNumofClassesinCoreAcademicAreas,PercentofCoreAcademicClassesTaughtbyTeachersWhoareHighlyQualified,StudentTeacherRatio,SalaryTotals,AverageSalary,FTECount
Abby Kelley Foster Charter Public (District),0.0,117.0,116.0,113.0,117.0,122.0,118.0,115.0,123.0,120.0,101.0,88.0,84.0,91.0,0.0,1425.0,49.8,4.1,22.3,20.8,0.1,0.1,2.8,46.5,53.5,,,,,,,,,,,,,,,,     707,18.9,"      1,425",52.8,47.2,7.9,12.4,34.9,     356,       4,1.1,2.1,1.2,0.0,1.2,        82,97.6,0.0,0.0,1.2,1.2,0.0,76.0,63.0,82.9,0.0,27.0,30.2,42.9,30.2,22.2,11.1,SCIENCE AND TECH/ENG,168.0,53.0,73.0,23.0,95.0,30.0,122.0,38.0,29.0,9.0,319.0,78.4,,,,,,,,,,539.0,,517.0,4450000.0,913.0,64.1,137.0,171.0,12.0,751.0,52.7,568.0,107.0,95.3,590.0,99.2,13.4 to 1,,,
Academy Of the Pacific Rim Charter Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,39.0,92.9,0.0,56.4,20.5,23.1,20.5,20.5,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy Of the Pacific Rim Charter Public (District),0.0,0.0,0.0,0.0,0.0,0.0,80.0,76.0,76.0,81.0,69.0,56.0,48.0,38.0,0.0,524.0,59.7,1.3,27.9,8.8,0.0,0.2,2.1,49.2,50.8,      50,      73,      27,      23,       0,       0,       0,,      14,      28,      26,       4,       1,57.5,42.5,     123,22.8,        516,52.9,47.1,13.0,25.6,31.8,     211,       0,0.0,0.0,0.0,0.0,0.0,        47,93.6,2.1,0.0,2.1,2.1,0.0,,,,,,,,,,,SCIENCE AND TECH/ENG,67.0,33.0,13.0,6.0,54.0,26.0,94.0,46.0,45.0,22.0,206.0,65.0,,,,,,,,,,,,,4120000.0,150.0,28.6,63.0,137.0,26.1,333.0,63.5,207.0,44.0,78.2,115.0,90.4,11.9 to 1,,,
Advanced Math and Science Academy Charter (District),0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,158.0,159.0,158.0,149.0,121.0,104.0,0.0,993.0,1.9,17.4,5.4,68.2,0.2,0.0,6.8,52.4,47.6,     226,     368,     128,      61,      30,       7,       0,,      18,      41,      98,      99,     112,16.0,84.0,     475,19.4,        973,47.8,52.2,1.2,5.0,5.8,     498,       0,0.0,0.0,0.0,0.0,0.0,       127,97.6,0.8,0.0,1.6,0.0,0.0,128.0,115.0,89.8,0.0,53.9,7.0,39.1,7.0,7.8,13.0,SCIENCE AND TECH/ENG,239.0,85.0,118.0,42.0,121.0,43.0,35.0,12.0,7.0,2.0,281.0,94.0,,,,,,,,,,613.0,,645.0,4300000.0,237.0,23.9,94.0,53.0,5.3,200.0,20.1,67.0,78.0,88.9,371.0,100.0,12.1 to 1,,,
Alma del Mar Charter School (District),0.0,50.0,49.0,46.0,47.0,46.0,46.0,46.0,44.0,39.0,0.0,0.0,0.0,0.0,0.0,413.0,12.8,0.5,50.8,29.3,0.7,0.0,5.8,45.5,54.5,,,,,,,,,,,,,,,,      50,46.4,        320,54.1,45.9,11.9,17.5,53.8,,,,,,,,,,,,,,,,,,,,,,,,,SCIENCE AND TECH/ENG,11.0,29.0,4.0,11.0,7.0,18.0,21.0,55.0,6.0,16.0,38.0,69.1,,,,,,,,,,,,,4090000.0,96.0,23.2,91.0,65.0,15.7,299.0,72.4,241.0,33.0,60.7,82.0,51.2,9.8 to 1,,,
Amesbury Academy Charter Public (District),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argosy Collegiate Charter School (District),0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,103.0,102.0,90.0,0.0,0.0,0.0,0.0,398.0,10.6,2.0,18.8,62.1,0.5,0.5,5.5,53.0,47.0,,,,,,,,,,,,,,,,      84,26.7,        310,46.5,53.5,14.2,22.9,48.7,,,,,,,,,,,,,,,,,,,,,,,,,SCIENCE AND TECH/ENG,28.0,29.0,0.0,0.0,28.0,29.0,33.0,34.0,35.0,36.0,96.0,57.8,,,,,,,,,,,,,35090000.0,98.0,24.6,91.0,86.0,21.6,267.0,67.1,219.0,26.0,73.1,72.0,86.1,11.8 to 1,,,
Assabet Valley Regional Vocational Technical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,284.0,275.0,254.0,0.0,1113.0,0.6,0.4,14.1,82.2,0.4,0.0,2.3,59.5,40.4,      62,      76,      48,      14,       0,       0,       0,,      23,      27,      18,       6,       2,65.8,34.2,     611,16.2,"      1,102",42.4,57.6,2.0,29.6,20.5,"   1,103",       4,0.4,0.0,0.7,0.4,0.4,       264,98.1,0.8,0.0,0.0,1.1,0.0,237.0,122.0,51.5,0.8,31.1,40.2,27.9,36.9,19.7,1.6,SCIENCE AND TECH/ENG,228.0,86.0,73.0,28.0,155.0,59.0,32.0,12.0,4.0,2.0,264.0,94.6,,,"      $20,729,926.00","      1,045.7","         $19,823.97","      $20,779,735.00","      1,045.7","         $19,871.60",,504.0,,494.0,8010000.0,168.0,15.1,32.0,327.0,29.4,540.0,48.5,275.0,108.0,99.1,344.0,100.0,10.3 to 1,"      $8,686,073","  $78,750",    110
Atlantis Charter (District),0.0,107.0,106.0,106.0,106.0,106.0,110.0,110.0,109.0,109.0,75.0,59.0,66.0,43.0,0.0,1212.0,5.0,1.7,10.8,78.4,0.1,0.0,4.0,46.9,53.1,      17,      22,      12,       5,       0,       0,       0,,       8,       8,       5,       1,       0,72.7,27.3,     515,22.8,"      1,102",53.1,46.9,6.2,12.3,38.8,     187,       1,0.5,1.6,0.0,0.0,,,,,,,,,,,,,,,,,,,SCIENCE AND TECH/ENG,128.0,51.0,27.0,11.0,101.0,40.0,101.0,40.0,21.0,8.0,250.0,79.1,,,,,,,,,,527.0,,500.0,4910000.0,229.0,18.9,112.0,145.0,12.0,659.0,54.4,526.0,82.0,83.9,359.0,98.9,13.5 to 1,,,
Barnstable Community Horace Mann Charter Public (District),0.0,85.0,78.0,75.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.0,17.3,3.3,24.1,49.8,0.7,0.0,4.9,50.8,48.9,,,,,,,,,,,,,,,,      82,21.0,        282,49.3,50.7,15.6,11.3,36.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4270000.0,125.0,40.7,64.0,28.0,9.1,172.0,56.0,126.0,22.0,100.0,107.0,100.0,13.2 to 1,,,
