Rank,Municipality,Type,County,Per capita income,Median household income,Median family income,Population,Number of households
1,Weston,Town,Middlesex,"$105,217","$192,563","$250,000+","11,538","3,769"
2,Dover,Town,Norfolk,"$89,476","$187,829","$193,750","5,677","1,891"
3,Carlisle,Town,Middlesex,"$77,585","$160,034","$175,833","4,918","1,745"
4,Sherborn,Town,Middlesex,"$73,420","$153,444","$164,063","4,169","1,427"
5,Sudbury,Town,Middlesex,"$72,744","$170,924","$186,507","17,922","5,783"
6,Wellesley,Town,Norfolk,"$72,046","$159,167","$186,518","28,504","8,544"
7,Winchester,Town,Middlesex,"$70,876","$141,849","$163,012","21,621","7,546"
8,Manchester-by-the-Sea,Town,Essex,"$70,075","$115,650","$145,409","5,185","2,055"
9,Lexington,Town,Middlesex,"$69,959","$139,561","$164,480","31,886","11,541"
10,Boxford,Town,Essex,"$69,734","$125,833","$141,563","8,040","2,752"
11,Wayland,Town,Middlesex,"$75,144","$121,036","$204,033","13,166","5,084"
12,Concord,Town,Middlesex,"$68,934","$134,705","$160,205","18,442","6,493"
13,Brookline,Town,Norfolk,"$65,340","$96,488","$150,351","58,738","25,403"
14,Norwell,Town,Plymouth,"$64,205","$123,944","$152,222","10,560","3,468"
15,Newton,City,Middlesex,"$63,872","$119,148","$154,787","86,241","31,295"
16,Needham,Town,Norfolk,"$63,117","$127,753","$160,644","29,240","10,519"
17,Westwood,Town,Norfolk,"$62,949","$128,984","$157,656","14,714","5,325"
18,Southborough,Town,Worcester,"$62,663","$143,581","$163,400","9,807","3,266"
19,Medfield,Town,Norfolk,"$62,076","$133,931","$144,263","12,136","4,150"
20,Lincoln,Town,Middlesex,"$62,061","$126,395","$133,125","6,470","2,204"
21,Boxborough,Town,Middlesex,"$61,461","$101,502","$169,875","5,048","2,141"
22,Cohasset,Town,Norfolk,"$61,267","$117,829","$146,250","7,935","2,831"
23,Hingham,Town,Plymouth,"$60,770","$106,854","$142,820","22,330","8,262"
24,Marblehead,Town,Essex,"$58,082","$98,399","$121,235","19,958","8,036"
25,Hopkinton,Town,Middlesex,"$56,899","$129,578","$146,696","15,271","5,072"
26,Belmont,Town,Middlesex,"$56,850","$110,584","$135,676","24,943","9,242"
27,Topsfield,Town,Essex,"$56,488","$111,696","$126,653","6,211","2,146"
28,Bolton,Town,Worcester,"$55,369","$146,029","$155,313","4,967","1,668"
29,Alford,Town,Berkshire,"$55,322","$76,750","$106,250",474,203
30,Duxbury,Town,Plymouth,"$54,596","$118,272","$143,048","15,126","5,413"
31,Longmeadow,Town,Hampden,"$53,767","$106,173","$118,954","15,835","5,720"
32,Acton,Town,Middlesex,"$53,379","$110,592","$144,946","22,291","8,479"
33,Boylston,Town,Worcester,"$53,378","$97,938","$124,653","4,366","1,611"
34,Sharon,Town,Norfolk,"$53,227","$125,625","$143,630","17,756","6,264"
35,Richmond,Town,Berkshire,"$53,209","$85,588","$108,056","1,489",646
36,West Newbury,Town,Essex,"$53,144","$111,652","$127,880","4,305","1,459"
37,Andover,Town,Essex,"$52,275","$112,681","$139,111","33,746","12,169"
38,Harvard,Town,Worcester,"$52,258","$137,500","$153,047","6,540","1,882"
39,Pelham,Town,Hampshire,"$50,637","$82,596","$94,688","1,353",575
40,Tyringham,Town,Berkshire,"$50,351","$75,938","$77,292",410,165
41,Holliston,Town,Middlesex,"$50,118","$95,202","$121,115","33,634","13,690"
42,Arlington,Town,Middlesex,"$49,549","$89,841","$117,590","43,308","18,688"
43,Westford,Town,Middlesex,"$49,341","$124,464","$137,240","22,458","7,573"
44,Mount Washington,Town,Berkshire,"$49,247","$57,500","$60,000",129,62
45,Scituate,Town,Plymouth,"$49,146","$99,034","$117,467","18,181","6,732"
46,Chelmsford,Town,Middlesex,"$48,725","$107,705","$126,816","13,557","4,977"
47,Swampscott,Town,Essex,"$48,611","$92,258","$113,456","13,862","5,518"
48,Groton,Town,Middlesex,"$48,248","$117,127","$135,324","10,842","3,876"
49,Dunstable,Town,Middlesex,"$48,133","$119,022","$133,942","3,255","1,134"
50,Stow,Town,Middlesex,"$47,880","$115,714","$135,582","6,737","2,338"
51,Littleton,Town,Middlesex,"$47,502","$105,455","$125,798","9,038","3,416"
52,Cambridge,City,Middlesex,"$47,448","$72,529","$93,460","105,737","44,345"
53,Nantucket,Town,Nantucket,"$47,331","$85,478","$92,500","10,224","4,069"
54,Reading,Town,Middlesex,"$47,981","$107,654","$124,485","24,957","9,164"
55,North Andover,Town,Essex,"$46,788","$96,002","$121,414","28,677","10,515"
56,Lynnfield,Town,Essex,"$46,659","$110,980","$122,333","11,812","4,136"
57,Wenham,Town,Essex,"$46,255","$127,606","$148,897","4,964","1,340"
58,Natick,Town,Middlesex,"$46,206","$110,323","$130,647","13,811","4,877"
59,Milton,Town,Norfolk,"$46,166","$111,071","$133,446","27,094","9,056"
60,Newburyport,City,Essex,"$46,124","$78,638","$118,003","27,569","10,465"
61,Canton,Town,Norfolk,"$46,086","$89,900","$115,595","21,781","8,475"
62,Westborough,Town,Worcester,"$45,929","$100,905","$126,902","18,371","6,980"
63,Ashland,Town,Middlesex,"$45,834","$93,233","$117,418","16,792","6,702"
64,Nahant,Town,Essex,"$45,464","$66,964","$126,316","3,432","1,656"
65,Marion,Town,Plymouth,"$45,269","$80,456","$92,258","4,915","1,911"
66,Provincetown,Town,Barnstable,"$45,204","$41,140","$49,362","2,964","1,719"
67,Chatham,Town,Barnstable,"$45,078","$64,936","$83,972","6,138","2,926"
68,North Reading,Town,Middlesex,"$45,031","$110,852","$131,209","15,076","5,273"
69,Wrentham,Town,Norfolk,"$45,019","$100,574","$115,403","11,058","3,899"
70,Watertown,Town,Middlesex,"$44,732","$87,401","$104,266","32,352","14,159"
71,Hamilton,Town,Essex,"$44,500","$105,865","$117,458","7,995","2,822"
72,Berlin,Town,Worcester,"$44,297","$95,962","$99,485","2,886","1,038"
73,Chilmark,Town,Dukes,"$44,195","$64,457","$101,429",886,326
74,Northborough,Town,Worcester,"$43,878","$108,415","$124,128","14,529","5,079"
75,Medway,Town,Norfolk,"$43,335","$106,132","$125,865","12,866","4,439"
76,Georgetown,Town,Essex,"$43,297","$107,775","$125,962","8,295","2,885"
77,Marshfield,Town,Plymouth,"$43,291","$92,555","$110,215","25,307","9,663"
78,Norfolk,Town,Norfolk,"$43,151","$134,104","$149,302","11,409","3,128"
79,Dedham,Town,Norfolk,"$43,063","$84,704","$106,783","24,906","9,587"
80,Ipswich,Town,Essex,"$43,021","$77,087","$102,756","13,354","5,513"
81,Princeton,Town,Worcester,"$42,921","$120,607","$127,558","3,424","1,193"
82,Walpole,Town,Norfolk,"$42,869","$92,397","$109,206","24,360","8,715"
83,Foxborough,Town,Norfolk,"$42,801","$91,601","$105,818","16,990","6,451"
84,Upton,Town,Worcester,"$42,745","$105,729","$133,190","7,574","2,659"
85,Bedford,Town,Middlesex,"$42,402","$96,336","$113,810","34,199","13,303"
86,Melrose,City,Middlesex,"$42,361","$85,704","$109,452","27,239","11,436"
87,Sutton,Town,Worcester,"$42,293","$110,362","$118,092","9,021","3,097"
88,Essex,Town,Essex,"$42,259","$74,211","$100,083","3,546","1,424"
89,Mansfield,Town,Bristol,"$42,207","$93,539","$112,977","23,293","8,290"
90,Franklin,City,Norfolk,"$41,946","$99,194","$119,957","32,064","11,014"
91,Newbury,Town,Essex,"$41,891","$91,678","$111,319","6,732","2,584"
92,Rockport,Town,Essex,"$41,762","$66,402","$90,679","7,040","3,100"
93,Mendon,Town,Worcester,"$41,740","$105,389","$115,946","5,851","2,063"
94,Orleans,Town,Barnstable,"$41,573","$60,303","$76,343","5,877","2,768"
95,Hanover,Town,Plymouth,"$41,219","$99,250","$119,110","14,027","4,742"
96,Burlington,Town,Middlesex,"$41,186","$94,804","$111,882","24,875","9,216"
97,Hull,Town,Plymouth,"$41,064","$75,551","$93,776","10,319","4,679"
98,Tyngsborough,Town,Middlesex,"$40,920","$90,987","$115,476","11,675","4,142"
99,Holden,Town,Worcester,"$40,800","$95,244","$107,055","17,531","6,268"
100,Sterling,Town,Worcester,"$40,536","$98,872","$115,742","7,839","2,795"
101,Leverett,Town,Franklin,"$40,416","$73,000","$92,656","1,759",752
102,Egremont,Town,Berkshire,"$40,308","$55,388","$82,353","1,097",555
103,Groveland,Town,Essex,"$40,222","$97,463","$103,634","6,675","2,334"
104,Wakefield,Town,Middlesex,"$40,111","$84,011","$109,944","25,400","9,921"
105,Shrewsbury,Town,Worcester,"$39,920","$92,132","$107,955","35,849","13,014"
106,Grafton,Town,Worcester,"$39,887","$87,077","$109,515","17,895","6,447"
107,Tolland,Town,Hampden,"$39,806","$81,667","$86,500",551,214
108,Tewksbury,Town,Middlesex,"$39,675","$89,241","$107,070","29,429","10,907"
109,Millis,Town,Norfolk,"$39,651","$91,341","$103,173","7,950","2,946"
110,Falmouth,Town,Barnstable,"$39,545","$61,685","$78,926","31,591","14,138"
111,New Ashford,Town,Berkshire,"$39,527","$73,333","$88,750",220,100
