District Name,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,TestsTakers,TestsTaken,OneTest,TwoTests,ThreeTests,FourTests,FiveorMoreTests,Unnamed:9,Score=1,Score=2,Score=3,Score=4,Score=5,PercentScore12,PercentScore35,TotalNumofClasses,AverageClassSize,NumberofStudents,FemalePercent,MalePercent,EnglishLanguageLearnerPercent,StudentswithDisabilitiesPercent,EconomicallyDisadvantagedPercent,NumEnrolledGrades09through12,NumDropoutAllGrades,PercentDropoutAllGrades,PercentDropoutGrade09,PercentDropoutGrade10,PercentDropoutGrade11,PercentDropoutGrade12,NuminCohort,PercentGraduated,PercentStillinSchool,PercentNonGradCompleters,PercentHSEquiv,PercentDroppedOut,PercentPermanentlyExcluded,HighSchoolGraduatesNum,AttendingCollUnivNum,AttendingCollUnivPercent,PrivateTwoYearPercent,PrivateFourYearPercent,PublicTwoYearPercent,PublicFourYearPercent,MACommunityCollegePercent,MAStateUniversityPercent,UnivofMassPercent,Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,WFNum,WFPercent,StudentIncluded,CPI,SGP,IncludedInSGP,InDistrictExpenditures,TotalIndistrictFTEs,InDistrictExpendituresperPupil,TotalExpenditures,TotalPupilFTEs,TotalExpendituresperPupil,Unnamed:8,ReadingWriting,Writing,Math,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,TotalNumofTeachers,PercentofTeachersLicensedinTeachingAssignment,TotalNumofClassesinCoreAcademicAreas,PercentofCoreAcademicClassesTaughtbyTeachersWhoareHighlyQualified,StudentTeacherRatio,SalaryTotals,AverageSalary,FTECount
Abington,84.0,137.0,155.0,132.0,168.0,151.0,154.0,188.0,178.0,167.0,153.0,130.0,111.0,123.0,3.0,2034.0,3.1,2.0,7.9,85.9,0.3,0.1,0.7,50.5,49.5,      69,     128,      30,      21,      16,       2,       0,,      11,      45,      46,      22,       4,43.8,56.3,"   1,027",21.1,"      1,981",49.5,50.5,4.6,14.0,22.3,     448,       3,0.7,0.8,1.8,0.0,0.0,       100,95.0,2.0,0.0,0.0,3.0,0.0,124.0,94.0,75.8,1.1,22.3,30.9,45.7,30.9,19.1,9.6,SCIENCE AND TECH/ENG,218.0,50.0,49.0,11.0,169.0,39.0,172.0,39.0,48.0,11.0,438.0,77.7,,,"      $24,591,377.00","      1,919.1","         $12,814.02","      $28,487,257.00","      2,028.0","         $14,046.97",,537.0,,532.0,10000.0,182.0,8.9,97.0,296.0,14.4,730.0,35.5,477.0,131.0,100.0,732.0,98.6,14.7 to 1,"      $9,767,834","  $75,195",    130
Acton-Boxborough,111.0,352.0,343.0,365.0,388.0,415.0,420.0,420.0,486.0,478.0,427.0,447.0,501.0,452.0,0.0,5605.0,2.3,32.6,4.5,56.1,0.2,0.1,4.2,51.7,48.3,     433,     973,     160,     112,      85,      50,      26,,       9,      50,     120,     313,     481,6.1,93.9,"   2,160",21.3,"      5,620",48.3,51.7,4.6,14.9,5.3,"   1,863",       9,0.5,0.0,0.2,0.7,1.1,       477,95.8,2.5,0.0,0.0,1.7,0.0,475.0,421.0,88.6,0.2,52.0,6.7,41.1,6.2,3.1,13.8,SCIENCE AND TECH/ENG,1070.0,80.0,528.0,39.0,542.0,41.0,225.0,17.0,43.0,3.0,1338.0,92.0,,,"      $75,091,091.00","      5,605.5","         $13,395.97","      $84,730,365.00","      5,746.3","         $14,745.20",,642.0,,665.0,6000000.0,997.0,17.8,267.0,891.0,15.6,1419.0,24.9,334.0,372.0,100.0,1602.0,100.0,15.0 to 1,"     $29,363,081","  $79,900",    368
Acushnet,51.0,108.0,81.0,99.0,105.0,106.0,103.0,114.0,119.0,77.0,0.0,0.0,0.0,0.0,0.0,963.0,0.8,0.1,3.3,93.9,0.1,0.0,1.8,52.6,47.4,,,,,,,,,,,,,,,,     544,18.5,        971,47.8,52.2,0.5,15.2,22.9,,,,,,,,,,,,,,,2.0,,,,,,,,,,SCIENCE AND TECH/ENG,94.0,43.0,17.0,8.0,77.0,35.0,111.0,50.0,16.0,7.0,221.0,76.6,,,"      $11,365,614.00",        966.7,"         $11,757.13","      $15,705,696.00","      1,295.9","         $12,119.53",,,,,30000.0,10.0,1.0,7.0,152.0,15.6,351.0,36.0,248.0,71.0,100.0,396.0,98.7,13.5 to 1,"      $4,755,405","  $67,934",     70
Adams-Cheshire,53.0,85.0,79.0,80.0,106.0,111.0,106.0,92.0,92.0,115.0,52.0,64.0,95.0,85.0,6.0,1221.0,4.4,0.9,2.5,90.3,0.2,0.1,1.6,50.5,49.5,      93,     142,      58,      23,      10,       2,       0,,      40,      50,      32,      15,       5,63.4,36.6,     739,16.3,"      1,303",49.7,50.3,0.5,24.3,43.1,     321,       6,1.9,1.6,2.1,2.4,1.3,        78,79.5,15.4,0.0,0.0,5.1,0.0,80.0,65.0,81.3,0.0,26.2,43.1,30.8,41.5,20.0,4.6,SCIENCE AND TECH/ENG,94.0,33.0,12.0,4.0,82.0,29.0,127.0,45.0,64.0,22.0,285.0,65.9,,,"      $18,445,497.00","      1,335.1","         $13,815.82","      $20,165,270.00","      1,495.6","         $13,483.06",,520.0,,532.0,6030000.0,8.0,0.7,6.0,310.0,25.3,708.0,57.9,594.0,85.0,100.0,581.0,98.5,15.5 to 1,"      $6,691,452","  $74,932",     89
Agawam,163.0,233.0,304.0,258.0,272.0,314.0,271.0,300.0,311.0,263.0,318.0,279.0,291.0,277.0,10.0,3864.0,2.3,3.0,7.8,84.3,0.0,0.1,2.6,52.1,47.9,     228,     444,     101,      67,      39,      14,       7,,      34,     138,     145,      83,      44,38.7,61.3,"   2,555",15.7,"      3,971",48.1,51.9,5.6,16.6,27.5,"   1,216",      12,1.0,0.7,1.6,1.4,0.3,       334,90.7,3.6,1.5,0.6,3.6,0.0,299.0,239.0,79.9,0.0,33.9,34.7,31.4,33.9,15.9,8.4,SCIENCE AND TECH/ENG,429.0,48.0,115.0,13.0,314.0,35.0,358.0,40.0,100.0,11.0,887.0,77.8,,,"      $57,009,484.00","      3,877.2","         $14,703.78","      $62,080,434.00","      3,996.6","         $15,533.31",,544.0,,547.0,50000.0,372.0,9.6,203.0,676.0,17.3,1635.0,41.9,1149.0,320.0,100.0,1813.0,100.0,12.2 to 1,"     $22,248,427","  $68,965",    323
Amesbury,53.0,145.0,137.0,165.0,177.0,161.0,167.0,167.0,167.0,176.0,165.0,158.0,147.0,160.0,2.0,2147.0,1.6,1.1,7.2,86.2,0.2,0.1,3.5,53.5,46.5,     104,     159,      60,      34,       9,       1,       0,,       4,      27,      55,      51,      22,19.5,80.5,"   1,146",17.5,"      2,204",47.2,52.8,1.5,19.4,21.8,     624,       7,1.1,1.9,0.0,1.3,1.1,       175,88.0,7.4,0.6,0.6,3.4,0.0,130.0,94.0,72.3,0.0,25.5,36.2,38.3,36.2,6.4,14.9,SCIENCE AND TECH/ENG,272.0,57.0,87.0,18.0,185.0,39.0,168.0,35.0,39.0,8.0,479.0,81.3,,,"      $30,802,054.00","      2,208.4","         $13,947.68","      $34,502,597.00","      2,366.4","         $14,580.21",,583.0,,576.0,70000.0,63.0,2.9,28.0,435.0,19.9,802.0,36.7,501.0,169.0,99.8,851.0,95.1,12.7 to 1,"     $12,254,577","  $74,406",    165
Amherst,65.0,121.0,138.0,155.0,152.0,159.0,182.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1146.0,9.9,14.4,21.8,45.7,0.3,0.0,7.9,51.1,48.8,,,,,,,,,,,,,,,,     319,19.3,"      1,147",49.0,50.9,16.4,22.7,32.6,,,,,,,,,,,,,,,,,,,,,,,,,SCIENCE AND TECH/ENG,58.0,36.0,21.0,13.0,37.0,23.0,64.0,40.0,38.0,24.0,160.0,68.6,,,"      $24,653,637.00","      1,154.4","         $21,356.23","      $26,484,817.00","      1,267.5","         $20,895.32",,,,,80000.0,276.0,24.1,189.0,241.0,21.0,566.0,49.3,383.0,123.0,99.2,451.0,98.9,9.3 to 1,"      $9,005,730","  $74,121",    122
Amherst-Pelham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,216.0,241.0,233.0,221.0,228.0,10.0,1343.0,7.1,9.2,16.2,58.2,0.1,0.2,9.0,51.3,48.6,     139,     202,      89,      40,       8,       1,       1,,       5,      30,      40,      66,      61,17.3,82.7,     943,14.3,"      1,366",48.8,51.1,5.0,18.9,22.4,     919,      10,1.1,1.3,0.0,1.3,1.8,       239,92.5,2.9,0.0,2.1,2.5,0.0,248.0,206.0,83.1,0.5,46.6,27.7,25.2,26.7,2.4,14.6,SCIENCE AND TECH/ENG,286.0,73.0,98.0,25.0,188.0,48.0,76.0,19.0,29.0,7.0,391.0,88.0,,,"      $27,942,447.00","      1,377.5","         $20,284.90","      $32,135,954.00","      1,567.3","         $20,504.02",,618.0,,611.0,6050000.0,186.0,13.8,81.0,270.0,19.9,526.0,38.8,339.0,116.0,98.1,653.0,95.1,11.7 to 1,"      $9,168,746","  $78,702",    117
Andover,85.0,363.0,398.0,432.0,426.0,462.0,484.0,504.0,508.0,480.0,472.0,427.0,454.0,411.0,18.0,5924.0,2.1,18.3,5.5,71.3,0.2,0.0,2.6,50.0,49.9,     472,     909,     200,     160,      70,      34,       8,,      27,     126,     222,     264,     270,16.8,83.2,"   2,883",17.6,"      6,076",49.8,50.1,3.8,17.7,6.6,"   1,788",       5,0.3,0.7,0.0,0.2,0.2,       477,95.8,3.8,0.0,0.4,0.0,0.0,422.0,373.0,88.4,0.0,56.0,8.0,35.9,7.8,3.5,13.7,SCIENCE AND TECH/ENG,1006.0,69.0,321.0,22.0,685.0,47.0,390.0,27.0,68.0,5.0,1464.0,87.8,,,"      $94,629,430.00","      6,104.6","         $15,501.33","     $102,049,291.00","      6,226.8","         $16,388.72",,600.0,,602.0,90000.0,776.0,13.1,254.0,1156.0,19.2,1659.0,27.6,416.0,457.0,100.0,2173.0,100.0,13.1 to 1,"     $38,327,763","  $81,653",    469
Arlington,85.0,522.0,555.0,486.0,507.0,499.0,474.0,442.0,415.0,401.0,350.0,321.0,339.0,315.0,0.0,5711.0,3.7,12.5,6.4,72.0,0.1,0.2,5.2,50.4,49.5,     394,     879,     118,     139,      78,      46,      13,,      31,     133,     207,     277,     231,18.7,81.3,"   2,326",18.6,"      5,554",49.5,50.5,4.4,14.6,8.0,"   1,289",       9,0.7,0.9,0.0,1.6,0.3,       305,95.4,3.3,0.0,0.3,1.0,0.0,317.0,267.0,84.2,0.0,52.8,10.9,36.3,9.4,4.9,19.1,SCIENCE AND TECH/ENG,837.0,71.0,355.0,30.0,482.0,41.0,284.0,24.0,55.0,5.0,1176.0,88.5,,,"      $69,409,428.00","      5,330.1","         $13,022.16","      $76,533,654.00","      5,472.9","         $13,984.11",,616.0,,600.0,100000.0,616.0,10.8,272.0,891.0,15.3,1488.0,25.6,481.0,398.0,99.4,1943.0,99.1,13.9 to 1,"     $26,619,396","  $69,794",    381
Ashburnham-Westminster,65.0,151.0,154.0,170.0,173.0,195.0,184.0,190.0,199.0,184.0,177.0,181.0,161.0,183.0,17.0,2384.0,0.6,0.8,4.2,92.6,0.0,0.0,1.8,50.1,49.9,      99,     144,      62,      29,       8,       0,       0,,       7,      43,      40,      33,      21,34.7,65.3,"   1,328",19.5,"      2,361",49.1,50.9,2.3,17.8,14.5,     693,       2,0.3,0.0,0.6,0.0,0.6,       173,94.2,3.5,0.0,0.6,1.7,0.0,165.0,145.0,87.9,0.0,26.2,18.6,55.2,18.6,32.4,13.8,SCIENCE AND TECH/ENG,320.0,59.0,69.0,13.0,251.0,47.0,175.0,33.0,43.0,8.0,538.0,83.7,,,"      $29,685,642.00","      2,350.1","         $12,631.65","      $30,956,052.00","      2,434.9","         $12,713.48",,561.0,,545.0,6100000.0,80.0,3.4,45.0,416.0,17.4,715.0,29.9,371.0,150.0,100.0,939.0,98.4,15.6 to 1,"     $11,119,937","  $70,290",    158
Ashland,127.0,202.0,221.0,189.0,220.0,211.0,216.0,207.0,186.0,208.0,206.0,207.0,177.0,179.0,0.0,2756.0,2.2,13.9,10.7,69.3,0.6,0.0,3.3,49.6,50.3,     169,     348,      78,      39,      30,      14,       8,,       2,      16,      66,     115,     149,5.2,94.8,"   1,184",18.1,"      2,736",50.4,49.6,4.2,15.8,11.8,     744,       9,1.2,2.0,1.2,1.1,0.5,       191,95.3,2.6,0.0,0.5,1.6,0.0,164.0,142.0,86.6,0.0,34.5,9.9,55.6,9.9,17.6,17.6,SCIENCE AND TECH/ENG,359.0,64.0,123.0,22.0,236.0,42.0,172.0,30.0,34.0,6.0,565.0,85.8,,,"      $33,419,047.00","      2,698.5","         $12,384.31","      $36,994,194.00","      2,825.8","         $13,091.58",,591.0,,609.0,140000.0,553.0,20.1,118.0,466.0,16.7,833.0,29.9,364.0,187.0,100.0,939.0,99.0,14.4 to 1,"     $14,464,647","  $76,899",    188
Athol-Royalston,93.0,124.0,120.0,121.0,115.0,121.0,122.0,107.0,100.0,109.0,95.0,93.0,72.0,102.0,6.0,1500.0,1.5,1.1,8.7,85.0,0.0,0.0,3.7,52.3,47.7,      60,     101,      23,      34,       2,       1,       0,,      45,      44,       7,       5,       0,88.1,11.9,     656,17.6,"      1,498",47.7,52.3,2.5,27.4,48.1,     348,      11,3.2,4.0,3.9,3.1,1.4,        82,74.4,11.0,2.4,2.4,9.8,0.0,72.0,42.0,58.3,0.0,28.6,35.7,35.7,31.0,21.4,7.1,SCIENCE AND TECH/ENG,93.0,34.0,12.0,4.0,81.0,29.0,135.0,49.0,47.0,17.0,275.0,68.2,,,"      $20,556,794.00","      1,404.2","         $14,639.51","      $25,276,468.00","      1,801.9","         $14,027.68",,505.0,,496.0,6150000.0,55.0,3.7,39.0,414.0,27.1,945.0,62.0,761.0,106.0,100.0,582.0,99.8,13.8 to 1,"      $6,611,835","  $65,205",    101
Attleboro,184.0,425.0,425.0,453.0,418.0,457.0,468.0,466.0,412.0,476.0,457.0,447.0,422.0,427.0,11.0,5948.0,5.5,4.7,14.2,68.8,0.3,0.1,6.4,52.6,47.4,     319,     520,     172,     100,      40,       7,       0,,      80,     161,     171,      87,      21,46.3,53.7,"   2,507",22.1,"      6,034",46.5,53.5,5.9,16.1,28.7,"   1,724",      37,2.1,2.0,1.0,4.2,1.2,       420,89.5,4.3,0.7,0.2,5.2,0.0,393.0,273.0,69.5,0.0,34.4,33.3,32.2,31.1,14.3,11.0,SCIENCE AND TECH/ENG,690.0,54.0,173.0,13.0,517.0,40.0,467.0,36.0,131.0,10.0,1288.0,80.5,,,"      $74,800,110.00","      5,757.4","         $12,991.99","      $82,778,975.00","      6,187.9","         $13,377.56",,551.0,,550.0,160000.0,783.0,13.2,358.0,1027.0,17.2,2677.0,44.7,1852.0,359.0,100.0,1906.0,99.3,16.5 to 1,"     $30,932,044","  $78,989",    392
