School Name,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,TestsTakers,TestsTaken,OneTest,TwoTests,ThreeTests,FourTests,FiveorMoreTests,Unnamed:9,Score=1,Score=2,Score=3,Score=4,Score=5,PercentScore12,PercentScore35,NumEnrolledGrades09through12,NumDropoutAllGrades,PercentDropoutAllGrades,PercentDropoutGrade09,PercentDropoutGrade10,PercentDropoutGrade11,PercentDropoutGrade12,NuminCohort,PercentGraduated,PercentStillinSchool,PercentNonGradCompleters,PercentHSEquiv,PercentDroppedOut,PercentPermanentlyExcluded,HighSchoolGraduatesNum,AttendingCollUnivNum,AttendingCollUnivPercent,PrivateTwoYearPercent,PrivateFourYearPercent,PublicTwoYearPercent,PublicFourYearPercent,MACommunityCollegePercent,MAStateUniversityPercent,UnivofMassPercent,Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,WFNum,WFPercent,StudentIncluded,CPI,SGP,IncludedInSGP,ReadingWriting,Writing,Math,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Town,School
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,4450105.0,0.0,117.0,116.0,113.0,117.0,122.0,118.0,115.0,123.0,120.0,101.0,88.0,84.0,91.0,0.0,1425.0, 04450105,49.8,4.1,22.3,20.8,0.1,0.1,2.8,46.5,53.5,,,,,,,,,,,,,,,,     356,4.0,1.1,2.1,1.2,0.0,1.2,        82,97.6,0.0,0.0,1.2,1.2,0.0,76.0,63.0,82.9,0.0,27.0,30.2,42.9,30.2,22.2,11.1,SCIENCE AND TECH/ENG,168.0,53.0,73.0,23.0,95.0,30.0,122.0,38.0,29.0,9.0,319.0,78.4,,,539.0,,517.0,4450105.0,913.0,64.1,137.0,9.6,171.0,12.0,751.0,52.7,568.0,39.9,"   1,436",29.0,0.1,1.9,0.0,0.0,0.0,Abby Kelley Foster Charter Public (District),Abby Kelley Foster Charter Public School
Abington - Abington Early Education Program,10001.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0, 00010001,10.7,4.8,1.2,83.3,0.0,0.0,0.0,53.6,46.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10001.0,10.0,11.9,0.0,0.0,32.0,38.1,41.0,48.8,17.0,20.2,,,,,,,,Abington,Abington Early Education Program
Abington - Abington High,10505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,130.0,111.0,123.0,3.0,520.0, 00010505,3.3,1.9,9.8,83.5,0.4,0.2,1.0,47.9,52.1,      69,     128,30.0,21.0,16.0,2.0,0.0,,11.0,45.0,46.0,22.0,4.0,43.8,56.3,     448,3.0,0.7,0.8,1.8,0.0,0.0,        97,94.8,2.1,0.0,0.0,3.1,0.0,124.0,94.0,75.8,1.1,22.3,30.9,45.7,30.9,19.1,9.6,SCIENCE AND TECH/ENG,79.0,87.0,34.0,37.0,45.0,49.0,12.0,13.0,0.0,0.0,91.0,96.4,,,538.0,,532.0,10505.0,37.0,7.1,18.0,3.5,51.0,9.8,155.0,29.8,108.0,20.8,     470,26.0,3.8,2.1,0.0,0.0,0.0,Abington,Abington High
Abington - Abington Middle School,10405.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,188.0,178.0,167.0,0.0,0.0,0.0,0.0,0.0,687.0, 00010405,2.2,1.9,6.1,88.8,0.1,0.0,0.9,51.7,48.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10405.0,45.0,6.6,17.0,2.5,92.0,13.4,236.0,34.4,173.0,25.2,,,,,,,,Abington,Abington Middle School
Abington - Beaver Brook Elementary,10020.0,0.0,137.0,155.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424.0, 00010020,3.5,2.1,9.0,84.4,0.5,0.2,0.2,49.1,50.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10020.0,49.0,11.6,34.0,8.0,62.0,14.6,153.0,36.1,90.0,21.2,,,,,,,,Abington,Beaver Brook Elementary
Abington - Beaver Brook Elementary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     610,1.0,,,,,,Abington,Beaver Brook Elementary School
Abington - Center Elementary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     227,0.0,,,,,,Abington,Center Elementary School
Abington - Frolio Middle School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCIENCE AND TECH/ENG,69.0,42.0,3.0,2.0,66.0,40.0,73.0,45.0,22.0,13.0,164.0,73.3,,,,,,,,,,,,,,,,,     337,13.0,2.1,2.4,0.0,0.0,0.0,Abington,Frolio Middle School
Abington - Woodsdale Elementary School,10015.0,0.0,0.0,0.0,0.0,168.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0, 00010015,2.5,1.6,8.8,86.2,0.3,0.0,0.6,53.6,46.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCIENCE AND TECH/ENG,68.0,39.0,12.0,7.0,56.0,32.0,84.0,49.0,21.0,12.0,173.0,72.5,,,,,,10015.0,41.0,12.9,28.0,8.8,37.0,11.6,123.0,38.6,89.0,27.9,     365,0.0,,,,,,Abington,Woodsdale Elementary School
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,4120530.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,76.0,76.0,81.0,69.0,56.0,48.0,38.0,0.0,524.0, 04120530,59.7,1.3,27.9,8.8,0.0,0.2,2.1,49.2,50.8,      50,      73,27.0,23.0,0.0,0.0,0.0,,14.0,28.0,26.0,4.0,1.0,57.5,42.5,     211,0.0,0.0,0.0,0.0,0.0,0.0,        47,93.6,2.1,0.0,2.1,2.1,0.0,,,,,,,,,,,SCIENCE AND TECH/ENG,67.0,33.0,13.0,6.0,54.0,26.0,94.0,46.0,45.0,22.0,206.0,65.0,,,,,,4120530.0,150.0,28.6,63.0,12.0,137.0,26.1,333.0,63.5,207.0,39.5,     531,37.0,0.0,7.0,0.0,0.0,0.0,Academy Of the Pacific Rim Charter Public (District),Academy Of the Pacific Rim Charter Public School
Academy Of the Pacific Rim Charter Public - Academy Of the Pacific Rim Charter Public School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,39.0,92.9,0.0,56.4,20.5,23.1,20.5,20.5,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Academy Of the Pacific Rim Charter Public,Academy Of the Pacific Rim Charter Public School
Acton-Boxborough - Acton-Boxborough Regional High,6000505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,427.0,447.0,501.0,452.0,0.0,1827.0, 06000505,2.0,30.6,3.2,59.6,0.2,0.0,4.4,51.5,48.5,     433,     973,160.0,112.0,85.0,50.0,26.0,,9.0,50.0,120.0,313.0,481.0,6.1,93.9,"   1,863",9.0,0.5,0.0,0.2,0.7,1.1,       467,97.4,0.9,0.0,0.0,1.7,0.0,472.0,420.0,89.0,0.2,52.1,6.4,41.2,6.0,3.1,13.8,SCIENCE AND TECH/ENG,451.0,97.0,349.0,75.0,102.0,22.0,12.0,3.0,4.0,1.0,467.0,98.8,,,642.0,,665.0,6000505.0,288.0,15.8,14.0,0.8,179.0,9.8,271.0,14.8,87.0,4.8,"   1,883",37.0,0.7,1.4,0.0,0.0,0.0,Acton-Boxborough,Acton-Boxborough Regional High
Acton-Boxborough - Blanchard Memorial School,6000005.0,0.0,78.0,59.0,62.0,55.0,50.0,69.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,447.0, 06000005,1.6,32.7,3.4,58.4,0.4,0.0,3.6,50.8,49.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCIENCE AND TECH/ENG,54.0,77.0,26.0,37.0,28.0,40.0,15.0,21.0,1.0,1.0,70.0,90.7,,,,,,6000005.0,58.0,13.0,18.0,4.0,85.0,19.0,126.0,28.2,22.0,4.9,     424,0.0,,,,,,Acton-Boxborough,Blanchard Memorial School
Acton-Boxborough - C.T. Douglas Elementary School,6000020.0,0.0,38.0,44.0,64.0,71.0,73.0,69.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,427.0, 06000020,0.5,21.8,3.0,67.0,0.2,0.5,7.0,51.8,48.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCIENCE AND TECH/ENG,53.0,79.0,21.0,31.0,32.0,48.0,14.0,21.0,0.0,0.0,67.0,92.5,,,,,,6000020.0,89.0,20.8,26.0,6.1,66.0,15.5,115.0,26.9,23.0,5.4,     467,0.0,,,,,,Acton-Boxborough,C.T. Douglas Elementary School
Acton-Boxborough - Carol Huebner Early Childhood Program,6000001.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0, 06000001,7.2,43.2,5.4,39.6,0.0,0.0,4.5,57.7,42.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000001.0,20.0,18.0,0.0,0.0,45.0,40.5,48.0,43.2,11.0,9.9,     119,0.0,,,,,,Acton-Boxborough,Carol Huebner Early Childhood Program
