,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,HighSchoolGraduates(Num),AttendingColl./Univ.(Num),AttendingColl./Univ.(Percent),PrivateTwoYear(Percent),PrivateFourYear(Percent),PublicTwoYear(Percent),PublicFourYear(Percent),MACommunityCollege(Percent),MAStateUniversity(Percent),Univ.ofMass.(Percent),Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,W/FNum,W/FPercent,StudentIncluded,CPI,SGP,IncludedInSGP,TestsTaken,Reading/Writing,Writing,Math,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Unnamed:9,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Town,School
Andover - Andover High,90505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,472.0,427.0,454.0,411.0,18.0,1782.0, 00090505,2.2,16.4,4.7,74.6,0.1,0.0,2.1,47.1,52.8,413.0,369.0,89.3,0.0,56.4,7.6,36.0,7.3,3.5,13.8,SCIENCE AND TECH/ENG,368.0,85.0,138.0,32.0,230.0,53.0,63.0,14.0,4.0,1.0,435.0,94.4,,,558.0,600.0,,602.0,"   1,834",60.0,1.9,2.7,0.0,0.0,0.0,,90505.0,180.0,10.1,14.0,0.8,274.0,15.4,379.0,21.3,129.0,7.2,Andover,Andover High
Andover - Andover West Middle,90310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,181.0,168.0,0.0,0.0,0.0,0.0,0.0,525.0, 00090310,2.3,15.4,5.0,74.3,0.4,0.0,2.7,47.4,52.6,,,,,,,,,,,SCIENCE AND TECH/ENG,92.0,54.0,5.0,3.0,87.0,51.0,67.0,40.0,10.0,6.0,169.0,82.2,,,,,,,     539,3.0,,,,,,,90310.0,54.0,10.3,12.0,2.3,86.0,16.4,125.0,23.8,48.0,9.1,Andover,Andover West Middle
Andover - Bancroft Elementary,90003.0,0.0,91.0,78.0,94.0,95.0,105.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,578.0, 00090003,3.1,9.0,5.9,76.6,0.3,0.0,5.0,52.4,47.6,,,,,,,,,,,SCIENCE AND TECH/ENG,72.0,62.0,28.0,24.0,44.0,38.0,38.0,33.0,6.0,5.0,116.0,84.7,,,,,,,     602,0.0,,,,,,,90003.0,53.0,9.2,21.0,3.6,88.0,15.2,138.0,23.9,42.0,7.3,Andover,Bancroft Elementary
Andover - Doherty Middle,90305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,202.0,169.0,0.0,0.0,0.0,0.0,0.0,556.0, 00090305,1.1,12.4,5.0,78.2,0.5,0.0,2.7,50.0,50.0,,,,,,,,,,,SCIENCE AND TECH/ENG,114.0,63.0,8.0,4.0,106.0,59.0,57.0,31.0,10.0,6.0,181.0,85.5,,,,,,,     567,0.0,,,,,,,90305.0,51.0,9.2,7.0,1.3,125.0,22.5,146.0,26.3,31.0,5.6,Andover,Doherty Middle
Andover - Henry C Sanborn Elementary,90010.0,0.0,51.0,58.0,70.0,69.0,67.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388.0, 00090010,1.5,27.1,6.2,62.6,0.3,0.0,2.3,51.8,48.2,,,,,,,,,,,SCIENCE AND TECH/ENG,50.0,70.0,26.0,37.0,24.0,34.0,17.0,24.0,4.0,6.0,71.0,85.6,,,,,,,     395,0.0,,,,,,,90010.0,70.0,18.0,49.0,12.6,67.0,17.3,133.0,34.3,38.0,9.8,Andover,Henry C Sanborn Elementary
Andover - High Plain Elementary,90004.0,0.0,59.0,80.0,78.0,81.0,106.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0, 00090004,2.6,29.4,6.8,57.6,0.0,0.0,3.6,54.0,46.0,,,,,,,,,,,SCIENCE AND TECH/ENG,80.0,76.0,56.0,53.0,24.0,23.0,20.0,19.0,5.0,5.0,105.0,92.6,,,,,,,     546,0.0,,,,,,,90004.0,128.0,25.6,58.0,11.6,79.0,15.8,160.0,32.0,31.0,6.2,Andover,High Plain Elementary
Andover - Shawsheen School,90005.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0, 00090005,2.4,31.8,8.2,55.3,0.0,0.0,2.4,71.8,28.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     102,0.0,,,,,,,90005.0,18.0,21.2,8.0,9.4,44.0,51.8,53.0,62.4,14.0,16.5,Andover,Shawsheen School
Andover - South Elementary,90020.0,0.0,77.0,79.0,93.0,68.0,87.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,491.0, 00090020,0.6,17.5,2.9,77.6,0.2,0.2,1.0,50.9,49.1,,,,,,,,,,,SCIENCE AND TECH/ENG,66.0,75.0,27.0,31.0,39.0,44.0,20.0,23.0,2.0,2.0,88.0,90.6,,,,,,,     511,2.0,,,,,,,90020.0,72.0,14.7,41.0,8.4,76.0,15.5,130.0,26.5,15.0,3.1,Andover,South Elementary
Andover - West Elementary,90025.0,0.0,85.0,103.0,97.0,113.0,97.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,608.0, 00090025,2.5,17.1,6.3,71.5,0.3,0.0,2.3,50.5,49.5,,,,,,,,,,,SCIENCE AND TECH/ENG,66.0,57.0,22.0,19.0,44.0,38.0,40.0,34.0,10.0,9.0,116.0,81.7,,,,,,,     644,0.0,,,,,,,90025.0,72.0,11.8,31.0,5.1,142.0,23.4,192.0,31.6,40.0,6.6,Andover,West Elementary
Andover - Wood Hill Middle School,90350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,125.0,143.0,0.0,0.0,0.0,0.0,0.0,411.0, 00090350,2.2,29.4,8.5,57.2,0.2,0.0,2.4,50.1,49.9,,,,,,,,,,,SCIENCE AND TECH/ENG,89.0,58.0,7.0,5.0,82.0,53.0,58.0,38.0,7.0,5.0,154.0,83.8,,,,,,,     427,3.0,,,,,,,90350.0,78.0,19.0,13.0,3.2,82.0,20.0,110.0,26.8,28.0,6.8,Andover,Wood Hill Middle School
