,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,HighSchoolGraduates(Num),AttendingColl./Univ.(Num),AttendingColl./Univ.(Percent),PrivateTwoYear(Percent),PrivateFourYear(Percent),PublicTwoYear(Percent),PublicFourYear(Percent),MACommunityCollege(Percent),MAStateUniversity(Percent),Univ.ofMass.(Percent),Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,W/FNum,W/FPercent,StudentIncluded,CPI,SGP,IncludedInSGP,TestsTaken,Reading/Writing,Writing,Math,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Unnamed:9,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Town,School
Arlington - Arlington High,100505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,321.0,339.0,315.0,0.0,1325.0, 00100505,4.4,10.6,6.4,74.6,0.0,0.2,3.8,49.1,50.6,306.0,260.0,85.0,0.0,53.5,9.6,36.9,8.5,4.6,19.6,SCIENCE AND TECH/ENG,275.0,87.0,147.0,47.0,128.0,41.0,40.0,13.0,1.0,0.0,316.0,95.3,,,392.0,616.0,,600.0,"   1,340",76.0,3.6,3.4,0.1,0.0,0.6,,100505.0,150.0,11.3,19.0,1.4,150.0,11.3,272.0,20.5,127.0,9.6,Arlington,Arlington High
Arlington - Brackett,100010.0,0.0,78.0,91.0,68.0,94.0,87.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,488.0, 00100010,1.2,10.5,4.9,76.4,0.0,0.2,6.8,52.9,47.1,,,,,,,,,,,SCIENCE AND TECH/ENG,66.0,80.0,46.0,56.0,20.0,24.0,14.0,17.0,2.0,2.0,82.0,93.9,,,,,,,     486,0.0,,,,,,,100010.0,32.0,6.6,21.0,4.3,55.0,11.3,83.0,17.0,14.0,2.9,Arlington,Brackett
Arlington - Cyrus E Dallin,100025.0,0.0,73.0,90.0,74.0,79.0,87.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,481.0, 00100025,1.5,13.5,4.4,76.5,0.0,0.2,4.0,51.8,48.2,,,,,,,,,,,SCIENCE AND TECH/ENG,43.0,57.0,19.0,25.0,24.0,32.0,31.0,41.0,2.0,3.0,76.0,83.6,,,,,,,     474,0.0,,,,,,,100025.0,20.0,4.2,16.0,3.3,63.0,13.1,97.0,20.2,23.0,4.8,Arlington,Cyrus E Dallin
Arlington - Hardy,100030.0,0.0,90.0,90.0,77.0,73.0,66.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458.0, 00100030,4.8,14.4,8.7,66.4,0.2,0.2,5.2,54.1,45.6,,,,,,,,,,,SCIENCE AND TECH/ENG,36.0,52.0,11.0,16.0,25.0,36.0,28.0,41.0,5.0,7.0,69.0,81.5,,,,,,,     462,2.0,,,,,,,100030.0,61.0,13.3,49.0,10.7,66.0,14.4,134.0,29.3,27.0,5.9,Arlington,Hardy
Arlington - John A Bishop,100005.0,0.0,64.0,77.0,70.0,71.0,73.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0, 00100005,3.8,15.7,3.3,71.0,0.0,0.7,5.5,53.8,46.2,,,,,,,,,,,SCIENCE AND TECH/ENG,59.0,78.0,34.0,45.0,25.0,33.0,16.0,21.0,1.0,1.0,76.0,92.4,,,,,,,     435,0.0,,,,,,,100005.0,38.0,9.0,24.0,5.7,43.0,10.2,87.0,20.7,27.0,6.4,Arlington,John A Bishop
Arlington - M Norcross Stratton,100055.0,0.0,72.0,69.0,72.0,59.0,60.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,402.0, 00100055,2.7,15.2,5.0,70.4,0.0,0.0,6.7,50.7,49.3,,,,,,,,,,,SCIENCE AND TECH/ENG,42.0,67.0,24.0,38.0,18.0,29.0,18.0,29.0,3.0,5.0,63.0,87.3,,,,,,,     411,0.0,,,,,,,100055.0,35.0,8.7,25.0,6.2,58.0,14.4,94.0,23.4,35.0,8.7,Arlington,M Norcross Stratton
Arlington - Menotomy Preschool,100038.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0, 00100038,4.7,21.2,9.4,56.5,0.0,0.0,8.2,68.2,31.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     101,0.0,,,,,,,100038.0,9.0,10.6,0.0,0.0,45.0,52.9,47.0,55.3,10.0,11.8,Arlington,Menotomy Preschool
Arlington - Ottoson Middle,100410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,442.0,415.0,401.0,0.0,0.0,0.0,0.0,0.0,1258.0, 00100410,3.9,10.7,5.7,73.8,0.0,0.1,5.9,46.1,53.9,,,,,,,,,,,SCIENCE AND TECH/ENG,238.0,65.0,42.0,11.0,196.0,54.0,104.0,28.0,24.0,7.0,366.0,84.8,,,,,,,"   1,237",32.0,1.4,1.5,0.0,0.0,0.5,,100410.0,167.0,13.3,33.0,2.6,207.0,16.5,333.0,26.5,119.0,9.5,Arlington,Ottoson Middle
Arlington - Peirce,100045.0,0.0,67.0,50.0,46.0,45.0,49.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.0, 00100045,3.9,13.1,9.5,68.5,0.0,0.0,4.9,50.8,49.2,,,,,,,,,,,SCIENCE AND TECH/ENG,31.0,72.0,12.0,28.0,19.0,44.0,9.0,21.0,3.0,7.0,43.0,87.2,,,,,,,     290,0.0,,,,,,,100045.0,32.0,10.5,27.0,8.9,34.0,11.1,75.0,24.6,20.0,6.6,Arlington,Peirce
Arlington - Thompson,100050.0,0.0,78.0,88.0,79.0,86.0,77.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,489.0, 00100050,5.1,14.9,10.4,63.6,0.6,0.2,5.1,51.5,48.5,,,,,,,,,,,SCIENCE AND TECH/ENG,32.0,73.0,18.0,41.0,14.0,32.0,12.0,27.0,0.0,0.0,44.0,92.0,,,,,,,     479,0.0,,,,,,,100050.0,72.0,14.7,58.0,11.9,59.0,12.1,155.0,31.7,79.0,16.2,Arlington,Thompson
