,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,HighSchoolGraduates(Num),AttendingColl./Univ.(Num),AttendingColl./Univ.(Percent),PrivateTwoYear(Percent),PrivateFourYear(Percent),PublicTwoYear(Percent),PublicFourYear(Percent),MACommunityCollege(Percent),MAStateUniversity(Percent),Univ.ofMass.(Percent),Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,W/FNum,W/FPercent,StudentIncluded,CPI,SGP,IncludedInSGP,TestsTaken,Reading/Writing,Writing,Math,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Unnamed:9,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Town,School
Attleboro - Attleboro Community Academy,160515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,17.0,37.0,0.0,61.0, 00160515,4.9,1.6,14.8,75.4,0.0,0.0,3.3,57.4,42.6,32.0,7.0,21.9,0.0,0.0,100.0,0.0,100.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,      97,3.0,,,,,,,160515.0,8.0,13.1,1.0,1.6,2.0,3.3,34.0,55.7,34.0,55.7,Attleboro,Attleboro Community Academy
Attleboro - Attleboro High,160505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456.0,441.0,405.0,390.0,11.0,1703.0, 00160505,5.8,4.4,13.6,70.5,0.4,0.3,5.0,53.0,47.0,358.0,266.0,74.3,0.0,35.3,31.6,33.1,29.3,14.7,11.3,SCIENCE AND TECH/ENG,280.0,76.0,93.0,25.0,187.0,51.0,76.0,21.0,12.0,3.0,368.0,90.6,,,389.0,551.0,,550.0,"   1,721",202.0,5.2,9.8,0.0,0.0,0.0,,160505.0,182.0,10.7,52.0,3.1,245.0,14.4,640.0,37.6,472.0,27.7,Attleboro,Attleboro High
Attleboro - Wamsutta Middle School,160320.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,155.0,143.0,143.0,0.0,0.0,0.0,0.0,0.0,576.0, 00160320,6.3,6.1,17.0,67.0,0.2,0.2,3.3,53.3,46.7,,,,,,,,,,,SCIENCE AND TECH/ENG,122.0,42.0,25.0,9.0,97.0,34.0,123.0,43.0,44.0,15.0,289.0,74.4,,,,,,,     596,70.0,9.9,4.5,0.0,0.0,0.0,,160320.0,93.0,16.1,23.0,4.0,102.0,17.7,252.0,43.8,181.0,31.4,Attleboro,Wamsutta Middle School
Attleboro - Cyril K. Brennan Middle School,160315.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,144.0,132.0,141.0,0.0,0.0,0.0,0.0,0.0,582.0, 00160315,6.0,4.5,19.6,63.7,0.3,0.0,5.8,53.6,46.4,,,,,,,,,,,SCIENCE AND TECH/ENG,116.0,43.0,22.0,8.0,94.0,35.0,117.0,43.0,38.0,14.0,271.0,76.8,,,,,,,     582,50.0,3.8,6.7,0.0,0.0,0.0,,160315.0,95.0,16.3,30.0,5.2,87.0,14.9,285.0,49.0,205.0,35.2,Attleboro,Cyril K. Brennan Middle School
Attleboro - Robert J. Coelho Middle School,160305.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,167.0,137.0,192.0,0.0,0.0,0.0,0.0,0.0,664.0, 00160305,3.6,3.3,11.3,75.5,0.0,0.0,6.3,51.5,48.5,,,,,,,,,,,SCIENCE AND TECH/ENG,164.0,52.0,33.0,10.0,131.0,41.0,129.0,41.0,24.0,8.0,317.0,79.9,,,,,,,     689,39.0,2.9,4.1,0.0,0.0,0.0,,160305.0,38.0,5.7,9.0,1.4,104.0,15.7,222.0,33.4,140.0,21.1,Attleboro,Robert J. Coelho Middle School
Attleboro - A. Irvin Studley Elementary School,160001.0,0.0,66.0,66.0,93.0,82.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.0, 00160001,4.4,3.9,17.2,66.7,0.3,0.3,7.3,52.3,47.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     460,6.0,0.2,1.1,0.0,0.0,0.0,,160001.0,68.0,17.7,49.0,12.8,70.0,18.2,202.0,52.6,145.0,37.8,Attleboro,A. Irvin Studley Elementary School
Attleboro - Hill-Roberts Elementary School,160045.0,0.0,81.0,98.0,97.0,80.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458.0, 00160045,5.9,6.1,11.1,67.9,0.9,0.0,8.1,52.2,47.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     492,13.0,1.2,1.8,0.0,0.0,0.0,,160045.0,33.0,7.2,24.0,5.2,67.0,14.6,200.0,43.7,144.0,31.4,Attleboro,Hill-Roberts Elementary School
Attleboro - Thomas Willett Elementary School,160035.0,0.0,89.0,76.0,85.0,94.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.0, 00160035,7.6,3.9,14.1,64.4,0.0,0.0,9.9,51.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     487,6.0,1.0,0.2,0.0,0.0,0.0,,160035.0,76.0,17.6,59.0,13.6,74.0,17.1,237.0,54.7,168.0,38.8,Attleboro,Thomas Willett Elementary School
Attleboro - Hyman Fine Elementary School,160040.0,0.0,94.0,99.0,102.0,84.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483.0, 00160040,4.1,5.4,14.5,67.9,0.0,0.0,8.1,50.1,49.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     476,2.0,,,,,,,160040.0,87.0,18.0,60.0,12.4,59.0,12.2,228.0,47.2,159.0,32.9,Attleboro,Hyman Fine Elementary School
Attleboro - Peter Thacher Elementary School,160050.0,0.0,95.0,86.0,76.0,78.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0, 00160050,5.7,6.7,11.7,66.4,0.5,0.0,9.0,51.2,48.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     396,3.0,,,,,,,160050.0,79.0,18.8,51.0,12.1,89.0,21.2,220.0,52.4,135.0,32.1,Attleboro,Peter Thacher Elementary School
