,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,HighSchoolGraduates(Num),AttendingColl./Univ.(Num),AttendingColl./Univ.(Percent),PrivateTwoYear(Percent),PrivateFourYear(Percent),PublicTwoYear(Percent),PublicFourYear(Percent),MACommunityCollege(Percent),MAStateUniversity(Percent),Univ.ofMass.(Percent),Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,W/FNum,W/FPercent,StudentIncluded,CPI,SGP,IncludedInSGP,TestsTaken,Reading/Writing,Writing,Math,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Unnamed:9,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Town,School
Boston - Boston Adult Academy,350548.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,33.0,0.0,154.0, 00350548,51.3,5.2,40.3,1.9,0.0,0.6,0.6,51.3,48.7,89.0,29.0,32.6,6.9,20.7,62.1,10.3,62.1,0.0,6.9,,,,,,,,,,,,,,,,14.0,364.0,,416.0,     265,1.0,,,,,,,350548.0,136.0,88.3,127.0,82.5,8.0,5.2,150.0,97.4,79.0,51.3,Boston,Boston Adult Academy
Boston - Greater Egleston Community High School,350543.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,28.0,64.0,0.0,105.0, 00350543,36.2,0.0,60.0,1.0,1.0,0.0,1.9,48.6,51.4,33.0,17.0,51.5,0.0,29.4,52.9,17.6,52.9,0.0,17.6,,,,,,,,,,,,,,,,14.0,442.0,,436.0,     241,0.0,,,,,,,350543.0,56.0,53.3,27.0,25.7,10.0,9.5,82.0,78.1,70.0,66.7,Boston,Greater Egleston Community High School
Boston - Boston Collaborative High School,350755.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,34.0,38.0,107.0,0.0,182.0, 00350755,44.0,3.8,45.1,5.5,0.5,0.0,1.1,54.9,45.1,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,     337,0.0,,,,,,,350755.0,80.0,44.0,41.0,22.5,40.0,22.0,134.0,73.6,112.0,61.5,Boston,Boston Collaborative High School
Boston - Dorchester Academy,350651.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,13.0,19.0,0.0,42.0, 00350651,69.0,2.4,19.0,9.5,0.0,0.0,0.0,47.6,52.4,57.0,32.0,56.1,0.0,25.0,50.0,25.0,50.0,9.4,12.5,,,,,,,,,,,,,,,,3.0,,,,     129,17.0,0.8,7.0,0.0,0.8,7.0,,350651.0,10.0,23.8,2.0,4.8,12.0,28.6,33.0,78.6,33.0,78.6,Boston,Dorchester Academy
Boston - Community Academy,350518.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,22.0,29.0,0.0,79.0, 00350518,41.8,0.0,21.5,35.4,0.0,0.0,1.3,53.2,46.8,13.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,     107,28.0,2.8,24.3,0.0,0.0,3.7,,350518.0,13.0,16.5,5.0,6.3,16.0,20.3,63.0,79.7,54.0,68.4,Boston,Community Academy
Boston - Lyon Upper 9-12,350655.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,34.0,36.0,27.0,0.0,124.0, 00350655,20.2,6.5,35.5,30.6,0.8,0.0,6.5,55.6,44.4,28.0,21.0,75.0,0.0,42.9,23.8,33.3,23.8,0.0,33.3,SCIENCE AND TECH/ENG,5.0,23.0,1.0,5.0,4.0,18.0,12.0,55.0,5.0,23.0,22.0,61.4,,,38.0,460.0,,467.0,     136,2.0,,,,,,,350655.0,54.0,43.5,21.0,16.9,48.0,38.7,102.0,82.3,64.0,51.6,Boston,Lyon Upper 9-12
Boston - Another Course To College,350541.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,55.0,63.0,54.0,0.0,224.0, 00350541,45.1,4.0,40.2,8.0,0.0,0.4,2.2,54.9,45.1,43.0,35.0,81.4,0.0,42.9,25.7,31.4,25.7,11.4,17.1,SCIENCE AND TECH/ENG,11.0,35.0,0.0,0.0,11.0,35.0,20.0,65.0,0.0,0.0,31.0,75.0,,,83.0,450.0,,457.0,     249,18.0,0.4,6.8,0.0,0.8,0.0,,350541.0,100.0,44.6,37.0,16.5,52.0,23.2,168.0,75.0,138.0,61.6,Boston,Another Course To College
Boston - Margarita Muniz Academy,350549.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,73.0,75.0,68.0,0.0,298.0, 00350549,2.3,0.0,96.3,1.0,0.0,0.0,0.3,42.3,57.7,,,,,,,,,,,SCIENCE AND TECH/ENG,14.0,25.0,0.0,0.0,14.0,25.0,37.0,65.0,6.0,11.0,57.0,65.8,,,87.0,417.0,,418.0,     296,8.0,0.0,2.7,0.0,0.0,0.0,,350549.0,266.0,89.3,148.0,49.7,38.0,12.8,262.0,87.9,211.0,70.8,Boston,Margarita Muniz Academy
Boston - Urban Science Academy,350579.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,69.0,102.0,125.0,0.0,392.0, 00350579,51.3,0.0,39.3,6.4,0.5,0.0,2.6,61.2,38.5,88.0,50.0,56.8,0.0,26.0,54.0,20.0,52.0,8.0,10.0,SCIENCE AND TECH/ENG,19.0,27.0,1.0,1.0,18.0,25.0,32.0,45.0,20.0,28.0,71.0,63.0,,,108.0,451.0,,440.0,     486,36.0,0.0,7.0,0.0,0.4,0.0,,350579.0,158.0,40.3,58.0,14.8,109.0,27.8,294.0,75.0,233.0,59.4,Boston,Urban Science Academy
Boston - Jeremiah E Burke High,350525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,87.0,114.0,169.0,0.0,472.0, 00350525,71.0,0.6,24.4,1.9,0.2,0.2,1.7,55.1,44.9,136.0,62.0,45.6,0.0,22.6,58.1,19.4,54.8,6.5,11.3,SCIENCE AND TECH/ENG,22.0,35.0,1.0,2.0,21.0,34.0,32.0,52.0,8.0,13.0,62.0,71.0,,,156.0,410.0,,436.0,     615,5.0,,,,,,,350525.0,247.0,52.3,177.0,37.5,59.0,12.5,400.0,84.7,307.0,65.0,Boston,Jeremiah E Burke High
