,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,HighSchoolGraduates(Num),AttendingColl./Univ.(Num),AttendingColl./Univ.(Percent),PrivateTwoYear(Percent),PrivateFourYear(Percent),PublicTwoYear(Percent),PublicFourYear(Percent),MACommunityCollege(Percent),MAStateUniversity(Percent),Univ.ofMass.(Percent),Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,W/FNum,W/FPercent,StudentIncluded,CPI,SGP,IncludedInSGP,TestsTaken,Reading/Writing,Writing,Math,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Unnamed:9,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Town,School
Braintree - Archie T Morrison,400033.0,0.0,20.0,65.0,86.0,67.0,99.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418.0, 00400033,9.8,15.3,4.5,68.2,0.2,0.2,1.7,51.0,49.0,,,,,,,,,,,SCIENCE AND TECH/ENG,41.0,59.0,16.0,23.0,25.0,36.0,22.0,31.0,7.0,10.0,70.0,82.9,,,,,,,     439,0.0,,,,,,,400033.0,70.0,16.7,39.0,9.3,71.0,17.0,205.0,49.0,127.0,30.4,Braintree,Archie T Morrison
Braintree - Braintree High,400505.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,422.0,426.0,389.0,418.0,11.0,1801.0, 00400505,5.6,15.2,4.3,73.9,0.1,0.0,0.9,50.6,49.4,388.0,337.0,86.9,0.0,37.7,13.6,48.7,13.4,18.7,18.7,SCIENCE AND TECH/ENG,298.0,83.0,163.0,45.0,135.0,38.0,52.0,14.0,9.0,3.0,359.0,93.7,,,548.0,565.0,,576.0,"   1,814",49.0,0.0,2.7,0.0,0.0,0.0,,400505.0,220.0,12.2,62.0,3.4,382.0,21.2,618.0,34.3,301.0,16.7,Braintree,Braintree High
Braintree - Donald Ross,400050.0,0.0,19.0,55.0,42.0,63.0,50.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.0, 00400050,7.0,19.3,9.1,62.5,0.7,0.0,1.4,51.9,48.1,,,,,,,,,,,SCIENCE AND TECH/ENG,31.0,63.0,9.0,18.0,22.0,45.0,15.0,31.0,3.0,6.0,49.0,85.7,,,,,,,     294,2.0,,,,,,,400050.0,96.0,33.7,46.0,16.1,35.0,12.3,140.0,49.1,89.0,31.2,Braintree,Donald Ross
Braintree - East Middle School,400305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.0,242.0,241.0,0.0,0.0,0.0,0.0,0.0,715.0, 00400305,5.7,14.8,5.0,72.2,0.6,0.0,1.7,50.8,49.1,,,,,,,,,,,SCIENCE AND TECH/ENG,146.0,60.0,11.0,5.0,135.0,56.0,78.0,32.0,18.0,7.0,242.0,83.8,,,,,,,     740,6.0,0.0,0.8,0.0,0.0,0.0,,400305.0,94.0,13.1,26.0,3.6,149.0,20.8,279.0,39.0,163.0,22.8,Braintree,East Middle School
Braintree - Highlands,400015.0,0.0,21.0,75.0,85.0,79.0,79.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424.0, 00400015,2.4,15.8,2.1,79.0,0.5,0.0,0.2,47.6,52.4,,,,,,,,,,,SCIENCE AND TECH/ENG,46.0,62.0,27.0,36.0,19.0,26.0,27.0,36.0,1.0,1.0,74.0,86.5,,,,,,,     433,2.0,,,,,,,400015.0,40.0,9.4,21.0,5.0,75.0,17.7,127.0,30.0,47.0,11.1,Braintree,Highlands
Braintree - Hollis,400005.0,0.0,24.0,79.0,82.0,77.0,79.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.0, 00400005,3.5,19.9,5.3,68.8,0.2,0.0,2.3,49.8,50.2,,,,,,,,,,,SCIENCE AND TECH/ENG,40.0,48.0,24.0,29.0,16.0,19.0,37.0,45.0,6.0,7.0,83.0,78.0,,,,,,,     442,1.0,,,,,,,400005.0,92.0,21.3,28.0,6.5,107.0,24.8,178.0,41.2,73.0,16.9,Braintree,Hollis
Braintree - Liberty,400025.0,0.0,0.0,83.0,86.0,94.0,87.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460.0, 00400025,2.2,25.7,3.9,66.1,0.0,0.2,2.0,50.0,50.0,,,,,,,,,,,SCIENCE AND TECH/ENG,60.0,82.0,43.0,59.0,17.0,23.0,13.0,18.0,0.0,0.0,73.0,94.5,,,,,,,     465,0.0,,,,,,,400025.0,78.0,17.0,32.0,7.0,69.0,15.0,148.0,32.2,54.0,11.7,Braintree,Liberty
Braintree - Mary E Flaherty School,400020.0,0.0,22.0,73.0,68.0,62.0,78.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,377.0, 00400020,3.7,23.3,4.0,65.8,0.5,0.0,2.7,48.0,52.0,,,,,,,,,,,SCIENCE AND TECH/ENG,52.0,73.0,28.0,39.0,24.0,34.0,13.0,18.0,6.0,8.0,71.0,92.6,,,,,,,     386,0.0,,,,,,,400020.0,73.0,19.4,28.0,7.4,68.0,18.0,146.0,38.7,73.0,19.4,Braintree,Mary E Flaherty School
Braintree - Monatiquot Kindergarten Center,400009.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0, 00400009,4.4,18.4,5.2,70.0,0.0,0.4,1.6,59.6,40.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     282,0.0,,,,,,,400009.0,42.0,16.8,25.0,10.0,26.0,10.4,98.0,39.2,60.0,24.0,Braintree,Monatiquot Kindergarten Center
Braintree - South Middle School,400310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,230.0,222.0,0.0,0.0,0.0,0.0,0.0,666.0, 00400310,2.9,16.1,4.5,75.8,0.2,0.0,0.6,48.8,51.2,,,,,,,,,,,SCIENCE AND TECH/ENG,148.0,68.0,13.0,6.0,135.0,62.0,63.0,29.0,8.0,4.0,219.0,86.9,,,,,,,     692,10.0,1.0,0.4,0.0,0.0,0.0,,400310.0,77.0,11.6,15.0,2.3,163.0,24.5,232.0,34.8,95.0,14.3,Braintree,South Middle School
