,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,HighSchoolGraduates(Num),AttendingColl./Univ.(Num),AttendingColl./Univ.(Percent),PrivateTwoYear(Percent),PrivateFourYear(Percent),PublicTwoYear(Percent),PublicFourYear(Percent),MACommunityCollege(Percent),MAStateUniversity(Percent),Univ.ofMass.(Percent),Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,W/FNum,W/FPercent,StudentIncluded,CPI,SGP,IncludedInSGP,TestsTaken,Reading/Writing,Writing,Math,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Unnamed:9,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Town,School
Brockton - Ashfield Middle School,440421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,168.0,166.0,0.0,0.0,0.0,0.0,0.0,504.0, 00440421,45.6,2.2,12.3,35.7,0.4,0.2,3.6,52.2,47.8,,,,,,,,,,,SCIENCE AND TECH/ENG,15.0,11.0,0.0,0.0,15.0,11.0,70.0,52.0,49.0,37.0,134.0,56.5,,,,,,,     530,53.0,0.0,10.0,0.0,0.0,0.0,,440421.0,176.0,34.9,113.0,22.4,87.0,17.3,324.0,64.3,247.0,49.0,Brockton,Ashfield Middle School
Brockton - Barrett Russell Early Childhood Center,440008.0,237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.0, 00440008,55.3,0.8,9.7,27.8,0.0,0.0,6.3,60.3,39.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440008.0,54.0,22.8,0.0,0.0,127.0,53.6,177.0,74.7,128.0,54.0,Brockton,Barrett Russell Early Childhood Center
Brockton - Brockton Champion High School,440515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,35.0,34.0,27.0,38.0,176.0, 00440515,41.5,0.6,22.7,30.7,0.6,0.0,4.0,56.3,43.8,34.0,19.0,55.9,5.3,5.3,78.9,10.5,78.9,10.5,0.0,SCIENCE AND TECH/ENG,4.0,40.0,2.0,20.0,2.0,20.0,6.0,60.0,0.0,0.0,10.0,77.5,,,,,,,     233,44.0,3.4,15.5,0.0,0.0,2.6,,440515.0,26.0,14.8,10.0,5.7,81.0,46.0,143.0,81.3,126.0,71.6,Brockton,Brockton Champion High School
Brockton - Brockton High,440505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1143.0,1022.0,992.0,950.0,16.0,4123.0, 00440505,62.4,2.6,12.5,18.2,0.4,0.2,3.7,51.9,48.1,897.0,682.0,76.0,0.7,19.1,49.0,31.2,48.4,13.9,15.1,SCIENCE AND TECH/ENG,504.0,58.0,115.0,13.0,389.0,44.0,267.0,31.0,104.0,12.0,875.0,82.9,,,930.0,496.0,,489.0,"   4,462",848.0,14.5,11.2,0.0,0.0,1.4,,440505.0,2000.0,48.5,892.0,21.6,515.0,12.5,2659.0,64.5,2036.0,49.4,Brockton,Brockton High
Brockton - Brookfield,440010.0,0.0,84.0,95.0,109.0,116.0,133.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,647.0, 00440010,58.4,1.7,9.4,25.8,0.2,0.3,4.2,53.6,46.4,,,,,,,,,,,SCIENCE AND TECH/ENG,23.0,25.0,2.0,2.0,21.0,23.0,41.0,45.0,28.0,30.0,92.0,58.4,,,,,,,     689,18.0,0.1,2.6,0.0,0.0,0.0,,440010.0,269.0,41.6,234.0,36.2,84.0,13.0,463.0,71.6,336.0,51.9,Brockton,Brookfield
Brockton - Downey,440110.0,0.0,94.0,99.0,110.0,111.0,114.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629.0, 00440110,52.8,1.3,18.3,20.3,0.6,0.3,6.4,56.4,43.6,,,,,,,,,,,SCIENCE AND TECH/ENG,19.0,17.0,4.0,4.0,15.0,14.0,49.0,45.0,41.0,38.0,109.0,60.1,,,,,,,     725,27.0,0.0,3.7,0.0,0.0,0.0,,440110.0,129.0,20.5,65.0,10.3,198.0,31.5,482.0,76.6,403.0,64.1,Brockton,Downey
Brockton - Dr W Arnone Community School,440001.0,0.0,119.0,126.0,122.0,134.0,116.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,736.0, 00440001,64.0,0.1,16.7,11.1,0.8,0.0,7.2,56.0,44.0,,,,,,,,,,,SCIENCE AND TECH/ENG,24.0,19.0,1.0,1.0,23.0,18.0,57.0,45.0,45.0,36.0,126.0,54.2,,,,,,,     824,66.0,7.4,2.1,0.0,0.0,1.3,,440001.0,201.0,27.3,107.0,14.5,147.0,20.0,552.0,75.0,477.0,64.8,Brockton,Dr W Arnone Community School
Brockton - East Middle School,440405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,166.0,158.0,0.0,0.0,0.0,0.0,0.0,481.0, 00440405,69.9,1.2,9.6,15.6,0.0,0.2,3.5,54.1,45.9,,,,,,,,,,,SCIENCE AND TECH/ENG,16.0,10.0,0.0,0.0,16.0,10.0,81.0,49.0,67.0,41.0,164.0,48.6,,,,,,,     592,72.0,0.3,11.8,0.0,0.0,0.0,,440405.0,284.0,59.0,204.0,42.4,91.0,18.9,397.0,82.5,298.0,62.0,Brockton,East Middle School
Brockton - Edgar B Davis,440023.0,0.0,111.0,125.0,134.0,118.0,106.0,122.0,113.0,100.0,93.0,0.0,0.0,0.0,0.0,0.0,1022.0, 00440023,62.6,0.3,15.2,15.2,0.5,0.4,5.9,49.6,50.4,,,,,,,,,,,SCIENCE AND TECH/ENG,32.0,15.0,0.0,0.0,32.0,15.0,114.0,54.0,64.0,30.0,210.0,53.9,,,,,,,"   1,107",65.0,2.2,4.3,0.0,0.0,0.0,,440023.0,410.0,40.1,241.0,23.6,84.0,8.2,722.0,70.6,608.0,59.5,Brockton,Edgar B Davis
Brockton - Edison Academy,440520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,97.0,78.0,0.0,196.0, 00440520,79.6,0.5,10.2,8.2,0.0,0.0,1.5,52.6,47.4,137.0,55.0,40.1,3.6,1.8,89.1,5.5,87.3,3.6,1.8,,,,,,,,,,,,,,,,1.0,,,,     313,2.0,,,,,,,440520.0,150.0,76.5,126.0,64.3,22.0,11.2,175.0,89.3,122.0,62.2,Brockton,Edison Academy
Brockton - Frederick Douglass Academy,440080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,17.0,8.0,3.0,0.0,0.0,34.0, 00440080,76.5,0.0,14.7,5.9,0.0,0.0,2.9,70.6,29.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      99,57.0,9.1,52.5,0.0,0.0,5.1,,440080.0,14.0,41.2,6.0,17.6,12.0,35.3,28.0,82.4,24.0,70.6,Brockton,Frederick Douglass Academy
Brockton - Gilmore Elementary School,440055.0,0.0,82.0,105.0,94.0,93.0,84.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,558.0, 00440055,76.7,0.2,12.7,5.4,0.5,0.0,4.5,52.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440055.0,277.0,49.6,207.0,37.1,42.0,7.5,471.0,84.4,380.0,68.1,Brockton,Gilmore Elementary School
Brockton - Hancock,440045.0,0.0,114.0,104.0,99.0,115.0,110.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659.0, 00440045,48.6,3.3,7.3,35.1,0.5,0.3,5.0,48.4,51.6,,,,,,,,,,,SCIENCE AND TECH/ENG,18.0,17.0,5.0,5.0,13.0,12.0,64.0,60.0,24.0,23.0,106.0,59.7,,,,,,,     695,21.0,1.6,1.7,0.0,0.0,0.0,,440045.0,127.0,19.3,77.0,11.7,44.0,6.7,357.0,54.2,312.0,47.3,Brockton,Hancock
Brockton - Huntington Therapeutic Day School,440400.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,6.0,3.0,3.0,13.0,8.0,10.0,9.0,0.0,58.0, 00440400,43.1,0.0,19.0,31.0,0.0,0.0,6.9,72.4,27.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440400.0,12.0,20.7,9.0,15.5,57.0,98.3,58.0,100.0,46.0,79.3,Brockton,Huntington Therapeutic Day School
Brockton - John F Kennedy,440017.0,0.0,93.0,95.0,100.0,104.0,87.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.0, 00440017,48.7,3.9,10.6,29.0,0.0,0.0,7.8,50.1,49.9,,,,,,,,,,,SCIENCE AND TECH/ENG,23.0,26.0,5.0,6.0,18.0,20.0,48.0,54.0,18.0,20.0,89.0,69.9,,,,,,,     655,3.0,,,,,,,440017.0,172.0,29.3,136.0,23.2,70.0,11.9,338.0,57.6,263.0,44.8,Brockton,John F Kennedy
Brockton - Joseph F. Plouffe Academy,440422.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.0,233.0,221.0,0.0,0.0,0.0,0.0,0.0,686.0, 00440422,38.9,2.8,28.6,23.8,0.1,0.1,5.7,45.6,54.4,,,,,,,,,,,SCIENCE AND TECH/ENG,81.0,39.0,4.0,2.0,77.0,37.0,75.0,36.0,51.0,25.0,207.0,69.0,,,,,,,     731,61.0,5.1,4.5,0.0,0.0,0.0,,440422.0,245.0,35.7,91.0,13.3,92.0,13.4,397.0,57.9,329.0,48.0,Brockton,Joseph F. Plouffe Academy
