,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,HighSchoolGraduates(Num),AttendingColl./Univ.(Num),AttendingColl./Univ.(Percent),PrivateTwoYear(Percent),PrivateFourYear(Percent),PublicTwoYear(Percent),PublicFourYear(Percent),MACommunityCollege(Percent),MAStateUniversity(Percent),Univ.ofMass.(Percent),Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,W/FNum,W/FPercent,StudentIncluded,CPI,SGP,IncludedInSGP,TestsTaken,Reading/Writing,Writing,Math,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Unnamed:9,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Town,School
Brookline - Brookline Early Education Program at Beacon,460001.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0, 00460001,3.3,26.7,5.0,50.0,0.0,0.0,15.0,45.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      79,0.0,,,,,,,460001.0,17.0,28.3,8.0,13.3,7.0,11.7,17.0,28.3,6.0,10.0,Brookline,Brookline Early Education Program at Beacon
Brookline - Brookline Early Education Program at Putterham,460002.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0, 00460002,8.3,26.7,11.7,41.7,0.0,0.0,11.7,56.7,43.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      82,0.0,,,,,,,460002.0,17.0,28.3,4.0,6.7,15.0,25.0,23.0,38.3,7.0,11.7,Brookline,Brookline Early Education Program at Putterham
Brookline - Brookline High,460505.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531.0,510.0,497.0,506.0,19.0,2080.0, 00460505,7.0,17.1,11.6,55.6,0.0,0.1,8.7,50.2,49.7,451.0,365.0,80.9,0.0,65.5,7.4,27.1,6.3,2.5,14.8,SCIENCE AND TECH/ENG,396.0,88.0,260.0,58.0,136.0,30.0,50.0,11.0,6.0,1.0,452.0,95.1,,,515.0,623.0,,642.0,"   2,046",60.0,2.2,1.5,0.0,0.0,0.0,,460505.0,588.0,28.3,77.0,3.7,333.0,16.0,593.0,28.5,266.0,12.8,Brookline,Brookline High
Brookline - Edith C Baker,460005.0,0.0,78.0,85.0,76.0,111.0,68.0,101.0,85.0,75.0,83.0,0.0,0.0,0.0,0.0,0.0,762.0, 00460005,5.9,27.4,9.4,48.4,0.0,0.1,8.7,51.4,48.6,,,,,,,,,,,SCIENCE AND TECH/ENG,105.0,71.0,42.0,28.0,63.0,43.0,36.0,24.0,7.0,5.0,148.0,89.0,,,,,,,     803,5.0,,,,,,,460005.0,274.0,36.0,102.0,13.4,110.0,14.4,272.0,35.7,56.0,7.3,Brookline,Edith C Baker
Brookline - Edward Devotion,460015.0,0.0,92.0,85.0,96.0,92.0,96.0,93.0,94.0,78.0,75.0,0.0,0.0,0.0,0.0,0.0,801.0, 00460015,5.2,12.7,13.0,58.9,0.0,0.0,10.1,52.8,47.2,,,,,,,,,,,SCIENCE AND TECH/ENG,94.0,62.0,26.0,17.0,68.0,45.0,50.0,33.0,8.0,5.0,152.0,84.0,,,,,,,     825,8.0,0.2,0.7,0.0,0.0,0.0,,460015.0,298.0,37.2,110.0,13.7,124.0,15.5,300.0,37.5,101.0,12.6,Brookline,Edward Devotion
Brookline - Heath,460025.0,31.0,55.0,45.0,61.0,72.0,62.0,68.0,55.0,63.0,53.0,0.0,0.0,0.0,0.0,0.0,565.0, 00460025,3.9,16.1,9.2,61.4,0.0,0.0,9.4,49.2,50.8,,,,,,,,,,,SCIENCE AND TECH/ENG,68.0,66.0,21.0,20.0,47.0,46.0,32.0,31.0,3.0,3.0,103.0,87.1,,,,,,,     589,0.0,,,,,,,460025.0,110.0,19.5,26.0,4.6,57.0,10.1,119.0,21.1,42.0,7.4,Brookline,Heath
Brookline - John D Runkle,460045.0,15.0,62.0,61.0,66.0,71.0,78.0,71.0,65.0,68.0,70.0,0.0,0.0,0.0,0.0,0.0,627.0, 00460045,2.7,15.5,10.2,60.8,0.0,0.0,10.8,53.1,46.9,,,,,,,,,,,SCIENCE AND TECH/ENG,67.0,55.0,18.0,15.0,49.0,41.0,42.0,35.0,12.0,10.0,121.0,82.4,,,,,,,     626,7.0,0.8,0.3,0.0,0.0,0.0,,460045.0,162.0,25.8,57.0,9.1,127.0,20.3,199.0,31.7,43.0,6.9,Brookline,John D Runkle
Brookline - Lawrence,460030.0,0.0,88.0,76.0,91.0,86.0,83.0,84.0,75.0,60.0,79.0,0.0,0.0,0.0,0.0,0.0,722.0, 00460030,6.1,30.2,8.9,46.7,0.0,0.1,8.0,52.6,47.4,,,,,,,,,,,SCIENCE AND TECH/ENG,73.0,57.0,21.0,17.0,52.0,41.0,44.0,35.0,10.0,8.0,127.0,81.9,,,,,,,     765,9.0,1.0,0.3,0.0,0.0,0.0,,460030.0,277.0,38.4,145.0,20.1,93.0,12.9,297.0,41.1,81.0,11.2,Brookline,Lawrence
Brookline - Michael Driscoll,460020.0,16.0,61.0,62.0,68.0,81.0,61.0,73.0,75.0,68.0,64.0,0.0,0.0,0.0,0.0,0.0,629.0, 00460020,5.2,16.2,8.1,56.8,0.0,0.0,13.7,53.4,46.6,,,,,,,,,,,SCIENCE AND TECH/ENG,74.0,61.0,18.0,15.0,56.0,46.0,43.0,35.0,5.0,4.0,122.0,85.2,,,,,,,     627,8.0,1.1,0.3,0.0,0.0,0.0,,460020.0,169.0,26.9,59.0,9.4,86.0,13.7,180.0,28.6,47.0,7.5,Brookline,Michael Driscoll
Brookline - Pierce,460040.0,0.0,108.0,91.0,111.0,108.0,114.0,84.0,76.0,84.0,83.0,0.0,0.0,0.0,0.0,0.0,859.0, 00460040,4.1,23.2,10.1,53.8,0.0,0.0,8.8,49.1,50.9,,,,,,,,,,,SCIENCE AND TECH/ENG,99.0,68.0,34.0,23.0,65.0,45.0,40.0,27.0,7.0,5.0,146.0,86.5,,,,,,,     909,2.0,,,,,,,460040.0,275.0,32.0,148.0,17.2,92.0,10.7,296.0,34.5,97.0,11.3,Brookline,Pierce
Brookline - The Lynch Center,460060.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0, 00460060,12.1,19.0,19.0,27.6,0.0,0.0,22.4,53.4,46.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      82,0.0,,,,,,,460060.0,20.0,34.5,8.0,13.8,20.0,34.5,33.0,56.9,15.0,25.9,Brookline,The Lynch Center
Brookline - William H Lincoln,460035.0,0.0,65.0,61.0,62.0,70.0,59.0,86.0,60.0,54.0,61.0,0.0,0.0,0.0,0.0,0.0,578.0, 00460035,10.2,22.5,11.9,48.3,0.2,0.0,6.9,48.6,51.4,,,,,,,,,,,SCIENCE AND TECH/ENG,78.0,66.0,29.0,25.0,49.0,42.0,34.0,29.0,6.0,5.0,118.0,87.5,,,,,,,     608,0.0,,,,,,,460035.0,186.0,32.2,95.0,16.4,100.0,17.3,243.0,42.0,85.0,14.7,Brookline,William H Lincoln
