,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,HighSchoolGraduates(Num),AttendingColl./Univ.(Num),AttendingColl./Univ.(Percent),PrivateTwoYear(Percent),PrivateFourYear(Percent),PublicTwoYear(Percent),PublicFourYear(Percent),MACommunityCollege(Percent),MAStateUniversity(Percent),Univ.ofMass.(Percent),Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,W/FNum,W/FPercent,StudentIncluded,CPI,SGP,IncludedInSGP,TestsTaken,Reading/Writing,Writing,Math,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Unnamed:9,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Town,School
Cambridge - Cambridge Rindge and Latin,490506.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484.0,486.0,507.0,485.0,3.0,1965.0, 00490506,30.2,11.5,13.7,38.2,0.5,0.2,5.8,52.1,47.9,433.0,349.0,80.6,0.0,53.9,18.1,28.1,17.5,3.7,18.3,SCIENCE AND TECH/ENG,307.0,75.0,143.0,35.0,164.0,40.0,76.0,19.0,25.0,6.0,408.0,89.3,,,538.0,570.0,,576.0,"   2,034",78.0,1.4,3.1,0.0,0.0,0.4,,490506.0,512.0,26.1,113.0,5.8,351.0,17.9,850.0,43.3,593.0,30.2,Cambridge,Cambridge Rindge and Latin
Cambridge - Cambridge Street Upper School,490305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,80.0,91.0,0.0,0.0,0.0,0.0,0.0,248.0, 00490305,28.2,6.5,21.8,33.5,0.4,0.8,8.9,50.0,50.0,,,,,,,,,,,SCIENCE AND TECH/ENG,25.0,32.0,6.0,8.0,19.0,25.0,28.0,36.0,24.0,31.0,77.0,64.3,,,,,,,     274,0.0,,,,,,,490305.0,60.0,24.2,4.0,1.6,78.0,31.5,143.0,57.7,104.0,41.9,Cambridge,Cambridge Street Upper School
Cambridge - Putnam Avenue Upper School,490310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,90.0,94.0,0.0,0.0,0.0,0.0,0.0,263.0, 00490310,35.0,10.6,17.9,25.9,0.4,0.4,9.9,51.0,49.0,,,,,,,,,,,SCIENCE AND TECH/ENG,29.0,38.0,3.0,4.0,26.0,34.0,26.0,34.0,21.0,28.0,76.0,66.8,,,,,,,     273,16.0,4.4,2.6,0.0,0.0,0.0,,490310.0,61.0,23.2,6.0,2.3,76.0,28.9,153.0,58.2,117.0,44.5,Cambridge,Putnam Avenue Upper School
Cambridge - Rindge Avenue Upper School,490315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,89.0,94.0,0.0,0.0,0.0,0.0,0.0,267.0, 00490315,29.2,9.7,7.5,44.9,0.4,0.4,7.9,47.9,52.1,,,,,,,,,,,SCIENCE AND TECH/ENG,34.0,41.0,1.0,1.0,33.0,40.0,28.0,34.0,21.0,25.0,83.0,67.8,,,,,,,     282,22.0,2.5,5.7,0.0,0.0,0.0,,490315.0,48.0,18.0,5.0,1.9,73.0,27.3,113.0,42.3,72.0,27.0,Cambridge,Rindge Avenue Upper School
Cambridge - Vassal Lane Upper School,490320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,100.0,91.0,0.0,0.0,0.0,0.0,0.0,281.0, 00490320,25.6,15.7,8.5,42.7,0.0,0.4,7.1,41.3,58.7,,,,,,,,,,,SCIENCE AND TECH/ENG,33.0,47.0,4.0,6.0,29.0,41.0,19.0,27.0,18.0,26.0,70.0,68.2,,,,,,,     282,3.0,,,,,,,490320.0,102.0,36.3,35.0,12.5,59.0,21.0,148.0,52.7,87.0,31.0,Cambridge,Vassal Lane Upper School
Cambridge - Amigos School,490006.0,24.0,56.0,45.0,45.0,41.0,41.0,46.0,36.0,38.0,25.0,0.0,0.0,0.0,0.0,0.0,397.0, 00490006,4.8,3.5,43.8,38.5,0.0,0.0,9.3,44.8,55.2,,,,,,,,,,,SCIENCE AND TECH/ENG,38.0,66.0,15.0,26.0,23.0,40.0,16.0,28.0,4.0,7.0,58.0,85.3,,,,,,,     379,0.0,,,,,,,490006.0,143.0,36.0,25.0,6.3,53.0,13.4,125.0,31.5,75.0,18.9,Cambridge,Amigos School
Cambridge - Haggerty,490020.0,27.0,43.0,47.0,42.0,35.0,34.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.0, 00490020,20.6,16.0,7.0,45.1,0.0,0.0,11.3,51.4,48.6,,,,,,,,,,,SCIENCE AND TECH/ENG,15.0,56.0,6.0,22.0,9.0,33.0,9.0,33.0,3.0,11.0,27.0,80.6,,,,,,,     256,0.0,,,,,,,490020.0,81.0,31.5,26.0,10.1,50.0,19.5,111.0,43.2,68.0,26.5,Cambridge,Haggerty
Cambridge - King Open,490035.0,31.0,57.0,50.0,51.0,47.0,50.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.0, 00490035,19.8,10.6,15.8,44.4,0.6,0.0,8.8,52.3,47.7,,,,,,,,,,,SCIENCE AND TECH/ENG,27.0,66.0,16.0,39.0,11.0,27.0,10.0,24.0,4.0,10.0,41.0,84.1,,,,,,,     353,15.0,0.6,4.0,0.0,0.0,0.0,,490035.0,79.0,24.0,26.0,7.9,87.0,26.4,159.0,48.3,98.0,29.8,Cambridge,King Open
Cambridge - Graham and Parks,490080.0,33.0,50.0,59.0,56.0,51.0,52.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362.0, 00490080,19.1,19.6,4.4,52.2,0.0,0.0,4.7,48.6,51.4,,,,,,,,,,,SCIENCE AND TECH/ENG,13.0,35.0,9.0,24.0,4.0,11.0,11.0,30.0,13.0,35.0,37.0,63.5,,,,,,,     441,0.0,,,,,,,490080.0,173.0,47.8,114.0,31.5,63.0,17.4,216.0,59.7,95.0,26.2,Cambridge,Graham and Parks
Cambridge - Martin Luther King Jr.,490030.0,38.0,62.0,51.0,48.0,44.0,44.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328.0, 00490030,24.4,22.0,5.8,29.6,0.0,0.0,18.3,49.7,50.3,,,,,,,,,,,SCIENCE AND TECH/ENG,15.0,54.0,9.0,32.0,6.0,21.0,11.0,39.0,2.0,7.0,28.0,82.1,,,,,,,     326,4.0,,,,,,,490030.0,89.0,27.1,16.0,4.9,42.0,12.8,112.0,34.1,81.0,24.7,Cambridge,Martin Luther King Jr.
