,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,HighSchoolGraduates(Num),AttendingColl./Univ.(Num),AttendingColl./Univ.(Percent),PrivateTwoYear(Percent),PrivateFourYear(Percent),PublicTwoYear(Percent),PublicFourYear(Percent),MACommunityCollege(Percent),MAStateUniversity(Percent),Univ.ofMass.(Percent),Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,W/FNum,W/FPercent,StudentIncluded,CPI,SGP,IncludedInSGP,TestsTaken,Reading/Writing,Writing,Math,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Unnamed:9,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Town,School
Chicopee - Chicopee High,610505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.0,226.0,206.0,244.0,10.0,950.0, 00610505,3.9,1.7,39.1,53.2,0.1,0.1,2.0,49.5,50.5,228.0,176.0,77.2,0.0,29.0,54.5,16.5,52.8,5.7,5.7,SCIENCE AND TECH/ENG,75.0,46.0,18.0,11.0,57.0,35.0,76.0,47.0,11.0,7.0,162.0,78.4,,,148.0,529.0,,519.0,     999,112.0,3.1,9.7,0.0,0.0,0.0,,610505.0,144.0,15.2,51.0,5.4,175.0,18.4,552.0,58.1,479.0,50.4,Chicopee,Chicopee High
Chicopee - Chicopee Comprehensive High School,610510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,331.0,357.0,317.0,18.0,1365.0, 00610510,2.5,2.7,27.0,65.5,0.1,0.0,2.1,53.7,46.3,299.0,203.0,67.9,0.0,18.2,67.0,14.8,63.5,5.9,4.9,SCIENCE AND TECH/ENG,218.0,62.0,40.0,11.0,178.0,51.0,112.0,32.0,20.0,6.0,350.0,85.1,,,164.0,532.0,,527.0,"   1,456",49.0,1.6,2.6,0.0,0.0,0.0,,610510.0,155.0,11.4,49.0,3.6,202.0,14.8,674.0,49.4,588.0,43.1,Chicopee,Chicopee Comprehensive High School
Chicopee - Chicopee Academy,610021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,12.0,25.0,17.0,13.0,11.0,0.0,82.0, 00610021,4.9,0.0,61.0,31.7,0.0,0.0,2.4,73.2,26.8,9.0,,,,,,,,,,SCIENCE AND TECH/ENG,0.0,0.0,0.0,0.0,0.0,0.0,7.0,30.0,16.0,70.0,23.0,29.3,,,1.0,,,,     122,90.0,0.0,73.8,0.8,0.0,0.0,,610021.0,14.0,17.1,3.0,3.7,29.0,35.4,75.0,91.5,69.0,84.1,Chicopee,Chicopee Academy
Chicopee - Dupont Middle,610310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.0,250.0,247.0,0.0,0.0,0.0,0.0,0.0,750.0, 00610310,4.5,0.8,40.4,50.9,0.1,0.0,3.2,55.7,44.3,,,,,,,,,,,SCIENCE AND TECH/ENG,73.0,28.0,5.0,2.0,68.0,26.0,126.0,49.0,60.0,23.0,259.0,64.4,,,,,,,     821,112.0,11.0,6.6,0.0,0.0,0.0,,610310.0,92.0,12.3,40.0,5.3,153.0,20.4,475.0,63.3,415.0,55.3,Chicopee,Dupont Middle
Chicopee - Bellamy Middle,610305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.0,268.0,266.0,0.0,0.0,0.0,0.0,0.0,797.0, 00610305,2.8,1.5,37.8,54.7,0.0,0.0,3.3,50.4,49.6,,,,,,,,,,,SCIENCE AND TECH/ENG,76.0,30.0,0.0,0.0,76.0,30.0,112.0,44.0,64.0,25.0,252.0,65.9,,,,,,,     841,95.0,9.8,4.0,0.0,0.0,0.0,,610305.0,116.0,14.6,33.0,4.1,154.0,19.3,492.0,61.7,432.0,54.2,Chicopee,Bellamy Middle
Chicopee - Litwin,610022.0,0.0,23.0,27.0,26.0,105.0,113.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418.0, 00610022,4.3,0.5,33.7,59.3,0.2,0.0,1.9,51.9,48.1,,,,,,,,,,,SCIENCE AND TECH/ENG,51.0,50.0,12.0,12.0,39.0,38.0,40.0,39.0,12.0,12.0,103.0,81.1,,,,,,,     452,4.0,,,,,,,610022.0,44.0,10.5,35.0,8.4,77.0,18.4,253.0,60.5,227.0,54.3,Chicopee,Litwin
Chicopee - Bowie,610020.0,0.0,43.0,48.0,63.0,51.0,64.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.0, 00610020,4.2,1.2,19.2,72.1,0.3,0.3,2.7,50.5,49.5,,,,,,,,,,,SCIENCE AND TECH/ENG,41.0,68.0,16.0,27.0,25.0,42.0,19.0,32.0,0.0,0.0,60.0,90.0,,,,,,,     383,2.0,,,,,,,610020.0,6.0,1.8,3.0,0.9,41.0,12.3,153.0,45.9,137.0,41.1,Chicopee,Bowie
Chicopee - Streiber Memorial School,610065.0,0.0,44.0,53.0,43.0,42.0,47.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279.0, 00610065,2.2,3.2,29.0,60.9,0.0,0.4,4.3,52.7,47.3,,,,,,,,,,,SCIENCE AND TECH/ENG,20.0,50.0,3.0,8.0,17.0,43.0,18.0,45.0,2.0,5.0,40.0,84.4,,,,,,,     300,2.0,,,,,,,610065.0,8.0,2.9,1.0,0.4,64.0,22.9,139.0,49.8,117.0,41.9,Chicopee,Streiber Memorial School
Chicopee - Lambert-Lavoie,610040.0,0.0,50.0,43.0,57.0,60.0,53.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317.0, 00610040,3.5,1.3,25.6,65.9,0.0,0.0,3.8,53.3,46.7,,,,,,,,,,,SCIENCE AND TECH/ENG,33.0,65.0,17.0,33.0,16.0,31.0,16.0,31.0,2.0,4.0,51.0,85.3,,,,,,,     321,6.0,0.6,1.2,0.0,0.0,0.0,,610040.0,7.0,2.2,2.0,0.6,44.0,13.9,181.0,57.1,159.0,50.2,Chicopee,Lambert-Lavoie
Chicopee - Barry,610003.0,0.0,59.0,70.0,57.0,66.0,76.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399.0, 00610003,3.0,2.8,26.8,64.7,0.0,0.3,2.5,57.9,42.1,,,,,,,,,,,SCIENCE AND TECH/ENG,46.0,67.0,11.0,16.0,35.0,51.0,21.0,30.0,2.0,3.0,69.0,88.0,,,,,,,     448,9.0,0.0,2.0,0.0,0.0,0.0,,610003.0,70.0,17.5,49.0,12.3,85.0,21.3,256.0,64.2,199.0,49.9,Chicopee,Barry
Chicopee - Gen John J Stefanik,610090.0,0.0,61.0,73.0,72.0,62.0,67.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403.0, 00610090,7.2,0.7,68.0,21.6,0.0,0.0,2.5,52.9,47.1,,,,,,,,,,,SCIENCE AND TECH/ENG,24.0,45.0,5.0,9.0,19.0,36.0,24.0,45.0,5.0,9.0,53.0,76.9,,,,,,,     415,5.0,,,,,,,610090.0,91.0,22.6,41.0,10.2,74.0,18.4,324.0,80.4,307.0,76.2,Chicopee,Gen John J Stefanik
Chicopee - Fairview Elementary,610050.0,0.0,71.0,70.0,72.0,80.0,90.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,461.0, 00610050,3.3,1.7,47.7,43.2,0.0,0.0,4.1,51.0,49.0,,,,,,,,,,,SCIENCE AND TECH/ENG,32.0,48.0,13.0,19.0,19.0,28.0,31.0,46.0,4.0,6.0,67.0,76.9,,,,,,,     484,25.0,2.5,4.1,0.0,0.0,0.0,,610050.0,63.0,13.7,44.0,9.5,65.0,14.1,358.0,77.7,334.0,72.5,Chicopee,Fairview Elementary
Chicopee - Belcher,610010.0,0.0,101.0,94.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.0, 00610010,8.1,0.7,36.5,52.0,0.0,0.0,2.6,52.4,47.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     296,0.0,,,,,,,610010.0,42.0,15.5,38.0,14.0,39.0,14.4,190.0,70.1,173.0,63.8,Chicopee,Belcher
Chicopee - Bowe,610015.0,20.0,100.0,75.0,67.0,72.0,76.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,478.0, 00610015,5.6,1.0,55.6,32.0,0.2,0.0,5.4,51.5,48.5,,,,,,,,,,,SCIENCE AND TECH/ENG,27.0,52.0,5.0,10.0,22.0,42.0,21.0,40.0,4.0,8.0,52.0,80.3,,,,,,,     509,10.0,1.6,1.4,0.0,0.0,0.0,,610015.0,104.0,21.8,62.0,13.0,78.0,16.3,355.0,74.3,329.0,68.8,Chicopee,Bowe
Chicopee - Szetela Early Childhood Center,610001.0,241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.0, 00610001,4.6,1.7,24.1,63.5,0.0,0.0,6.2,59.8,40.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     336,0.0,,,,,,,610001.0,19.0,7.9,4.0,1.7,92.0,38.2,134.0,55.6,100.0,41.5,Chicopee,Szetela Early Childhood Center
