,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,HighSchoolGraduates(Num),AttendingColl./Univ.(Num),AttendingColl./Univ.(Percent),PrivateTwoYear(Percent),PrivateFourYear(Percent),PublicTwoYear(Percent),PublicFourYear(Percent),MACommunityCollege(Percent),MAStateUniversity(Percent),Univ.ofMass.(Percent),Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,W/FNum,W/FPercent,StudentIncluded,CPI,SGP,IncludedInSGP,TestsTaken,Reading/Writing,Writing,Math,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Unnamed:9,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Town,School
Fall River - Fall River Gateway to College @ BCC,950515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0, 00950515,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      25,0.0,,,,,,,950515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fall River,Fall River Gateway to College @ BCC
Fall River - B M C Durfee High,950505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,615.0,544.0,484.0,469.0,0.0,2112.0, 00950505,8.1,5.4,23.7,58.0,0.2,0.2,4.4,50.5,49.5,420.0,278.0,66.2,0.4,14.7,61.5,23.4,60.4,7.9,11.9,SCIENCE AND TECH/ENG,226.0,57.0,76.0,19.0,150.0,38.0,145.0,36.0,28.0,7.0,399.0,81.2,,,292.0,540.0,,530.0,"   2,236",266.0,0.0,11.9,0.0,0.0,0.0,,950505.0,597.0,28.3,263.0,12.5,389.0,18.4,1404.0,66.5,1225.0,58.0,Fall River,B M C Durfee High
Fall River - Resiliency Preparatory Academy,950525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,13.0,32.0,32.0,42.0,40.0,0.0,182.0, 00950525,10.4,1.6,25.3,55.5,0.5,1.1,5.5,50.5,49.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950525.0,28.0,15.4,8.0,4.4,55.0,30.2,165.0,90.7,160.0,87.9,Fall River,Resiliency Preparatory Academy
Fall River - Talbot Innovation School,950305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,173.0,181.0,0.0,0.0,0.0,0.0,0.0,506.0, 00950305,8.1,4.7,33.4,45.3,0.0,0.0,8.5,56.3,43.7,,,,,,,,,,,SCIENCE AND TECH/ENG,15.0,9.0,0.0,0.0,15.0,9.0,68.0,41.0,83.0,50.0,166.0,43.2,,,,,,,     634,120.0,5.8,16.7,0.0,0.0,0.0,,950305.0,181.0,35.8,140.0,27.7,100.0,19.8,423.0,83.6,379.0,74.9,Fall River,Talbot Innovation School
Fall River - Morton Middle,950315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,207.0,193.0,0.0,0.0,0.0,0.0,0.0,587.0, 00950315,8.5,5.1,23.0,57.1,0.5,0.2,5.6,55.9,44.1,,,,,,,,,,,SCIENCE AND TECH/ENG,58.0,30.0,0.0,0.0,58.0,30.0,79.0,41.0,55.0,29.0,192.0,63.9,,,,,,,     683,123.0,8.9,14.3,0.0,0.0,0.0,,950315.0,111.0,18.9,47.0,8.0,135.0,23.0,413.0,70.4,365.0,62.2,Fall River,Morton Middle
Fall River - Matthew J Kuss Middle,950320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.0,267.0,227.0,0.0,0.0,0.0,0.0,0.0,750.0, 00950320,8.9,4.7,20.5,59.1,0.1,0.0,6.7,47.7,52.3,,,,,,,,,,,SCIENCE AND TECH/ENG,72.0,34.0,11.0,5.0,61.0,29.0,81.0,38.0,58.0,27.0,211.0,68.1,,,,,,,     827,171.0,11.6,16.6,0.0,0.0,0.0,,950320.0,117.0,15.6,34.0,4.5,167.0,22.3,521.0,69.5,477.0,63.6,Fall River,Matthew J Kuss Middle
Fall River - Stone PK-12 School,950340.0,0.0,1.0,0.0,2.0,4.0,4.0,3.0,8.0,8.0,4.0,4.0,0.0,0.0,1.0,0.0,39.0, 00950340,12.8,0.0,23.1,51.3,0.0,0.0,12.8,84.6,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950340.0,3.0,7.7,0.0,0.0,35.0,89.7,39.0,100.0,33.0,84.6,Fall River,Stone PK-12 School
Fall River - Samuel Watson,950145.0,0.0,51.0,47.0,46.0,46.0,55.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.0, 00950145,13.1,2.1,21.6,49.5,1.4,0.0,12.4,50.2,49.8,,,,,,,,,,,SCIENCE AND TECH/ENG,4.0,10.0,0.0,0.0,4.0,10.0,25.0,61.0,12.0,29.0,41.0,53.7,,,,,,,     352,11.0,2.0,1.7,0.0,0.0,0.0,,950145.0,48.0,16.5,37.0,12.7,30.0,10.3,243.0,83.5,234.0,80.4,Fall River,Samuel Watson
Fall River - James Tansey,950140.0,0.0,51.0,51.0,54.0,63.0,49.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.0, 00950140,2.5,0.6,7.0,81.0,0.0,0.0,8.9,48.3,51.7,,,,,,,,,,,SCIENCE AND TECH/ENG,11.0,27.0,5.0,12.0,6.0,15.0,24.0,59.0,6.0,15.0,41.0,66.5,,,,,,,     315,6.0,1.9,1.3,0.0,0.0,0.0,,950140.0,14.0,4.4,11.0,3.5,38.0,12.1,172.0,54.6,148.0,47.0,Fall River,James Tansey
Fall River - Spencer Borden,950130.0,0.0,103.0,94.0,86.0,96.0,116.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0, 00950130,5.3,4.8,19.0,61.3,0.0,0.0,9.6,55.1,44.9,,,,,,,,,,,SCIENCE AND TECH/ENG,44.0,65.0,19.0,28.0,25.0,37.0,14.0,21.0,10.0,15.0,68.0,92.3,,,,,,,     569,5.0,,,,,,,950130.0,81.0,13.9,52.0,8.9,131.0,22.4,406.0,69.5,347.0,59.4,Fall River,Spencer Borden
