,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,HighSchoolGraduates(Num),AttendingColl./Univ.(Num),AttendingColl./Univ.(Percent),PrivateTwoYear(Percent),PrivateFourYear(Percent),PublicTwoYear(Percent),PublicFourYear(Percent),MACommunityCollege(Percent),MAStateUniversity(Percent),Univ.ofMass.(Percent),Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,W/FNum,W/FPercent,StudentIncluded,CPI,SGP,IncludedInSGP,TestsTaken,Reading/Writing,Writing,Math,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Unnamed:9,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Town,School
Framingham - Barbieri Elementary,1000035.0,0.0,122.0,111.0,111.0,119.0,103.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,681.0, 01000035,3.7,0.6,69.9,22.5,0.1,0.0,3.2,45.2,54.8,,,,,,,,,,,SCIENCE AND TECH/ENG,22.0,22.0,4.0,4.0,18.0,18.0,41.0,40.0,39.0,38.0,102.0,63.0,,,,,,,     707,0.0,,,,,,,1000035.0,405.0,59.5,298.0,43.8,133.0,19.5,472.0,69.3,321.0,47.1,Framingham,Barbieri Elementary
Framingham - Brophy,1000006.0,0.0,71.0,56.0,74.0,79.0,104.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,476.0, 01000006,6.1,3.8,54.0,34.2,0.0,0.0,1.9,47.9,52.1,,,,,,,,,,,SCIENCE AND TECH/ENG,30.0,32.0,11.0,12.0,19.0,20.0,46.0,49.0,18.0,19.0,94.0,66.2,,,,,,,     561,19.0,0.9,3.0,0.0,0.0,0.0,,1000006.0,289.0,60.7,205.0,43.1,69.0,14.5,336.0,70.6,237.0,49.8,Framingham,Brophy
Framingham - Cameron Middle School,1000302.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0,168.0,179.0,0.0,0.0,0.0,0.0,0.0,535.0, 01000302,6.5,2.8,17.8,68.6,0.2,0.0,4.1,50.8,49.2,,,,,,,,,,,SCIENCE AND TECH/ENG,29.0,16.0,0.0,0.0,29.0,16.0,87.0,49.0,62.0,35.0,178.0,52.9,,,,,,,     564,41.0,2.7,5.5,0.0,0.0,0.0,,1000302.0,281.0,52.5,44.0,8.2,139.0,26.0,311.0,58.1,209.0,39.1,Framingham,Cameron Middle School
Framingham - Charlotte A Dunning,1000007.0,0.0,70.0,68.0,74.0,69.0,103.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,471.0, 01000007,6.8,12.7,11.9,65.2,0.0,0.0,3.4,53.7,46.3,,,,,,,,,,,SCIENCE AND TECH/ENG,47.0,55.0,17.0,20.0,30.0,35.0,30.0,35.0,8.0,9.0,85.0,81.2,,,,,,,     495,6.0,0.2,1.0,0.0,0.0,0.0,,1000007.0,175.0,37.2,89.0,18.9,107.0,22.7,231.0,49.0,103.0,21.9,Framingham,Charlotte A Dunning
Framingham - Framingham High School,1000515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580.0,552.0,557.0,488.0,0.0,2177.0, 01000515,7.3,5.8,22.2,61.4,0.0,0.0,3.2,50.3,49.7,457.0,336.0,73.5,0.0,33.3,22.0,44.6,21.7,15.5,15.8,SCIENCE AND TECH/ENG,397.0,83.0,207.0,43.0,190.0,40.0,60.0,13.0,20.0,4.0,477.0,92.8,,,496.0,559.0,,578.0,"   2,246",203.0,4.4,7.1,0.0,0.0,0.0,,1000515.0,909.0,41.8,282.0,13.0,332.0,15.3,965.0,44.3,594.0,27.3,Framingham,Framingham High School
Framingham - Fuller Middle,1000305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,158.0,159.0,0.0,0.0,0.0,0.0,0.0,501.0, 01000305,9.4,2.4,38.9,45.3,0.0,0.6,3.4,51.1,48.9,,,,,,,,,,,SCIENCE AND TECH/ENG,24.0,17.0,0.0,0.0,24.0,17.0,65.0,45.0,56.0,39.0,145.0,52.4,,,,,,,     517,44.0,5.2,6.2,0.0,0.0,0.0,,1000305.0,271.0,54.1,142.0,28.3,127.0,25.3,356.0,71.1,231.0,46.1,Framingham,Fuller Middle
Framingham - Hemenway,1000015.0,0.0,88.0,95.0,99.0,96.0,95.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,568.0, 01000015,5.3,8.1,10.9,70.2,0.2,0.0,5.3,50.0,50.0,,,,,,,,,,,SCIENCE AND TECH/ENG,65.0,70.0,22.0,24.0,43.0,46.0,23.0,25.0,5.0,5.0,93.0,88.7,,,,,,,     590,2.0,,,,,,,1000015.0,146.0,25.7,89.0,15.7,121.0,21.3,228.0,40.1,104.0,18.3,Framingham,Hemenway
Framingham - Juniper Hill School,1000001.0,273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.0, 01000001,7.0,11.0,25.6,49.8,0.0,0.4,6.2,52.4,47.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     289,0.0,,,,,,,1000001.0,11.0,4.0,1.0,0.4,98.0,35.9,126.0,46.2,72.0,26.4,Framingham,Juniper Hill School
Framingham - King Elementary School,1000005.0,0.0,64.0,75.0,80.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.0, 01000005,5.7,9.9,11.7,65.0,0.0,0.0,7.8,54.8,45.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     254,5.0,,,,,,,1000005.0,107.0,37.8,68.0,24.0,34.0,12.0,126.0,44.5,71.0,25.1,Framingham,King Elementary School
Framingham - Mary E Stapleton Elementary,1000045.0,0.0,59.0,47.0,58.0,55.0,71.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369.0, 01000045,7.9,4.3,16.8,66.9,0.0,0.0,4.1,52.8,47.2,,,,,,,,,,,SCIENCE AND TECH/ENG,27.0,38.0,11.0,15.0,16.0,23.0,26.0,37.0,18.0,25.0,71.0,67.6,,,,,,,     408,30.0,3.7,6.1,0.0,0.0,0.0,,1000045.0,77.0,20.9,46.0,12.5,102.0,27.6,208.0,56.4,147.0,39.8,Framingham,Mary E Stapleton Elementary
