,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,HighSchoolGraduates(Num),AttendingColl./Univ.(Num),AttendingColl./Univ.(Percent),PrivateTwoYear(Percent),PrivateFourYear(Percent),PublicTwoYear(Percent),PublicFourYear(Percent),MACommunityCollege(Percent),MAStateUniversity(Percent),Univ.ofMass.(Percent),Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,W/FNum,W/FPercent,StudentIncluded,CPI,SGP,IncludedInSGP,TestsTaken,Reading/Writing,Writing,Math,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Unnamed:9,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Town,School
Franklin - Annie Sullivan Middle School,1010040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,159.0,157.0,0.0,0.0,0.0,0.0,0.0,446.0, 01010040,0.2,3.8,3.1,91.0,0.0,0.7,1.1,52.9,47.1,,,,,,,,,,,SCIENCE AND TECH/ENG,83.0,55.0,5.0,3.0,78.0,52.0,57.0,38.0,10.0,7.0,150.0,82.7,,,,,,,     474,0.0,,,,,,,1010040.0,18.0,4.0,8.0,1.8,59.0,13.2,92.0,20.6,38.0,8.5,Franklin,Annie Sullivan Middle School
Franklin - Davis Thayer,1010035.0,0.0,28.0,44.0,33.0,37.0,48.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0, 01010035,2.2,1.7,5.2,89.6,0.4,0.0,0.9,52.4,47.6,,,,,,,,,,,SCIENCE AND TECH/ENG,31.0,48.0,9.0,14.0,22.0,34.0,31.0,48.0,2.0,3.0,64.0,80.5,,,,,,,     282,0.0,,,,,,,1010035.0,15.0,6.5,10.0,4.3,33.0,14.3,73.0,31.6,45.0,19.5,Franklin,Davis Thayer
Franklin - Franklin Early Childhood Development Center,1010003.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0, 01010003,2.9,1.0,7.7,80.8,1.0,2.9,3.8,60.6,39.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     147,0.0,,,,,,,1010003.0,13.0,12.5,0.0,0.0,31.0,29.8,45.0,43.3,16.0,15.4,Franklin,Franklin Early Childhood Development Center
Franklin - Franklin High,1010505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,452.0,437.0,423.0,467.0,8.0,1787.0, 01010505,1.7,5.6,2.0,88.2,0.2,0.2,2.0,50.1,49.9,388.0,349.0,89.9,0.0,46.7,5.7,47.6,4.9,10.6,17.5,SCIENCE AND TECH/ENG,382.0,94.0,240.0,59.0,142.0,35.0,18.0,4.0,8.0,2.0,408.0,98.3,,,638.0,582.0,,582.0,"   1,759",3.0,,,,,,,1010505.0,81.0,4.5,11.0,0.6,234.0,13.1,326.0,18.2,124.0,6.9,Franklin,Franklin High
Franklin - Helen Keller Elementary,1010012.0,0.0,50.0,67.0,74.0,53.0,73.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,402.0, 01010012,1.5,3.5,1.2,91.8,0.0,0.5,1.5,52.2,47.8,,,,,,,,,,,SCIENCE AND TECH/ENG,44.0,70.0,20.0,32.0,24.0,38.0,16.0,25.0,3.0,5.0,63.0,92.9,,,,,,,     420,0.0,,,,,,,1010012.0,15.0,3.7,6.0,1.5,55.0,13.7,93.0,23.1,37.0,9.2,Franklin,Helen Keller Elementary
Franklin - Horace Mann,1010405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,151.0,161.0,0.0,0.0,0.0,0.0,0.0,464.0, 01010405,1.1,6.9,3.0,86.6,0.0,0.0,2.4,49.1,50.9,,,,,,,,,,,SCIENCE AND TECH/ENG,82.0,55.0,7.0,5.0,75.0,50.0,58.0,39.0,10.0,7.0,150.0,81.3,,,,,,,     470,0.0,,,,,,,1010405.0,24.0,5.2,0.0,0.0,65.0,14.0,90.0,19.4,30.0,6.5,Franklin,Horace Mann
Franklin - J F Kennedy Memorial,1010013.0,0.0,66.0,62.0,63.0,57.0,55.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.0, 01010013,0.3,6.3,3.5,86.4,0.3,1.6,1.6,53.7,46.3,,,,,,,,,,,SCIENCE AND TECH/ENG,61.0,85.0,34.0,47.0,27.0,38.0,9.0,13.0,2.0,3.0,72.0,93.4,,,,,,,     368,0.0,,,,,,,1010013.0,21.0,5.7,10.0,2.7,53.0,14.4,81.0,22.1,28.0,7.6,Franklin,J F Kennedy Memorial
Franklin - Jefferson Elementary,1010010.0,0.0,59.0,38.0,54.0,62.0,59.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.0, 01010010,1.5,8.3,3.0,85.1,0.0,1.2,0.9,55.1,44.9,,,,,,,,,,,SCIENCE AND TECH/ENG,33.0,56.0,18.0,31.0,15.0,25.0,23.0,39.0,3.0,5.0,59.0,85.2,,,,,,,     348,0.0,,,,,,,1010010.0,19.0,5.7,10.0,3.0,54.0,16.1,73.0,21.7,21.0,6.3,Franklin,Jefferson Elementary
Franklin - Oak Street Elementary,1010030.0,0.0,58.0,61.0,44.0,58.0,73.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390.0, 01010030,1.5,4.1,4.4,87.4,0.0,0.3,2.3,54.4,45.6,,,,,,,,,,,SCIENCE AND TECH/ENG,58.0,74.0,32.0,41.0,26.0,33.0,19.0,24.0,1.0,1.0,78.0,89.7,,,,,,,     424,0.0,,,,,,,1010030.0,18.0,4.6,5.0,1.3,51.0,13.1,89.0,22.8,40.0,10.3,Franklin,Oak Street Elementary
Franklin - Parmenter,1010032.0,0.0,46.0,64.0,48.0,61.0,51.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.0, 01010032,4.6,5.6,3.4,83.0,0.3,1.2,1.9,52.3,47.7,,,,,,,,,,,SCIENCE AND TECH/ENG,34.0,43.0,8.0,10.0,26.0,33.0,37.0,46.0,9.0,11.0,80.0,72.8,,,,,,,     383,0.0,,,,,,,1010032.0,23.0,7.1,10.0,3.1,26.0,8.0,80.0,24.8,59.0,18.3,Franklin,Parmenter
