,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,HighSchoolGraduates(Num),AttendingColl./Univ.(Num),AttendingColl./Univ.(Percent),PrivateTwoYear(Percent),PrivateFourYear(Percent),PublicTwoYear(Percent),PublicFourYear(Percent),MACommunityCollege(Percent),MAStateUniversity(Percent),Univ.ofMass.(Percent),Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,W/FNum,W/FPercent,StudentIncluded,CPI,SGP,IncludedInSGP,TestsTaken,Reading/Writing,Writing,Math,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Unnamed:9,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Town,School
Haverhill - Haverhill High,1280505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,576.0,428.0,415.0,382.0,30.0,1831.0, 01280505,4.2,1.7,29.8,62.8,0.1,0.1,1.3,51.0,49.0,353.0,238.0,67.4,0.0,24.4,42.0,33.6,39.9,4.2,18.5,SCIENCE AND TECH/ENG,233.0,67.0,106.0,31.0,127.0,37.0,89.0,26.0,25.0,7.0,347.0,87.0,,,356.0,543.0,,539.0,"   1,916",165.0,4.6,7.7,0.0,0.0,0.0,,1280505.0,270.0,14.7,121.0,6.6,314.0,17.1,857.0,46.8,675.0,36.9,Haverhill,Haverhill High
Haverhill - Haverhill Alternative School,1280033.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,10.0,6.0,6.0,9.0,10.0,0.0,46.0, 01280033,10.9,0.0,43.5,45.7,0.0,0.0,0.0,76.1,23.9,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,      71,12.0,1.4,16.9,0.0,0.0,0.0,,1280033.0,7.0,15.2,2.0,4.3,41.0,89.1,46.0,100.0,36.0,78.3,Haverhill,Haverhill Alternative School
Haverhill - Dr Paul Nettle,1280050.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,129.0,130.0,116.0,0.0,0.0,0.0,0.0,0.0,500.0, 01280050,5.0,3.2,36.6,53.4,0.2,0.2,1.4,49.2,50.8,,,,,,,,,,,SCIENCE AND TECH/ENG,76.0,33.0,15.0,6.0,61.0,26.0,82.0,35.0,75.0,32.0,233.0,68.9,,,,,,,     518,49.0,5.8,6.2,0.0,0.0,0.0,,1280050.0,99.0,19.8,34.0,6.8,135.0,27.0,331.0,66.2,257.0,51.4,Haverhill,Dr Paul Nettle
Haverhill - John G Whittier,1280085.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,126.0,120.0,143.0,0.0,0.0,0.0,0.0,0.0,542.0, 01280085,3.9,1.8,24.4,68.5,0.4,0.4,0.7,51.5,48.5,,,,,,,,,,,SCIENCE AND TECH/ENG,86.0,37.0,11.0,5.0,75.0,32.0,103.0,44.0,46.0,20.0,235.0,69.5,,,,,,,     540,26.0,1.3,3.5,0.0,0.0,0.0,,1280085.0,72.0,13.3,38.0,7.0,114.0,21.0,296.0,54.6,216.0,39.9,Haverhill,John G Whittier
Haverhill - Consentino Middle School,1280100.0,0.0,0.0,0.0,0.0,65.0,99.0,177.0,218.0,213.0,204.0,0.0,0.0,0.0,0.0,0.0,976.0, 01280100,4.4,1.8,47.5,44.7,0.1,0.1,1.3,49.7,50.3,,,,,,,,,,,SCIENCE AND TECH/ENG,78.0,22.0,8.0,2.0,70.0,20.0,165.0,46.0,112.0,32.0,355.0,57.3,,,,,,,"   1,092",21.0,0.0,1.9,0.0,0.0,0.0,,1280100.0,263.0,26.9,160.0,16.4,145.0,14.9,654.0,67.0,548.0,56.1,Haverhill,Consentino Middle School
Haverhill - Golden Hill,1280026.0,0.0,0.0,135.0,122.0,129.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,497.0, 01280026,2.6,1.8,44.3,47.7,0.0,0.0,3.6,51.1,48.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     563,3.0,,,,,,,1280026.0,118.0,23.7,104.0,20.9,122.0,24.5,352.0,70.8,280.0,56.3,Haverhill,Golden Hill
Haverhill - TEACH,1280073.0,0.0,1.0,2.0,1.0,5.0,7.0,6.0,3.0,3.0,3.0,5.0,2.0,3.0,1.0,8.0,50.0, 01280073,4.0,2.0,44.0,46.0,0.0,0.0,4.0,80.0,20.0,,,,,,,,,,,SCIENCE AND TECH/ENG,0.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,8.0,80.0,10.0,62.5,,,,,,,      67,0.0,,,,,,,1280073.0,7.0,14.0,4.0,8.0,47.0,94.0,50.0,100.0,33.0,66.0,Haverhill,TEACH
Haverhill - Tilton,1280075.0,0.0,39.0,141.0,134.0,129.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,537.0, 01280075,2.2,0.9,56.1,38.4,0.4,0.0,2.0,50.7,49.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     601,6.0,0.0,1.0,0.0,0.0,0.0,,1280075.0,134.0,25.0,121.0,22.5,121.0,22.5,450.0,83.8,386.0,71.9,Haverhill,Tilton
Haverhill - Walnut Square,1280080.0,0.0,41.0,48.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0, 01280080,2.1,0.7,20.0,72.1,0.0,0.0,5.0,45.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     162,0.0,,,,,,,1280080.0,4.0,2.9,3.0,2.1,13.0,9.3,53.0,37.9,44.0,31.4,Haverhill,Walnut Square
Haverhill - Consentino Annex at Bartlett School,1280005.0,0.0,46.0,26.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0, 01280005,4.7,0.0,43.9,47.7,0.0,0.0,3.7,51.4,48.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1280005.0,3.0,2.8,3.0,2.8,2.0,1.9,73.0,68.2,71.0,66.4,Haverhill,Consentino Annex at Bartlett School
