,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,HighSchoolGraduates(Num),AttendingColl./Univ.(Num),AttendingColl./Univ.(Percent),PrivateTwoYear(Percent),PrivateFourYear(Percent),PublicTwoYear(Percent),PublicFourYear(Percent),MACommunityCollege(Percent),MAStateUniversity(Percent),Univ.ofMass.(Percent),Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,W/FNum,W/FPercent,StudentIncluded,CPI,SGP,IncludedInSGP,TestsTaken,Reading/Writing,Writing,Math,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Unnamed:9,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Town,School
Holyoke - E N White Elementary,1370045.0,43.0,46.0,66.0,62.0,53.0,48.0,47.0,43.0,42.0,52.0,0.0,0.0,0.0,0.0,0.0,502.0, 01370045,3.4,0.4,80.7,13.9,0.0,0.0,1.6,49.8,50.2,,,,,,,,,,,SCIENCE AND TECH/ENG,3.0,3.0,0.0,0.0,3.0,3.0,25.0,29.0,59.0,68.0,87.0,34.8,,,,,,,     570,104.0,0.7,17.7,0.0,0.0,0.0,,1370045.0,167.0,33.3,99.0,19.7,99.0,19.7,408.0,81.3,391.0,77.9,Holyoke,E N White Elementary
Holyoke - H.B. Lawrence School,1370070.0,0.0,59.0,75.0,72.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.0, 01370070,3.6,0.7,86.3,7.6,0.0,0.0,1.8,52.5,47.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     360,10.0,0.0,2.8,0.0,0.0,0.0,,1370070.0,120.0,43.2,77.0,27.7,43.0,15.5,255.0,91.7,250.0,89.9,Holyoke,H.B. Lawrence School
Holyoke - Holyoke High,1370505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465.0,317.0,257.0,293.0,0.0,1332.0, 01370505,2.4,0.8,74.5,20.8,0.1,0.1,1.3,51.5,48.4,280.0,194.0,69.3,0.0,14.9,67.0,18.0,67.0,6.2,9.8,SCIENCE AND TECH/ENG,115.0,51.0,25.0,11.0,90.0,40.0,74.0,33.0,35.0,16.0,224.0,77.2,,,187.0,520.0,,507.0,"   1,389",148.0,0.9,10.4,0.0,0.0,0.1,,1370505.0,568.0,42.6,237.0,17.8,236.0,17.7,946.0,71.0,886.0,66.5,Holyoke,Holyoke High
Holyoke - Joseph Metcalf School,1370003.0,100.0,40.0,42.0,42.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.0, 01370003,5.8,0.4,54.1,36.7,0.0,0.0,3.1,46.7,53.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     305,0.0,,,,,,,1370003.0,82.0,31.7,28.0,10.8,69.0,26.6,164.0,63.3,142.0,54.8,Holyoke,Joseph Metcalf School
Holyoke - Kelly Elementary,1370040.0,15.0,56.0,62.0,75.0,58.0,83.0,62.0,56.0,50.0,45.0,0.0,0.0,0.0,0.0,0.0,562.0, 01370040,1.1,0.2,95.2,3.0,0.0,0.0,0.5,53.4,46.6,,,,,,,,,,,SCIENCE AND TECH/ENG,2.0,2.0,0.0,0.0,2.0,2.0,26.0,28.0,64.0,70.0,92.0,32.3,,,,,,,     609,101.0,0.3,16.4,0.0,0.0,0.0,,1370040.0,306.0,54.4,179.0,31.9,86.0,15.3,532.0,94.7,507.0,90.2,Holyoke,Kelly Elementary
Holyoke - Lt Clayre Sullivan Elementary,1370055.0,0.0,40.0,67.0,51.0,57.0,74.0,74.0,62.0,62.0,54.0,0.0,0.0,0.0,0.0,0.0,541.0, 01370055,3.5,1.7,79.1,14.6,0.0,0.0,1.1,50.3,49.7,,,,,,,,,,,SCIENCE AND TECH/ENG,14.0,13.0,4.0,4.0,10.0,9.0,49.0,45.0,46.0,42.0,109.0,58.3,,,,,,,     609,67.0,0.0,11.0,0.0,0.0,0.0,,1370055.0,228.0,42.1,101.0,18.7,143.0,26.4,454.0,83.9,432.0,79.9,Holyoke,Lt Clayre Sullivan Elementary
Holyoke - Lt Elmer J McMahon Elementary,1370015.0,26.0,40.0,40.0,31.0,46.0,42.0,45.0,54.0,33.0,62.0,0.0,0.0,0.0,0.0,0.0,419.0, 01370015,1.9,1.4,61.6,32.2,0.0,0.2,2.6,56.8,43.2,,,,,,,,,,,SCIENCE AND TECH/ENG,11.0,12.0,1.0,1.0,10.0,11.0,42.0,47.0,36.0,40.0,89.0,49.2,,,,,,,     466,16.0,0.6,3.0,0.0,0.0,0.0,,1370015.0,109.0,26.0,49.0,11.7,124.0,29.6,303.0,72.3,265.0,63.2,Holyoke,Lt Elmer J McMahon Elementary
Holyoke - Maurice A Donahue Elementary,1370060.0,38.0,51.0,38.0,48.0,49.0,49.0,51.0,44.0,40.0,54.0,0.0,0.0,0.0,0.0,0.0,462.0, 01370060,4.3,0.6,81.4,13.0,0.0,0.2,0.4,56.3,43.7,,,,,,,,,,,SCIENCE AND TECH/ENG,14.0,15.0,1.0,1.0,13.0,14.0,27.0,30.0,50.0,55.0,91.0,46.4,,,,,,,     529,46.0,0.6,8.3,0.0,0.0,0.0,,1370060.0,193.0,41.8,120.0,26.0,113.0,24.5,412.0,89.2,389.0,84.2,Holyoke,Maurice A Donahue Elementary
Holyoke - Morgan Full Service Community School,1370025.0,34.0,45.0,42.0,48.0,35.0,50.0,47.0,39.0,39.0,37.0,0.0,0.0,0.0,0.0,0.0,416.0, 01370025,4.3,1.4,91.1,1.9,0.0,0.0,1.2,50.5,49.5,,,,,,,,,,,SCIENCE AND TECH/ENG,6.0,9.0,0.0,0.0,6.0,9.0,29.0,45.0,29.0,45.0,64.0,44.1,,,,,,,     500,39.0,1.0,7.6,0.0,0.0,0.0,,1370025.0,207.0,49.8,129.0,31.0,76.0,18.3,396.0,95.2,385.0,92.5,Holyoke,Morgan Full Service Community School
Holyoke - William R. Peck School,1370030.0,0.0,0.0,0.0,0.0,0.0,61.0,57.0,58.0,80.0,83.0,0.0,0.0,0.0,0.0,0.0,339.0, 01370030,4.4,0.0,88.2,5.9,0.0,0.6,0.9,55.8,44.2,,,,,,,,,,,SCIENCE AND TECH/ENG,7.0,6.0,0.0,0.0,7.0,6.0,27.0,25.0,75.0,69.0,109.0,33.5,,,,,,,     401,104.0,0.2,25.9,0.0,0.0,0.0,,1370030.0,179.0,52.8,121.0,35.7,109.0,32.2,316.0,93.2,300.0,88.5,Holyoke,William R. Peck School
