,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,HighSchoolGraduates(Num),AttendingColl./Univ.(Num),AttendingColl./Univ.(Percent),PrivateTwoYear(Percent),PrivateFourYear(Percent),PublicTwoYear(Percent),PublicFourYear(Percent),MACommunityCollege(Percent),MAStateUniversity(Percent),Univ.ofMass.(Percent),Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,W/FNum,W/FPercent,StudentIncluded,CPI,SGP,IncludedInSGP,TestsTaken,Reading/Writing,Writing,Math,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Unnamed:9,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Town,School
Lawrence - Phoenix Academy Lawrence,1490540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,63.0,30.0,19.0,0.0,125.0, 01490540,1.6,0.8,92.8,4.8,0.0,0.0,0.0,61.6,38.4,12.0,,,,,,,,,,,,,,,,,,,,,,,,,15.0,407.0,,421.0,     188,41.0,7.4,20.7,0.0,0.0,0.0,,1490540.0,98.0,78.4,28.0,22.4,30.0,24.0,103.0,82.4,81.0,64.8,Lawrence,Phoenix Academy Lawrence
Lawrence - High School Learning Center,1490536.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,27.0,41.0,105.0,0.0,187.0, 01490536,0.0,0.5,95.2,4.3,0.0,0.0,0.0,62.6,37.4,77.0,24.0,31.2,0.0,4.2,91.7,4.2,83.3,0.0,0.0,,,,,,,,,,,,,,,,2.0,,,,     245,8.0,0.4,2.9,0.0,0.0,0.0,,1490536.0,153.0,81.8,40.0,21.4,36.0,19.3,145.0,77.5,107.0,57.2,Lawrence,High School Learning Center
Lawrence - Lawrence High School,1490515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,911.0,882.0,741.0,731.0,39.0,3304.0, 01490515,1.5,1.8,93.3,3.2,0.1,0.0,0.2,51.8,48.2,,,,,,,,,,,SCIENCE AND TECH/ENG,289.0,48.0,37.0,6.0,252.0,42.0,257.0,42.0,59.0,10.0,605.0,78.0,,,431.0,444.0,,450.0,"   3,705",261.0,0.9,6.5,0.0,0.0,0.0,,1490515.0,2744.0,83.1,1121.0,33.9,535.0,16.2,2665.0,80.7,1877.0,56.8,Lawrence,Lawrence High School
Lawrence - UP Academy Leonard Middle School,1490090.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,100.0,119.0,0.0,0.0,0.0,0.0,0.0,297.0, 01490090,1.0,0.3,96.6,2.0,0.0,0.0,0.0,55.2,44.8,,,,,,,,,,,SCIENCE AND TECH/ENG,19.0,18.0,1.0,1.0,18.0,17.0,51.0,47.0,38.0,35.0,108.0,53.7,,,,,,,     359,39.0,0.6,10.6,0.0,0.0,0.0,,1490090.0,247.0,83.2,101.0,34.0,48.0,16.2,248.0,83.5,181.0,60.9,Lawrence,UP Academy Leonard Middle School
Lawrence - UP Academy Oliver Middle School,1490049.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,119.0,113.0,0.0,0.0,0.0,0.0,0.0,343.0, 01490049,0.6,0.0,95.9,3.5,0.0,0.0,0.0,53.9,46.1,,,,,,,,,,,SCIENCE AND TECH/ENG,15.0,16.0,0.0,0.0,15.0,16.0,24.0,26.0,53.0,58.0,92.0,45.4,,,,,,,     366,35.0,2.2,9.3,0.0,0.0,0.0,,1490049.0,251.0,73.2,99.0,28.9,54.0,15.7,286.0,83.4,232.0,67.6,Lawrence,UP Academy Oliver Middle School
Lawrence - Spark Academy,1490085.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,140.0,163.0,0.0,0.0,0.0,0.0,0.0,460.0, 01490085,1.5,2.2,93.5,2.6,0.0,0.0,0.2,47.6,52.4,,,,,,,,,,,SCIENCE AND TECH/ENG,39.0,28.0,0.0,0.0,39.0,28.0,62.0,45.0,38.0,27.0,139.0,66.0,,,,,,,     517,86.0,9.7,10.6,0.0,0.0,0.0,,1490085.0,337.0,73.3,121.0,26.3,110.0,23.9,384.0,83.5,311.0,67.6,Lawrence,Spark Academy
Lawrence - Guilmette Middle School,1490025.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,118.0,131.0,128.0,0.0,0.0,0.0,0.0,0.0,486.0, 01490025,1.9,0.6,94.7,2.7,0.0,0.0,0.2,47.3,52.7,,,,,,,,,,,SCIENCE AND TECH/ENG,67.0,30.0,12.0,5.0,55.0,24.0,103.0,46.0,56.0,25.0,226.0,66.2,,,,,,,     556,51.0,4.5,7.4,0.0,0.2,0.0,,1490025.0,373.0,76.7,114.0,23.5,83.0,17.1,400.0,82.3,338.0,69.5,Lawrence,Guilmette Middle School
Lawrence - Frost Middle School,1490525.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,123.0,124.0,125.0,0.0,0.0,0.0,0.0,0.0,507.0, 01490525,2.2,4.1,83.8,8.9,0.0,0.0,1.0,53.5,46.5,,,,,,,,,,,SCIENCE AND TECH/ENG,60.0,27.0,10.0,4.0,50.0,22.0,114.0,50.0,52.0,23.0,226.0,62.6,,,,,,,     535,55.0,1.5,9.2,0.0,0.0,0.0,,1490525.0,259.0,51.1,63.0,12.4,68.0,13.4,334.0,65.9,275.0,54.2,Lawrence,Frost Middle School
Lawrence - Arlington Middle School,1490017.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,149.0,148.0,151.0,0.0,0.0,0.0,0.0,0.0,586.0, 01490017,0.7,0.0,97.4,1.7,0.0,0.0,0.2,50.5,49.5,,,,,,,,,,,SCIENCE AND TECH/ENG,13.0,5.0,2.0,1.0,11.0,4.0,90.0,36.0,145.0,58.0,248.0,37.2,,,,,,,     647,84.0,5.9,9.7,0.0,0.3,0.0,,1490017.0,471.0,80.4,232.0,39.6,80.0,13.7,520.0,88.7,394.0,67.2,Lawrence,Arlington Middle School
Lawrence - Parthum Middle School,1490027.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,124.0,162.0,147.0,0.0,0.0,0.0,0.0,0.0,581.0, 01490027,1.5,0.3,91.2,6.2,0.0,0.0,0.7,50.3,49.7,,,,,,,,,,,SCIENCE AND TECH/ENG,54.0,26.0,6.0,3.0,48.0,23.0,100.0,47.0,57.0,27.0,211.0,61.6,,,,,,,     587,29.0,1.2,4.6,0.0,0.0,0.0,,1490027.0,371.0,63.9,146.0,25.1,101.0,17.4,460.0,79.2,356.0,61.3,Lawrence,Parthum Middle School
