,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,HighSchoolGraduates(Num),AttendingColl./Univ.(Num),AttendingColl./Univ.(Percent),PrivateTwoYear(Percent),PrivateFourYear(Percent),PublicTwoYear(Percent),PublicFourYear(Percent),MACommunityCollege(Percent),MAStateUniversity(Percent),Univ.ofMass.(Percent),Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,W/FNum,W/FPercent,StudentIncluded,CPI,SGP,IncludedInSGP,TestsTaken,Reading/Writing,Writing,Math,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Unnamed:9,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Town,School
Leominster - Bennett,1530003.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0, 01530003,9.3,4.7,30.2,54.7,0.0,0.0,1.2,67.4,32.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     136,0.0,,,,,,,1530003.0,13.0,15.1,12.0,14.0,44.0,51.2,53.0,61.6,29.0,33.7,Leominster,Bennett
Leominster - Center For Technical Education Innovation,1530605.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.0,152.0,136.0,151.0,0.0,717.0, 01530605,7.0,3.9,33.1,52.6,0.0,0.4,3.1,64.0,36.0,106.0,55.0,51.9,0.0,18.2,21.8,60.0,21.8,43.6,12.7,,,,,,,,,,,,,,,,91.0,532.0,,534.0,     716,0.0,,,,,,,1530605.0,166.0,23.2,11.0,1.5,194.0,27.1,365.0,50.9,247.0,34.4,Leominster,Center For Technical Education Innovation
Leominster - Fall Brook,1530007.0,0.0,71.0,120.0,117.0,125.0,105.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,657.0, 01530007,5.6,1.7,32.4,54.8,0.3,0.0,5.2,51.0,49.0,,,,,,,,,,,SCIENCE AND TECH/ENG,68.0,59.0,21.0,18.0,47.0,41.0,42.0,37.0,5.0,4.0,115.0,84.6,,,,,,,     756,2.0,,,,,,,1530007.0,151.0,23.0,102.0,15.5,128.0,19.5,330.0,50.2,239.0,36.4,Leominster,Fall Brook
Leominster - Frances Drake School,1530010.0,0.0,91.0,66.0,81.0,96.0,110.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,544.0, 01530010,6.8,3.9,41.0,42.1,0.0,0.0,6.3,52.6,47.4,,,,,,,,,,,SCIENCE AND TECH/ENG,44.0,42.0,10.0,10.0,34.0,32.0,48.0,46.0,13.0,12.0,105.0,73.3,,,,,,,     597,1.0,,,,,,,1530010.0,115.0,21.1,71.0,13.1,124.0,22.8,332.0,61.0,274.0,50.4,Leominster,Frances Drake School
Leominster - Johnny Appleseed,1530025.0,0.0,69.0,119.0,100.0,134.0,112.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,651.0, 01530025,10.8,4.1,30.6,49.9,0.3,0.0,4.3,49.0,51.0,,,,,,,,,,,SCIENCE AND TECH/ENG,54.0,50.0,16.0,15.0,38.0,35.0,42.0,39.0,12.0,11.0,108.0,81.3,,,,,,,     662,0.0,,,,,,,1530025.0,153.0,23.5,100.0,15.4,119.0,18.3,352.0,54.1,256.0,39.3,Leominster,Johnny Appleseed
Leominster - Leominster Center for Excellence,1530515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,11.0,17.0,8.0,0.0,50.0, 01530515,4.0,0.0,32.0,60.0,0.0,0.0,4.0,38.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,      46,0.0,,,,,,,1530515.0,7.0,14.0,2.0,4.0,26.0,52.0,41.0,82.0,26.0,52.0,Leominster,Leominster Center for Excellence
Leominster - Leominster High School,1530505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0,273.0,282.0,327.0,0.0,1056.0, 01530505,9.7,3.0,25.9,58.9,0.2,0.0,2.3,46.0,54.0,288.0,217.0,75.3,0.0,15.7,33.6,50.7,33.6,25.3,14.3,SCIENCE AND TECH/ENG,165.0,85.0,82.0,42.0,83.0,43.0,28.0,14.0,1.0,1.0,194.0,94.7,,,293.0,541.0,,542.0,"   1,263",244.0,19.3,0.0,0.0,0.0,0.0,,1530505.0,245.0,23.2,85.0,8.0,145.0,13.7,426.0,40.3,312.0,29.5,Leominster,Leominster High School
Leominster - Lincoln School,1530005.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0, 01530005,4.2,4.2,27.1,62.5,0.0,0.0,2.1,70.8,29.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      59,0.0,,,,,,,1530005.0,10.0,20.8,10.0,20.8,33.0,68.8,34.0,70.8,21.0,43.8,Leominster,Lincoln School
Leominster - Northwest,1530030.0,0.0,48.0,115.0,134.0,121.0,151.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,685.0, 01530030,6.3,1.9,36.9,49.5,0.0,0.0,5.4,51.1,48.9,,,,,,,,,,,SCIENCE AND TECH/ENG,49.0,39.0,14.0,11.0,35.0,28.0,52.0,42.0,24.0,19.0,125.0,68.4,,,,,,,     735,3.0,,,,,,,1530030.0,151.0,22.0,110.0,16.1,129.0,18.8,408.0,59.6,305.0,44.5,Leominster,Northwest
Leominster - Priest Street,1530040.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0, 01530040,6.4,2.4,45.6,37.6,0.0,0.0,8.0,56.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     136,0.0,,,,,,,1530040.0,30.0,24.0,18.0,14.4,39.0,31.2,83.0,66.4,71.0,56.8,Leominster,Priest Street
