,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,HighSchoolGraduates(Num),AttendingColl./Univ.(Num),AttendingColl./Univ.(Percent),PrivateTwoYear(Percent),PrivateFourYear(Percent),PublicTwoYear(Percent),PublicFourYear(Percent),MACommunityCollege(Percent),MAStateUniversity(Percent),Univ.ofMass.(Percent),Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,W/FNum,W/FPercent,StudentIncluded,CPI,SGP,IncludedInSGP,TestsTaken,Reading/Writing,Writing,Math,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Unnamed:9,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Town,School
Lexington - Lexington High,1550505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530.0,576.0,554.0,552.0,0.0,2212.0, 01550505,3.4,36.3,3.6,51.6,0.1,0.0,5.0,50.7,49.3,482.0,406.0,84.2,0.0,61.3,6.2,32.5,5.7,2.5,13.5,SCIENCE AND TECH/ENG,487.0,96.0,394.0,78.0,93.0,18.0,15.0,3.0,4.0,1.0,506.0,98.7,,,616.0,639.0,,658.0,"   2,219",0.0,,,,,,,1550505.0,537.0,24.3,50.0,2.3,233.0,10.5,417.0,18.9,134.0,6.1,Lexington,Lexington High
Lexington - Wm Diamond Middle,1550310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.0,321.0,301.0,0.0,0.0,0.0,0.0,0.0,887.0, 01550310,3.8,37.0,2.7,48.9,0.0,0.0,7.6,48.5,51.5,,,,,,,,,,,SCIENCE AND TECH/ENG,196.0,77.0,36.0,14.0,160.0,63.0,58.0,23.0,1.0,0.0,255.0,91.7,,,,,,,     875,5.0,,,,,,,1550310.0,232.0,26.2,43.0,4.8,121.0,13.6,202.0,22.8,42.0,4.7,Lexington,Wm Diamond Middle
Lexington - Jonas Clarke Middle,1550305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.0,309.0,314.0,0.0,0.0,0.0,0.0,0.0,926.0, 01550305,5.1,41.6,3.9,44.8,0.0,0.0,4.6,52.7,47.3,,,,,,,,,,,SCIENCE AND TECH/ENG,203.0,77.0,37.0,14.0,166.0,63.0,50.0,19.0,9.0,3.0,262.0,91.4,,,,,,,     910,11.0,0.9,0.3,0.0,0.0,0.0,,1550305.0,250.0,27.0,35.0,3.8,129.0,13.9,210.0,22.7,54.0,5.8,Lexington,Jonas Clarke Middle
Lexington - Maria Hastings,1550035.0,0.0,54.0,89.0,73.0,73.0,79.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,466.0, 01550035,2.6,43.8,3.9,41.0,0.0,0.0,8.8,52.1,47.9,,,,,,,,,,,SCIENCE AND TECH/ENG,59.0,79.0,35.0,47.0,24.0,32.0,14.0,19.0,2.0,3.0,75.0,91.7,,,,,,,     482,0.0,,,,,,,1550035.0,150.0,32.2,79.0,17.0,82.0,17.6,186.0,39.9,27.0,5.8,Lexington,Maria Hastings
Lexington - Fiske,1550015.0,0.0,62.0,61.0,88.0,99.0,93.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502.0, 01550015,2.6,29.5,2.8,56.2,0.0,0.0,9.0,54.4,45.6,,,,,,,,,,,SCIENCE AND TECH/ENG,63.0,86.0,32.0,44.0,31.0,42.0,8.0,11.0,2.0,3.0,73.0,95.9,,,,,,,     495,0.0,,,,,,,1550015.0,148.0,29.5,60.0,12.0,78.0,15.5,155.0,30.9,22.0,4.4,Lexington,Fiske
Lexington - Harrington,1550030.0,0.0,70.0,89.0,79.0,74.0,89.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,478.0, 01550030,3.3,43.3,2.9,43.7,0.4,0.0,6.3,51.5,48.5,,,,,,,,,,,SCIENCE AND TECH/ENG,48.0,59.0,25.0,31.0,23.0,28.0,22.0,27.0,11.0,14.0,81.0,82.1,,,,,,,     481,0.0,,,,,,,1550030.0,142.0,29.7,40.0,8.4,64.0,13.4,130.0,27.2,28.0,5.9,Lexington,Harrington
Lexington - Bowman,1550008.0,0.0,71.0,83.0,91.0,98.0,106.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560.0, 01550008,5.5,32.0,2.7,50.2,0.0,0.0,9.6,51.1,48.9,,,,,,,,,,,SCIENCE AND TECH/ENG,65.0,66.0,32.0,32.0,33.0,33.0,31.0,31.0,3.0,3.0,99.0,87.6,,,,,,,     575,0.0,,,,,,,1550008.0,174.0,31.1,86.0,15.4,42.0,7.5,166.0,29.6,29.0,5.2,Lexington,Bowman
Lexington - Bridge,1550006.0,0.0,72.0,86.0,99.0,101.0,107.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,572.0, 01550006,4.9,41.4,4.0,47.4,0.2,0.2,1.9,49.3,50.7,,,,,,,,,,,SCIENCE AND TECH/ENG,80.0,80.0,47.0,47.0,33.0,33.0,19.0,19.0,1.0,1.0,100.0,92.5,,,,,,,     604,0.0,,,,,,,1550006.0,213.0,37.2,57.0,10.0,45.0,7.9,160.0,28.0,32.0,5.6,Lexington,Bridge
Lexington - Joseph Estabrook,1550010.0,0.0,83.0,85.0,96.0,90.0,116.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,572.0, 01550010,4.9,42.1,3.5,39.9,0.0,0.0,9.6,49.3,50.7,,,,,,,,,,,SCIENCE AND TECH/ENG,62.0,73.0,25.0,29.0,37.0,44.0,17.0,20.0,6.0,7.0,85.0,88.5,,,,,,,     565,0.0,,,,,,,1550010.0,199.0,34.8,84.0,14.7,56.0,9.8,180.0,31.5,35.0,6.1,Lexington,Joseph Estabrook
Lexington - Lexington Children's Place,1550001.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0, 01550001,5.6,42.3,7.0,38.0,0.0,0.0,7.0,57.7,42.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      90,0.0,,,,,,,1550001.0,31.0,43.7,19.0,26.8,27.0,38.0,45.0,63.4,13.0,18.3,Lexington,Lexington Children's Place
