,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,HighSchoolGraduates(Num),AttendingColl./Univ.(Num),AttendingColl./Univ.(Percent),PrivateTwoYear(Percent),PrivateFourYear(Percent),PublicTwoYear(Percent),PublicFourYear(Percent),MACommunityCollege(Percent),MAStateUniversity(Percent),Univ.ofMass.(Percent),Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,W/FNum,W/FPercent,StudentIncluded,CPI,SGP,IncludedInSGP,TestsTaken,Reading/Writing,Writing,Math,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Unnamed:9,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Town,School
Lowell - Leblanc Therapeutic Day School,1600320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,14.0,6.0,0.0,36.0, 01600320,5.6,5.6,63.9,19.4,0.0,0.0,5.6,80.6,19.4,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      46,27.0,10.9,58.7,0.0,0.0,0.0,,1600320.0,4.0,11.1,2.0,5.6,36.0,100.0,36.0,100.0,30.0,83.3,Lowell,Leblanc Therapeutic Day School
Lowell - The Career Academy,1600515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,21.0,22.0,40.0,2.0,113.0, 01600515,9.7,15.0,46.9,23.9,0.0,0.0,4.4,71.7,28.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     166,66.0,35.5,19.9,0.0,0.0,0.0,,1600515.0,12.0,10.6,11.0,9.7,14.0,12.4,88.0,77.9,82.0,72.6,Lowell,The Career Academy
Lowell - Lowell High,1600505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,822.0,780.0,780.0,742.0,30.0,3154.0, 01600505,11.4,31.7,25.3,28.9,0.1,0.0,2.6,49.7,50.3,575.0,448.0,77.9,0.0,14.3,48.4,37.3,47.5,9.6,24.3,SCIENCE AND TECH/ENG,397.0,65.0,155.0,25.0,242.0,40.0,155.0,25.0,60.0,10.0,612.0,83.6,,,727.0,522.0,,530.0,"   3,345",493.0,12.5,5.9,0.0,0.1,0.4,,1600505.0,598.0,19.0,359.0,11.4,331.0,10.5,1844.0,58.5,1487.0,47.1,Lowell,Lowell High
Lowell - B.F. Butler Middle School,1600310.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,137.0,127.0,140.0,0.0,0.0,0.0,0.0,0.0,534.0, 01600310,8.1,27.3,30.3,28.7,0.0,0.0,5.6,50.4,49.6,,,,,,,,,,,SCIENCE AND TECH/ENG,39.0,16.0,4.0,2.0,35.0,14.0,114.0,46.0,95.0,38.0,248.0,50.8,,,,,,,     592,60.0,0.8,9.5,0.0,0.0,0.3,,1600310.0,124.0,23.2,117.0,21.9,94.0,17.6,396.0,74.2,300.0,56.2,Lowell,B.F. Butler Middle School
Lowell - James Sullivan Middle School,1600340.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,170.0,144.0,169.0,0.0,0.0,0.0,0.0,0.0,643.0, 01600340,9.0,14.0,39.0,33.9,0.0,0.0,4.0,51.5,48.5,,,,,,,,,,,SCIENCE AND TECH/ENG,53.0,17.0,14.0,5.0,39.0,13.0,146.0,48.0,108.0,35.0,307.0,53.3,,,,,,,     716,144.0,0.1,20.1,0.0,0.3,0.0,,1600340.0,230.0,35.8,208.0,32.3,111.0,17.3,481.0,74.8,388.0,60.3,Lowell,James Sullivan Middle School
Lowell - Kathryn P. Stoklosa Middle School,1600360.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,175.0,168.0,181.0,0.0,0.0,0.0,0.0,0.0,684.0, 01600360,6.4,49.6,29.7,11.1,0.0,0.0,3.2,51.2,48.8,,,,,,,,,,,SCIENCE AND TECH/ENG,43.0,13.0,5.0,2.0,38.0,12.0,151.0,46.0,131.0,40.0,325.0,50.2,,,,,,,     723,84.0,0.4,11.5,0.0,0.0,0.0,,1600360.0,278.0,40.6,241.0,35.2,97.0,14.2,570.0,83.3,458.0,67.0,Lowell,Kathryn P. Stoklosa Middle School
Lowell - Dr An Wang School,1600345.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,197.0,150.0,173.0,0.0,0.0,0.0,0.0,0.0,692.0, 01600345,8.1,17.9,39.6,31.1,0.0,0.0,3.3,50.4,49.6,,,,,,,,,,,SCIENCE AND TECH/ENG,92.0,26.0,10.0,3.0,82.0,23.0,153.0,43.0,108.0,31.0,353.0,59.4,,,,,,,     736,45.0,0.0,6.1,0.0,0.0,0.0,,1600345.0,217.0,31.4,191.0,27.6,93.0,13.4,465.0,67.2,352.0,50.9,Lowell,Dr An Wang School
Lowell - Henry J Robinson Middle,1600330.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0,161.0,156.0,170.0,0.0,0.0,0.0,0.0,0.0,666.0, 01600330,11.3,17.3,42.6,24.3,0.0,0.0,4.5,51.8,48.2,,,,,,,,,,,SCIENCE AND TECH/ENG,22.0,8.0,3.0,1.0,19.0,7.0,117.0,41.0,144.0,51.0,283.0,42.8,,,,,,,     688,93.0,0.1,13.4,0.0,0.0,0.1,,1600330.0,193.0,29.0,175.0,26.3,116.0,17.4,538.0,80.8,439.0,65.9,Lowell,Henry J Robinson Middle
Lowell - James S Daley Middle School,1600315.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0,186.0,173.0,162.0,0.0,0.0,0.0,0.0,0.0,700.0, 01600315,3.7,44.7,19.9,26.9,0.0,0.0,4.9,53.3,46.7,,,,,,,,,,,SCIENCE AND TECH/ENG,95.0,28.0,14.0,4.0,81.0,24.0,163.0,49.0,76.0,23.0,334.0,66.1,,,,,,,     725,8.0,0.0,1.1,0.0,0.0,0.0,,1600315.0,143.0,20.4,126.0,18.0,140.0,20.0,443.0,63.3,308.0,44.0,Lowell,James S Daley Middle School
Lowell - Laura Lee Therapeutic Day School,1600085.0,0.0,1.0,1.0,0.0,0.0,2.0,5.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,23.0, 01600085,13.0,4.3,60.9,13.0,0.0,0.0,8.7,95.7,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      29,0.0,,,,,,,1600085.0,2.0,8.7,2.0,8.7,23.0,100.0,23.0,100.0,21.0,91.3,Lowell,Laura Lee Therapeutic Day School
