,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,HighSchoolGraduates(Num),AttendingColl./Univ.(Num),AttendingColl./Univ.(Percent),PrivateTwoYear(Percent),PrivateFourYear(Percent),PublicTwoYear(Percent),PublicFourYear(Percent),MACommunityCollege(Percent),MAStateUniversity(Percent),Univ.ofMass.(Percent),Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,W/FNum,W/FPercent,StudentIncluded,CPI,SGP,IncludedInSGP,TestsTaken,Reading/Writing,Writing,Math,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Unnamed:9,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Town,School
Lynn - A Drewicz Elementary,1630016.0,0.0,71.0,68.0,74.0,86.0,120.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,492.0, 01630016,9.6,15.9,64.8,5.7,0.4,0.0,3.7,47.6,52.4,,,,,,,,,,,SCIENCE AND TECH/ENG,28.0,48.0,9.0,16.0,19.0,33.0,23.0,40.0,7.0,12.0,58.0,77.2,,,,,,,     527,7.0,0.8,0.8,0.0,0.0,0.0,,1630016.0,295.0,60.0,165.0,33.5,48.0,9.8,403.0,81.9,304.0,61.8,Lynn,A Drewicz Elementary
Lynn - Aborn,1630011.0,0.0,43.0,36.0,36.0,46.0,54.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.0, 01630011,13.8,7.5,39.5,29.2,1.6,0.0,8.3,48.2,51.8,,,,,,,,,,,SCIENCE AND TECH/ENG,29.0,73.0,15.0,38.0,14.0,35.0,11.0,28.0,0.0,0.0,40.0,91.3,,,,,,,     277,7.0,0.7,2.2,0.0,0.0,0.0,,1630011.0,44.0,17.4,19.0,7.5,23.0,9.1,127.0,50.2,108.0,42.7,Lynn,Aborn
Lynn - Breed Middle School,1630405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470.0,434.0,429.0,0.0,0.0,0.0,0.0,0.0,1333.0, 01630405,9.2,10.7,62.7,13.6,0.4,0.0,3.5,52.8,47.2,,,,,,,,,,,SCIENCE AND TECH/ENG,94.0,26.0,0.0,0.0,94.0,26.0,167.0,46.0,102.0,28.0,363.0,62.8,,,,,,,"   1,380",129.0,2.2,8.6,0.0,0.0,0.0,,1630405.0,792.0,59.4,162.0,12.2,225.0,16.9,954.0,71.6,808.0,60.6,Lynn,Breed Middle School
Lynn - Brickett Elementary,1630020.0,0.0,48.0,45.0,49.0,51.0,60.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.0, 01630020,10.3,13.3,54.5,16.3,0.3,0.0,5.3,51.8,48.2,,,,,,,,,,,SCIENCE AND TECH/ENG,20.0,43.0,4.0,9.0,16.0,35.0,22.0,48.0,4.0,9.0,46.0,75.0,,,,,,,     297,15.0,0.0,5.1,0.0,0.0,0.0,,1630020.0,122.0,40.5,69.0,22.9,21.0,7.0,209.0,69.4,174.0,57.8,Lynn,Brickett Elementary
Lynn - Capt William G Shoemaker,1630090.0,9.0,60.0,54.0,41.0,55.0,53.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.0, 01630090,14.6,6.4,25.2,45.6,0.0,0.0,8.2,59.9,40.1,,,,,,,,,,,SCIENCE AND TECH/ENG,18.0,58.0,11.0,35.0,7.0,23.0,7.0,23.0,6.0,19.0,31.0,91.9,,,,,,,     321,4.0,,,,,,,1630090.0,61.0,18.5,6.0,1.8,125.0,38.0,188.0,57.1,134.0,40.7,Lynn,Capt William G Shoemaker
Lynn - Classical High,1630505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411.0,451.0,420.0,378.0,3.0,1663.0, 01630505,9.9,10.6,55.4,21.4,0.4,0.1,2.3,54.2,45.8,281.0,178.0,63.3,0.0,16.3,52.8,30.9,50.0,14.0,11.8,SCIENCE AND TECH/ENG,187.0,54.0,32.0,9.0,155.0,45.0,128.0,37.0,29.0,8.0,344.0,80.4,,,275.0,500.0,,504.0,"   1,731",202.0,6.9,7.5,0.0,0.0,0.0,,1630505.0,969.0,58.3,340.0,20.4,193.0,11.6,1041.0,62.6,876.0,52.7,Lynn,Classical High
Lynn - Cobbet Elementary,1630035.0,0.0,109.0,105.0,101.0,103.0,113.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,639.0, 01630035,8.8,5.5,79.3,3.8,0.2,0.0,2.5,52.0,48.0,,,,,,,,,,,SCIENCE AND TECH/ENG,20.0,22.0,3.0,3.0,17.0,19.0,51.0,57.0,18.0,20.0,89.0,61.5,,,,,,,     690,33.0,0.0,4.8,0.0,0.0,0.0,,1630035.0,432.0,67.6,281.0,44.0,66.0,10.3,567.0,88.7,479.0,75.0,Lynn,Cobbet Elementary
Lynn - E J Harrington,1630045.0,72.0,88.0,94.0,87.0,99.0,112.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,631.0, 01630045,8.4,7.4,70.7,10.0,0.0,0.0,3.5,50.4,49.6,,,,,,,,,,,SCIENCE AND TECH/ENG,32.0,39.0,9.0,11.0,23.0,28.0,40.0,49.0,10.0,12.0,82.0,74.7,,,,,,,     734,19.0,0.1,2.6,0.0,0.0,0.0,,1630045.0,345.0,54.7,177.0,28.1,117.0,18.5,539.0,85.4,459.0,72.7,Lynn,E J Harrington
Lynn - Early Childhood Center,1630004.0,107.0,185.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.0, 01630004,10.4,11.4,65.9,10.4,0.0,0.0,2.0,55.9,44.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     347,4.0,,,,,,,1630004.0,146.0,48.8,86.0,28.8,79.0,26.4,236.0,78.9,193.0,64.5,Lynn,Early Childhood Center
Lynn - Edward A Sisson,1630095.0,0.0,62.0,83.0,71.0,65.0,82.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434.0, 01630095,7.1,11.1,42.9,32.7,1.4,0.0,4.8,51.2,48.8,,,,,,,,,,,SCIENCE AND TECH/ENG,47.0,65.0,21.0,29.0,26.0,36.0,22.0,31.0,3.0,4.0,72.0,87.5,,,,,,,     454,10.0,0.2,2.2,0.0,0.0,0.0,,1630095.0,106.0,24.4,54.0,12.4,67.0,15.4,238.0,54.8,192.0,44.2,Lynn,Edward A Sisson
Lynn - Fecteau-Leary Junior/Senior High School,1630525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,13.0,25.0,25.0,21.0,15.0,0.0,107.0, 01630525,12.1,2.8,55.1,24.3,0.9,0.0,4.7,58.9,41.1,19.0,2.0,10.5,0.0,0.0,100.0,0.0,100.0,0.0,0.0,SCIENCE AND TECH/ENG,1.0,8.0,0.0,0.0,1.0,8.0,4.0,33.0,7.0,58.0,12.0,39.6,,,2.0,,,,     416,95.0,0.0,22.8,0.0,0.0,0.0,,1630525.0,42.0,39.3,2.0,1.9,49.0,45.8,93.0,86.9,74.0,69.2,Lynn,Fecteau-Leary Junior/Senior High School
Lynn - Hood,1630055.0,0.0,80.0,68.0,82.0,100.0,77.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,487.0, 01630055,9.0,7.8,63.4,17.0,0.0,0.0,2.7,49.5,50.5,,,,,,,,,,,SCIENCE AND TECH/ENG,36.0,50.0,13.0,18.0,23.0,32.0,22.0,31.0,14.0,19.0,72.0,84.4,,,,,,,     515,10.0,0.2,1.7,0.0,0.0,0.0,,1630055.0,209.0,42.9,106.0,21.8,66.0,13.6,370.0,76.0,298.0,61.2,Lynn,Hood
Lynn - Ingalls,1630060.0,0.0,90.0,107.0,104.0,107.0,134.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,654.0, 01630060,9.5,9.2,69.1,8.6,0.2,0.2,3.4,52.4,47.6,,,,,,,,,,,SCIENCE AND TECH/ENG,37.0,32.0,11.0,10.0,26.0,23.0,57.0,50.0,20.0,18.0,114.0,71.9,,,,,,,     752,7.0,0.0,0.9,0.0,0.0,0.0,,1630060.0,367.0,56.1,244.0,37.3,80.0,12.2,531.0,81.2,444.0,67.9,Lynn,Ingalls
Lynn - Julia F Callahan,1630030.0,51.0,46.0,66.0,73.0,72.0,69.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,457.0, 01630030,16.8,8.5,49.7,18.4,0.0,0.0,6.6,52.3,47.7,,,,,,,,,,,SCIENCE AND TECH/ENG,26.0,35.0,7.0,9.0,19.0,25.0,30.0,40.0,19.0,25.0,75.0,72.0,,,,,,,     522,35.0,0.0,6.7,0.0,0.0,0.0,,1630030.0,141.0,30.9,62.0,13.6,115.0,25.2,336.0,73.5,277.0,60.6,Lynn,Julia F Callahan
Lynn - Lincoln-Thomson,1630070.0,0.0,31.0,46.0,33.0,44.0,45.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0, 01630070,7.5,7.5,55.8,23.8,0.0,0.0,5.4,52.5,47.5,,,,,,,,,,,SCIENCE AND TECH/ENG,16.0,48.0,10.0,30.0,6.0,18.0,15.0,45.0,2.0,6.0,33.0,81.1,,,,,,,     264,6.0,0.0,2.3,0.0,0.0,0.0,,1630070.0,84.0,35.0,41.0,17.1,38.0,15.8,158.0,65.8,126.0,52.5,Lynn,Lincoln-Thomson
Lynn - Lynn English High,1630510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,517.0,440.0,380.0,386.0,0.0,1723.0, 01630510,9.6,8.2,63.3,16.0,0.1,0.0,2.8,55.2,44.8,325.0,215.0,66.2,0.0,20.5,50.7,28.8,47.9,13.5,11.2,SCIENCE AND TECH/ENG,160.0,56.0,37.0,13.0,123.0,43.0,109.0,38.0,17.0,6.0,286.0,80.8,,,349.0,498.0,,485.0,"   1,747",337.0,0.0,19.3,0.0,0.0,0.0,,1630510.0,1072.0,62.2,437.0,25.4,200.0,11.6,1164.0,67.6,896.0,52.0,Lynn,Lynn English High
Lynn - Lynn Vocational Technical Institute,1630605.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,256.0,266.0,203.0,224.0,12.0,1008.0, 01630605,7.6,6.1,68.4,15.0,0.1,0.0,2.9,57.7,42.3,120.0,54.0,45.0,0.0,14.8,77.8,7.4,75.9,3.7,3.7,SCIENCE AND TECH/ENG,92.0,48.0,16.0,8.0,76.0,40.0,91.0,48.0,8.0,4.0,191.0,79.2,,,60.0,481.0,,474.0,"   1,002",130.0,3.7,10.7,0.0,0.0,0.0,,1630605.0,629.0,62.4,125.0,12.4,219.0,21.7,714.0,70.8,575.0,57.0,Lynn,Lynn Vocational Technical Institute
Lynn - Lynn Woods,1630075.0,0.0,25.0,26.0,22.0,34.0,26.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0, 01630075,1.2,4.3,22.1,62.0,1.2,0.0,9.2,47.9,52.1,,,,,,,,,,,SCIENCE AND TECH/ENG,23.0,66.0,9.0,26.0,14.0,40.0,9.0,26.0,3.0,9.0,35.0,89.3,,,,,,,     168,3.0,,,,,,,1630075.0,17.0,10.4,5.0,3.1,25.0,15.3,62.0,38.0,46.0,28.2,Lynn,Lynn Woods
Lynn - Pickering Middle,1630420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0,199.0,199.0,0.0,0.0,0.0,0.0,0.0,615.0, 01630420,6.7,8.9,42.6,34.6,0.8,0.0,6.3,51.4,48.6,,,,,,,,,,,SCIENCE AND TECH/ENG,81.0,40.0,5.0,2.0,76.0,37.0,84.0,41.0,38.0,19.0,203.0,71.8,,,,,,,     641,50.0,6.2,3.1,0.0,0.0,0.0,,1630420.0,215.0,35.0,34.0,5.5,115.0,18.7,324.0,52.7,250.0,40.7,Lynn,Pickering Middle
Lynn - Robert L Ford,1630050.0,0.0,0.0,90.0,119.0,84.0,94.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,492.0, 01630050,7.9,8.3,73.8,7.3,0.4,0.0,2.2,48.2,51.8,,,,,,,,,,,SCIENCE AND TECH/ENG,31.0,35.0,7.0,8.0,24.0,27.0,41.0,47.0,16.0,18.0,88.0,67.9,,,,,,,     552,21.0,0.7,3.3,0.0,0.0,0.0,,1630050.0,301.0,61.2,191.0,38.8,55.0,11.2,397.0,80.7,308.0,62.6,Lynn,Robert L Ford
Lynn - Sewell-Anderson,1630085.0,0.0,49.0,53.0,49.0,55.0,51.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.0, 01630085,9.0,5.2,48.7,32.6,0.3,0.0,4.2,56.1,43.9,,,,,,,,,,,SCIENCE AND TECH/ENG,21.0,60.0,5.0,14.0,16.0,46.0,8.0,23.0,6.0,17.0,35.0,90.0,,,,,,,     302,2.0,,,,,,,1630085.0,96.0,31.0,46.0,14.8,67.0,21.6,188.0,60.6,144.0,46.5,Lynn,Sewell-Anderson
Lynn - Thurgood Marshall Mid,1630305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,455.0,398.0,440.0,0.0,0.0,0.0,0.0,0.0,1293.0, 01630305,9.7,8.0,67.8,10.8,0.5,0.0,3.3,50.4,49.6,,,,,,,,,,,SCIENCE AND TECH/ENG,84.0,27.0,2.0,1.0,82.0,26.0,138.0,44.0,92.0,29.0,314.0,62.9,,,,,,,"   1,264",116.0,3.6,7.0,0.0,0.0,0.0,,1630305.0,781.0,60.4,180.0,13.9,179.0,13.8,936.0,72.4,826.0,63.9,Lynn,Thurgood Marshall Mid
Lynn - Tracy,1630100.0,0.0,0.0,95.0,84.0,86.0,83.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434.0, 01630100,10.4,5.8,72.8,7.4,0.0,0.0,3.7,48.6,51.4,,,,,,,,,,,SCIENCE AND TECH/ENG,25.0,40.0,9.0,14.0,16.0,25.0,35.0,56.0,3.0,5.0,63.0,76.2,,,,,,,     457,6.0,0.4,1.1,0.0,0.0,0.0,,1630100.0,256.0,59.0,150.0,34.6,33.0,7.6,349.0,80.4,287.0,66.1,Lynn,Tracy
Lynn - Washington Elementary School,1630005.0,0.0,72.0,90.0,87.0,66.0,88.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470.0, 01630005,13.4,6.4,71.7,4.5,0.2,0.0,3.8,50.4,49.6,,,,,,,,,,,SCIENCE AND TECH/ENG,17.0,44.0,2.0,5.0,15.0,38.0,14.0,36.0,8.0,21.0,39.0,69.9,,,,,,,     508,19.0,0.0,3.7,0.0,0.0,0.0,,1630005.0,259.0,55.1,165.0,35.1,62.0,13.2,383.0,81.5,329.0,70.0,Lynn,Washington Elementary School
Lynn - William R Fallon,1630080.0,0.0,1.0,6.0,11.0,7.0,12.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0, 01630080,4.0,2.0,68.0,20.0,0.0,0.0,6.0,88.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      64,17.0,0.0,26.6,0.0,0.0,0.0,,1630080.0,9.0,18.0,1.0,2.0,47.0,94.0,50.0,100.0,39.0,78.0,Lynn,William R Fallon
Lynn - Wm P Connery,1630040.0,28.0,106.0,91.0,97.0,98.0,122.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,640.0, 01630040,6.3,15.0,72.0,4.7,0.2,0.0,1.9,50.6,49.4,,,,,,,,,,,SCIENCE AND TECH/ENG,34.0,40.0,8.0,9.0,26.0,30.0,44.0,51.0,8.0,9.0,86.0,74.1,,,,,,,     683,24.0,0.1,3.5,0.0,0.0,0.0,,1630040.0,395.0,61.7,235.0,36.7,56.0,8.8,533.0,83.3,452.0,70.6,Lynn,Wm P Connery
