,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,HighSchoolGraduates(Num),AttendingColl./Univ.(Num),AttendingColl./Univ.(Percent),PrivateTwoYear(Percent),PrivateFourYear(Percent),PublicTwoYear(Percent),PublicFourYear(Percent),MACommunityCollege(Percent),MAStateUniversity(Percent),Univ.ofMass.(Percent),Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,W/FNum,W/FPercent,StudentIncluded,CPI,SGP,IncludedInSGP,TestsTaken,Reading/Writing,Writing,Math,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Unnamed:9,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Town,School
New Bedford - Abraham Lincoln,2010095.0,0.0,109.0,125.0,111.0,114.0,132.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717.0, 02010095,10.5,0.4,33.2,49.9,0.1,0.1,5.7,51.6,48.4,,,,,,,,,,,SCIENCE AND TECH/ENG,16.0,14.0,0.0,0.0,16.0,14.0,68.0,59.0,31.0,27.0,115.0,56.7,,,,,,,     827,0.0,,,,,,,2010095.0,189.0,26.4,139.0,19.4,100.0,13.9,577.0,80.5,511.0,71.3,New Bedford,Abraham Lincoln
New Bedford - Alfred J Gomes,2010063.0,43.0,65.0,104.0,90.0,85.0,89.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553.0, 02010063,12.5,0.4,64.6,18.4,0.4,0.0,3.8,52.1,47.9,,,,,,,,,,,SCIENCE AND TECH/ENG,10.0,16.0,2.0,3.0,8.0,13.0,35.0,55.0,19.0,30.0,64.0,56.6,,,,,,,     650,3.0,,,,,,,2010063.0,418.0,75.6,391.0,70.7,120.0,21.7,530.0,95.8,424.0,76.7,New Bedford,Alfred J Gomes
New Bedford - Betsey B Winslow,2010140.0,0.0,47.0,53.0,43.0,72.0,50.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.0, 02010140,7.7,3.2,18.1,61.3,0.3,0.3,9.0,49.7,50.3,,,,,,,,,,,SCIENCE AND TECH/ENG,7.0,27.0,2.0,8.0,5.0,19.0,17.0,65.0,2.0,8.0,26.0,72.1,,,,,,,     312,3.0,,,,,,,2010140.0,46.0,14.8,44.0,14.2,46.0,14.8,184.0,59.4,149.0,48.1,New Bedford,Betsey B Winslow
New Bedford - Carlos Pacheco,2010105.0,0.0,54.0,58.0,55.0,70.0,55.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358.0, 02010105,18.4,0.6,50.3,27.7,0.3,0.0,2.8,55.6,44.4,,,,,,,,,,,SCIENCE AND TECH/ENG,5.0,11.0,0.0,0.0,5.0,11.0,20.0,45.0,19.0,43.0,44.0,47.7,,,,,,,     427,19.0,0.5,4.4,0.0,0.0,0.0,,2010105.0,207.0,57.8,164.0,45.8,65.0,18.2,326.0,91.1,286.0,79.9,New Bedford,Carlos Pacheco
New Bedford - Casimir Pulaski,2010123.0,131.0,97.0,112.0,104.0,103.0,90.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730.0, 02010123,6.0,1.1,17.7,70.0,0.1,0.0,5.1,57.4,42.6,,,,,,,,,,,SCIENCE AND TECH/ENG,38.0,39.0,8.0,8.0,30.0,31.0,40.0,41.0,19.0,20.0,97.0,70.6,,,,,,,     807,15.0,0.1,1.7,0.0,0.0,0.0,,2010123.0,153.0,21.0,123.0,16.8,198.0,27.1,438.0,60.0,320.0,43.8,New Bedford,Casimir Pulaski
New Bedford - Charles S Ashley,2010010.0,0.0,34.0,41.0,55.0,50.0,54.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.0, 02010010,6.4,0.7,21.6,66.0,0.0,0.0,5.3,51.8,48.2,,,,,,,,,,,SCIENCE AND TECH/ENG,27.0,41.0,9.0,14.0,18.0,27.0,28.0,42.0,11.0,17.0,66.0,70.5,,,,,,,     353,1.0,,,,,,,2010010.0,49.0,17.4,35.0,12.4,40.0,14.2,186.0,66.0,165.0,58.5,New Bedford,Charles S Ashley
New Bedford - Elizabeth Carter Brooks,2010015.0,29.0,47.0,53.0,39.0,47.0,41.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.0, 02010015,9.7,1.7,31.5,50.7,1.3,0.3,4.7,51.3,48.7,,,,,,,,,,,SCIENCE AND TECH/ENG,9.0,26.0,1.0,3.0,8.0,23.0,22.0,63.0,4.0,11.0,35.0,68.6,,,,,,,     324,0.0,,,,,,,2010015.0,84.0,28.2,68.0,22.8,42.0,14.1,215.0,72.1,194.0,65.1,New Bedford,Elizabeth Carter Brooks
New Bedford - Ellen R Hathaway,2010075.0,23.0,41.0,40.0,43.0,53.0,56.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.0, 02010075,10.9,1.3,58.1,24.1,0.3,0.0,5.3,51.5,48.5,,,,,,,,,,,SCIENCE AND TECH/ENG,4.0,10.0,0.0,0.0,4.0,10.0,19.0,46.0,18.0,44.0,41.0,46.3,,,,,,,     323,5.0,,,,,,,2010075.0,186.0,61.4,176.0,58.1,65.0,21.5,272.0,89.8,220.0,72.6,New Bedford,Ellen R Hathaway
New Bedford - Elwyn G Campbell,2010020.0,49.0,38.0,45.0,37.0,45.0,32.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.0, 02010020,6.2,1.5,34.3,51.1,0.4,0.0,6.6,48.5,51.5,,,,,,,,,,,SCIENCE AND TECH/ENG,7.0,21.0,0.0,0.0,7.0,21.0,20.0,61.0,6.0,18.0,33.0,65.2,,,,,,,     301,1.0,,,,,,,2010020.0,79.0,28.8,67.0,24.5,61.0,22.3,188.0,68.6,151.0,55.1,New Bedford,Elwyn G Campbell
New Bedford - Hayden/McFadden,2010078.0,73.0,109.0,115.0,112.0,85.0,100.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,677.0, 02010078,12.9,0.1,56.6,25.7,0.7,0.0,4.0,52.3,47.7,,,,,,,,,,,SCIENCE AND TECH/ENG,5.0,6.0,1.0,1.0,4.0,5.0,32.0,42.0,40.0,52.0,77.0,48.4,,,,,,,     741,20.0,0.8,2.6,0.0,0.0,0.0,,2010078.0,395.0,58.3,360.0,53.2,156.0,23.0,635.0,93.8,549.0,81.1,New Bedford,Hayden/McFadden
New Bedford - Irwin M. Jacobs Elementary School,2010070.0,42.0,54.0,45.0,58.0,54.0,47.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.0, 02010070,12.2,0.0,56.5,27.0,0.6,0.0,3.8,47.5,52.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010070.0,184.0,53.3,159.0,46.1,66.0,19.1,318.0,92.2,275.0,79.7,New Bedford,Irwin M. Jacobs Elementary School
New Bedford - James B Congdon,2010040.0,0.0,49.0,51.0,54.0,65.0,56.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.0, 02010040,13.7,0.6,40.2,36.9,0.6,0.3,7.7,47.6,52.4,,,,,,,,,,,SCIENCE AND TECH/ENG,26.0,54.0,6.0,13.0,20.0,42.0,20.0,42.0,2.0,4.0,48.0,81.8,,,,,,,     390,2.0,,,,,,,2010040.0,156.0,46.4,144.0,42.9,50.0,14.9,284.0,84.5,252.0,75.0,New Bedford,James B Congdon
New Bedford - Jireh Swift,2010130.0,0.0,23.0,27.0,39.0,47.0,38.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0, 02010130,2.8,1.9,18.1,73.0,0.0,0.0,4.2,47.9,52.1,,,,,,,,,,,SCIENCE AND TECH/ENG,11.0,31.0,0.0,0.0,11.0,31.0,20.0,56.0,5.0,14.0,36.0,68.1,,,,,,,     240,4.0,,,,,,,2010130.0,35.0,16.3,29.0,13.5,27.0,12.6,127.0,59.1,109.0,50.7,New Bedford,Jireh Swift
New Bedford - John Avery Parker,2010115.0,30.0,39.0,43.0,49.0,42.0,40.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.0, 02010115,15.8,0.7,35.1,39.3,0.4,0.4,8.4,54.0,46.0,,,,,,,,,,,SCIENCE AND TECH/ENG,3.0,11.0,0.0,0.0,3.0,11.0,12.0,44.0,12.0,44.0,27.0,44.4,,,,,,,     323,26.0,0.6,8.0,0.0,0.0,0.0,,2010115.0,111.0,38.9,92.0,32.3,40.0,14.0,236.0,82.8,204.0,71.6,New Bedford,John Avery Parker
New Bedford - John B Devalles,2010050.0,0.0,66.0,62.0,67.0,69.0,64.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389.0, 02010050,11.6,0.8,44.7,40.1,0.0,0.0,2.8,50.4,49.6,,,,,,,,,,,SCIENCE AND TECH/ENG,7.0,19.0,0.0,0.0,7.0,19.0,20.0,54.0,10.0,27.0,37.0,56.1,,,,,,,     393,10.0,0.0,2.5,0.0,0.0,0.0,,2010050.0,169.0,43.4,145.0,37.3,71.0,18.3,356.0,91.5,308.0,79.2,New Bedford,John B Devalles
New Bedford - Keith Middle School,2010405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.0,286.0,277.0,0.0,0.0,0.0,0.0,0.0,892.0, 02010405,15.7,1.1,35.7,40.9,0.7,0.2,5.7,51.2,48.8,,,,,,,,,,,SCIENCE AND TECH/ENG,47.0,17.0,5.0,2.0,42.0,16.0,123.0,45.0,101.0,37.0,271.0,53.7,,,,,,,     958,91.0,6.4,4.8,0.0,0.5,0.1,,2010405.0,302.0,33.9,197.0,22.1,211.0,23.7,692.0,77.6,600.0,67.3,New Bedford,Keith Middle School
New Bedford - New Bedford High,2010505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,517.0,586.0,510.0,349.0,0.0,1962.0, 02010505,15.1,1.3,46.7,31.7,0.7,0.3,4.2,54.1,45.9,320.0,203.0,63.4,1.0,20.7,44.3,34.0,43.3,10.8,19.7,SCIENCE AND TECH/ENG,117.0,35.0,25.0,7.0,92.0,27.0,123.0,37.0,96.0,29.0,336.0,65.6,,,210.0,497.0,,487.0,"   2,299",264.0,0.5,10.4,0.0,0.0,1.5,,2010505.0,894.0,45.6,588.0,30.0,383.0,19.5,1566.0,79.8,1284.0,65.4,New Bedford,New Bedford High
New Bedford - Normandin Middle School,2010410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.0,417.0,397.0,0.0,0.0,0.0,0.0,0.0,1254.0, 02010410,6.7,1.8,34.4,51.5,0.3,0.0,5.3,51.5,48.5,,,,,,,,,,,SCIENCE AND TECH/ENG,48.0,15.0,0.0,0.0,48.0,15.0,145.0,47.0,118.0,38.0,311.0,52.7,,,,,,,"   1,206",146.0,0.0,8.9,0.0,0.0,6.6,,2010410.0,425.0,33.9,288.0,23.0,242.0,19.3,925.0,73.8,756.0,60.3,New Bedford,Normandin Middle School
New Bedford - Renaissance Community School for the Arts,2010124.0,30.0,28.0,34.0,39.0,39.0,28.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0, 02010124,17.9,0.0,62.3,16.1,0.0,0.0,3.6,44.8,55.2,,,,,,,,,,,SCIENCE AND TECH/ENG,3.0,10.0,1.0,3.0,2.0,7.0,18.0,60.0,9.0,30.0,30.0,51.7,,,,,,,     260,12.0,1.2,4.2,0.0,0.0,0.0,,2010124.0,140.0,62.8,125.0,56.1,33.0,14.8,204.0,91.5,179.0,80.3,New Bedford,Renaissance Community School for the Arts
New Bedford - Roosevelt Middle School,2010415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286.0,256.0,263.0,0.0,0.0,0.0,0.0,0.0,805.0, 02010415,17.0,0.4,39.1,37.9,0.4,0.2,5.0,52.0,48.0,,,,,,,,,,,SCIENCE AND TECH/ENG,42.0,18.0,1.0,0.0,41.0,17.0,104.0,44.0,90.0,38.0,236.0,53.6,,,,,,,     868,128.0,0.6,14.7,0.0,0.0,0.3,,2010415.0,346.0,43.0,225.0,28.0,204.0,25.3,680.0,84.5,587.0,72.9,New Bedford,Roosevelt Middle School
New Bedford - Sgt Wm H Carney Academy,2010045.0,71.0,86.0,124.0,132.0,100.0,152.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,782.0, 02010045,20.1,0.8,31.7,36.7,0.1,0.0,10.6,56.6,43.4,,,,,,,,,,,SCIENCE AND TECH/ENG,22.0,19.0,5.0,4.0,17.0,15.0,47.0,41.0,47.0,41.0,116.0,60.6,,,,,,,     895,29.0,0.6,2.9,0.0,0.0,0.0,,2010045.0,145.0,18.5,109.0,13.9,228.0,29.2,624.0,79.8,554.0,70.8,New Bedford,Sgt Wm H Carney Academy
New Bedford - Thomas R Rodman,2010125.0,0.0,39.0,48.0,21.0,36.0,25.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0, 02010125,5.6,2.6,40.5,48.7,0.0,0.0,2.6,56.4,43.6,,,,,,,,,,,SCIENCE AND TECH/ENG,12.0,35.0,3.0,9.0,9.0,26.0,14.0,41.0,8.0,24.0,34.0,67.6,,,,,,,     223,5.0,,,,,,,2010125.0,58.0,29.7,44.0,22.6,26.0,13.3,157.0,80.5,132.0,67.7,New Bedford,Thomas R Rodman
New Bedford - Trinity Day Academy,2010510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,15.0,13.0,15.0,15.0,12.0,0.0,79.0, 02010510,5.1,0.0,35.4,50.6,1.3,1.3,6.3,60.8,39.2,6.0,,,,,,,,,,SCIENCE AND TECH/ENG,1.0,9.0,0.0,0.0,1.0,9.0,4.0,36.0,6.0,55.0,11.0,40.9,,,,,,,      96,14.0,0.0,14.6,0.0,0.0,0.0,,2010510.0,13.0,16.5,7.0,8.9,79.0,100.0,79.0,100.0,69.0,87.3,New Bedford,Trinity Day Academy
New Bedford - Whaling City Junior/Senior High School,2010515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,14.0,32.0,12.0,23.0,11.0,0.0,100.0, 02010515,20.0,0.0,43.0,27.0,0.0,0.0,10.0,68.0,32.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,     175,4.0,,,,,,,2010515.0,25.0,25.0,8.0,8.0,32.0,32.0,86.0,86.0,81.0,81.0,New Bedford,Whaling City Junior/Senior High School
New Bedford - William H Taylor,2010135.0,44.0,39.0,40.0,40.0,42.0,29.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.0, 02010135,9.2,0.0,19.1,65.3,0.4,0.0,6.1,50.0,50.0,,,,,,,,,,,SCIENCE AND TECH/ENG,14.0,50.0,6.0,21.0,8.0,29.0,14.0,50.0,0.0,0.0,28.0,80.4,,,,,,,     249,7.0,0.8,2.0,0.0,0.0,0.0,,2010135.0,50.0,19.1,39.0,14.9,26.0,9.9,182.0,69.5,150.0,57.3,New Bedford,William H Taylor
