,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,HighSchoolGraduates(Num),AttendingColl./Univ.(Num),AttendingColl./Univ.(Percent),PrivateTwoYear(Percent),PrivateFourYear(Percent),PublicTwoYear(Percent),PublicFourYear(Percent),MACommunityCollege(Percent),MAStateUniversity(Percent),Univ.ofMass.(Percent),Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,W/FNum,W/FPercent,StudentIncluded,CPI,SGP,IncludedInSGP,TestsTaken,Reading/Writing,Writing,Math,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Unnamed:9,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Town,School
Newton - Newton South High,2070510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485.0,488.0,452.0,467.0,1.0,1893.0, 02070510,5.2,19.9,6.0,64.3,0.1,0.0,4.4,51.3,48.5,429.0,361.0,84.1,0.3,60.1,5.3,34.3,5.0,1.4,16.1,SCIENCE AND TECH/ENG,369.0,92.0,170.0,42.0,199.0,49.0,31.0,8.0,3.0,1.0,403.0,97.6,,,446.0,629.0,,642.0,"   1,879",44.0,1.1,1.5,0.0,0.0,0.0,,2070510.0,509.0,26.9,72.0,3.8,363.0,19.2,587.0,31.0,181.0,9.6,Newton,Newton South High
Newton - Newton North High,2070505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503.0,522.0,544.0,552.0,27.0,2148.0, 02070505,5.9,14.8,8.9,65.0,0.3,0.1,4.9,50.2,49.6,449.0,385.0,85.7,0.0,58.2,9.4,32.5,8.8,3.1,14.5,SCIENCE AND TECH/ENG,450.0,91.0,283.0,57.0,167.0,34.0,36.0,7.0,9.0,2.0,495.0,97.6,,,573.0,613.0,,621.0,"   2,151",83.0,2.8,1.8,0.0,0.0,0.0,,2070505.0,369.0,17.2,62.0,2.9,530.0,24.7,720.0,33.5,242.0,11.3,Newton,Newton North High
Newton - Bigelow Middle,2070305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,171.0,187.0,0.0,0.0,0.0,0.0,0.0,521.0, 02070305,5.6,15.2,9.2,63.3,0.4,0.0,6.3,47.2,52.8,,,,,,,,,,,SCIENCE AND TECH/ENG,89.0,58.0,6.0,4.0,83.0,54.0,52.0,34.0,13.0,8.0,154.0,81.7,,,,,,,     533,18.0,3.0,0.8,0.0,0.0,0.0,,2070305.0,133.0,25.5,35.0,6.7,100.0,19.2,175.0,33.6,59.0,11.3,Newton,Bigelow Middle
Newton - Oak Hill Middle,2070320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,233.0,194.0,0.0,0.0,0.0,0.0,0.0,614.0, 02070320,4.4,22.1,5.2,60.3,0.2,0.2,7.7,49.5,50.5,,,,,,,,,,,SCIENCE AND TECH/ENG,124.0,60.0,14.0,7.0,110.0,53.0,63.0,30.0,20.0,10.0,207.0,82.4,,,,,,,     655,12.0,1.8,0.2,0.0,0.0,0.0,,2070320.0,197.0,32.1,40.0,6.5,117.0,19.1,208.0,33.9,59.0,9.6,Newton,Oak Hill Middle
Newton - Charles E Brown Middle,2070310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,240.0,283.0,0.0,0.0,0.0,0.0,0.0,753.0, 02070310,3.6,22.0,6.6,61.4,0.0,0.0,6.4,52.9,47.1,,,,,,,,,,,SCIENCE AND TECH/ENG,151.0,63.0,17.0,7.0,134.0,56.0,64.0,27.0,25.0,10.0,240.0,85.1,,,,,,,     798,14.0,1.3,0.8,0.0,0.0,0.0,,2070310.0,223.0,29.6,26.0,3.5,151.0,20.1,229.0,30.4,59.0,7.8,Newton,Charles E Brown Middle
Newton - F A Day Middle,2070315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,304.0,324.0,0.0,0.0,0.0,0.0,0.0,978.0, 02070315,5.8,14.8,9.0,63.4,0.2,0.0,6.7,55.1,44.9,,,,,,,,,,,SCIENCE AND TECH/ENG,169.0,59.0,8.0,3.0,161.0,56.0,93.0,32.0,25.0,9.0,287.0,81.6,,,,,,,     938,50.0,5.1,0.6,0.0,0.0,0.0,,2070315.0,194.0,19.8,30.0,3.1,197.0,20.1,278.0,28.4,87.0,8.9,Newton,F A Day Middle
Newton - Underwood,2070115.0,0.0,35.0,47.0,40.0,61.0,47.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0, 02070115,3.2,18.0,11.3,63.0,0.4,0.0,4.2,46.1,53.9,,,,,,,,,,,SCIENCE AND TECH/ENG,22.0,44.0,5.0,10.0,17.0,34.0,23.0,46.0,5.0,10.0,50.0,77.5,,,,,,,     318,0.0,,,,,,,2070115.0,61.0,21.5,26.0,9.2,33.0,11.6,77.0,27.1,26.0,9.2,Newton,Underwood
Newton - John Ward,2070120.0,0.0,35.0,52.0,49.0,57.0,56.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.0, 02070120,2.6,12.3,3.9,73.1,0.0,0.0,8.1,49.5,50.5,,,,,,,,,,,SCIENCE AND TECH/ENG,26.0,52.0,7.0,14.0,19.0,38.0,22.0,44.0,2.0,4.0,50.0,84.0,,,,,,,     318,1.0,,,,,,,2070120.0,87.0,28.2,17.0,5.5,40.0,12.9,69.0,22.3,11.0,3.6,Newton,John Ward
Newton - Peirce,2070100.0,0.0,41.0,44.0,43.0,61.0,38.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.0, 02070100,4.3,21.4,7.2,60.1,0.0,1.1,5.8,50.4,49.6,,,,,,,,,,,SCIENCE AND TECH/ENG,50.0,82.0,22.0,36.0,28.0,46.0,9.0,15.0,2.0,3.0,61.0,94.3,,,,,,,     306,1.0,,,,,,,2070100.0,33.0,12.0,18.0,6.5,26.0,9.4,61.0,22.1,16.0,5.8,Newton,Peirce
Newton - Williams,2070125.0,0.0,47.0,45.0,65.0,40.0,45.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296.0, 02070125,4.1,28.4,8.8,53.4,0.3,0.0,5.1,54.7,45.3,,,,,,,,,,,SCIENCE AND TECH/ENG,23.0,61.0,9.0,24.0,14.0,37.0,13.0,34.0,2.0,5.0,38.0,86.8,,,,,,,     307,0.0,,,,,,,2070125.0,106.0,35.8,30.0,10.1,39.0,13.2,89.0,30.1,16.0,5.4,Newton,Williams
