,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,HighSchoolGraduates(Num),AttendingColl./Univ.(Num),AttendingColl./Univ.(Percent),PrivateTwoYear(Percent),PrivateFourYear(Percent),PublicTwoYear(Percent),PublicFourYear(Percent),MACommunityCollege(Percent),MAStateUniversity(Percent),Univ.ofMass.(Percent),Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,W/FNum,W/FPercent,StudentIncluded,CPI,SGP,IncludedInSGP,TestsTaken,Reading/Writing,Writing,Math,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Unnamed:9,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Town,School
Peabody - Captain Samuel Brown,2290005.0,0.0,56.0,66.0,60.0,50.0,68.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358.0, 02290005,2.0,1.4,14.5,80.2,0.0,0.0,2.0,55.6,44.4,,,,,,,,,,,SCIENCE AND TECH/ENG,24.0,36.0,3.0,4.0,21.0,31.0,25.0,37.0,18.0,27.0,67.0,69.4,,,,,,,     384,0.0,,,,,,,2290005.0,34.0,9.5,22.0,6.1,115.0,32.1,186.0,52.0,103.0,28.8,Peabody,Captain Samuel Brown
Peabody - Center,2290015.0,0.0,65.0,73.0,58.0,62.0,65.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,394.0, 02290015,8.1,2.3,11.7,76.4,0.0,0.0,1.5,48.7,51.3,,,,,,,,,,,SCIENCE AND TECH/ENG,34.0,60.0,7.0,12.0,27.0,47.0,19.0,33.0,4.0,7.0,57.0,83.8,,,,,,,     415,1.0,,,,,,,2290015.0,59.0,15.0,44.0,11.2,47.0,11.9,189.0,48.0,136.0,34.5,Peabody,Center
Peabody - J Henry Higgins Middle,2290305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,457.0,479.0,430.0,0.0,0.0,0.0,0.0,0.0,1366.0, 02290305,3.9,1.8,15.4,77.3,0.0,0.0,1.7,51.8,48.2,,,,,,,,,,,SCIENCE AND TECH/ENG,126.0,30.0,4.0,1.0,122.0,29.0,216.0,52.0,75.0,18.0,417.0,67.6,,,,,,,"   1,396",10.0,0.6,0.2,0.0,0.0,0.0,,2290305.0,166.0,12.2,91.0,6.7,259.0,19.0,602.0,44.1,392.0,28.7,Peabody,J Henry Higgins Middle
Peabody - John E Burke,2290007.0,0.0,30.0,35.0,40.0,48.0,59.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.0, 02290007,1.1,1.1,5.7,88.9,0.0,0.0,3.1,49.8,50.2,,,,,,,,,,,SCIENCE AND TECH/ENG,31.0,52.0,6.0,10.0,25.0,42.0,23.0,38.0,6.0,10.0,60.0,79.6,,,,,,,     277,0.0,,,,,,,2290007.0,12.0,4.6,9.0,3.4,55.0,21.1,89.0,34.1,57.0,21.8,Peabody,John E Burke
Peabody - John E. McCarthy,2290016.0,121.0,44.0,36.0,36.0,42.0,42.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354.0, 02290016,2.0,2.0,9.9,83.1,0.0,0.0,3.1,57.6,42.4,,,,,,,,,,,SCIENCE AND TECH/ENG,21.0,58.0,6.0,17.0,15.0,42.0,13.0,36.0,2.0,6.0,36.0,84.0,,,,,,,     390,0.0,,,,,,,2290016.0,28.0,7.9,18.0,5.1,97.0,27.4,181.0,51.1,114.0,32.2,Peabody,John E. McCarthy
Peabody - Peabody Veterans Memorial High,2290510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357.0,335.0,361.0,419.0,8.0,1480.0, 02290510,3.4,2.2,15.9,76.5,0.0,0.0,2.0,51.8,48.2,436.0,331.0,75.9,0.3,30.5,24.2,45.0,24.2,22.7,14.2,SCIENCE AND TECH/ENG,222.0,71.0,82.0,26.0,140.0,45.0,80.0,26.0,9.0,3.0,311.0,89.3,,,423.0,545.0,,536.0,"   1,604",50.0,1.8,1.7,0.0,0.1,0.0,,2290510.0,103.0,7.0,56.0,3.8,291.0,19.7,649.0,43.9,425.0,28.7,Peabody,Peabody Veterans Memorial High
Peabody - South Memorial,2290035.0,77.0,55.0,77.0,54.0,71.0,75.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467.0, 02290035,2.8,2.1,6.0,86.7,0.0,0.0,2.4,44.1,55.9,,,,,,,,,,,SCIENCE AND TECH/ENG,27.0,48.0,11.0,20.0,16.0,29.0,25.0,45.0,4.0,7.0,56.0,81.3,,,,,,,     485,2.0,,,,,,,2290035.0,26.0,5.6,19.0,4.1,51.0,10.9,158.0,33.8,108.0,23.1,Peabody,South Memorial
Peabody - Thomas Carroll,2290010.0,0.0,108.0,105.0,93.0,95.0,92.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,623.0, 02290010,5.1,0.8,16.5,76.2,0.0,0.0,1.3,47.4,52.6,,,,,,,,,,,SCIENCE AND TECH/ENG,42.0,49.0,12.0,14.0,30.0,35.0,28.0,33.0,16.0,19.0,86.0,71.2,,,,,,,     652,0.0,,,,,,,2290010.0,104.0,16.7,77.0,12.4,69.0,11.1,357.0,57.3,277.0,44.5,Peabody,Thomas Carroll
Peabody - West Memorial,2290045.0,37.0,31.0,41.0,40.0,28.0,33.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.0, 02290045,1.2,0.8,4.0,93.1,0.0,0.0,0.8,55.6,44.4,,,,,,,,,,,SCIENCE AND TECH/ENG,19.0,68.0,4.0,14.0,15.0,54.0,9.0,32.0,0.0,0.0,28.0,89.3,,,,,,,     251,6.0,0.4,2.0,0.0,0.0,0.0,,2290045.0,2.0,0.8,1.0,0.4,45.0,18.1,71.0,28.6,41.0,16.5,Peabody,West Memorial
Peabody - William A Welch Sr,2290027.0,29.0,61.0,49.0,59.0,53.0,73.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0, 02290027,4.2,1.4,27.2,65.0,0.0,0.0,2.2,51.1,48.9,,,,,,,,,,,SCIENCE AND TECH/ENG,11.0,22.0,4.0,8.0,7.0,14.0,30.0,61.0,8.0,16.0,49.0,65.3,,,,,,,     411,2.0,,,,,,,2290027.0,83.0,23.1,63.0,17.5,50.0,13.9,232.0,64.4,186.0,51.7,Peabody,William A Welch Sr
