,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,HighSchoolGraduates(Num),AttendingColl./Univ.(Num),AttendingColl./Univ.(Percent),PrivateTwoYear(Percent),PrivateFourYear(Percent),PublicTwoYear(Percent),PublicFourYear(Percent),MACommunityCollege(Percent),MAStateUniversity(Percent),Univ.ofMass.(Percent),Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,W/FNum,W/FPercent,StudentIncluded,CPI,SGP,IncludedInSGP,TestsTaken,Reading/Writing,Writing,Math,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Unnamed:9,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Town,School
Pittsfield - Pittsfield High,2360505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0,214.0,210.0,189.0,16.0,852.0, 02360505,10.7,2.0,12.6,70.1,0.1,0.0,4.6,51.1,48.8,204.0,143.0,70.1,1.4,28.7,42.7,27.3,42.0,12.6,9.1,SCIENCE AND TECH/ENG,121.0,65.0,31.0,17.0,90.0,48.0,54.0,29.0,11.0,6.0,186.0,86.7,,,161.0,562.0,,558.0,     907,78.0,6.0,4.3,0.0,0.0,0.0,,2360505.0,72.0,8.5,36.0,4.2,222.0,26.1,440.0,51.6,344.0,40.4,Pittsfield,Pittsfield High
Pittsfield - Taconic High,2360510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,169.0,173.0,166.0,0.0,733.0, 02360510,13.2,1.1,10.2,67.5,0.1,0.0,7.8,50.6,49.4,191.0,139.0,72.8,3.6,23.0,57.6,15.8,57.6,8.6,5.0,SCIENCE AND TECH/ENG,91.0,66.0,24.0,17.0,67.0,49.0,44.0,32.0,3.0,2.0,138.0,87.9,,,135.0,545.0,,555.0,     737,99.0,9.1,8.3,0.0,0.0,0.0,,2360510.0,49.0,6.7,18.0,2.5,151.0,20.6,400.0,54.6,321.0,43.8,Pittsfield,Taconic High
Pittsfield - John T Reid Middle,2360305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,179.0,193.0,0.0,0.0,0.0,0.0,0.0,550.0, 02360305,11.3,0.9,12.0,65.6,0.4,0.2,9.6,49.5,50.5,,,,,,,,,,,SCIENCE AND TECH/ENG,36.0,21.0,0.0,0.0,36.0,21.0,81.0,48.0,52.0,31.0,169.0,59.3,,,,,,,     584,71.0,8.7,5.3,0.0,0.0,0.0,,2360305.0,30.0,5.5,12.0,2.2,142.0,25.8,360.0,65.5,318.0,57.8,Pittsfield,John T Reid Middle
Pittsfield - Theodore Herberg Middle,2360310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.0,202.0,219.0,0.0,0.0,0.0,0.0,0.0,643.0, 02360310,10.7,1.2,11.5,69.1,0.0,0.0,7.5,49.0,51.0,,,,,,,,,,,SCIENCE AND TECH/ENG,42.0,21.0,1.0,0.0,41.0,20.0,103.0,51.0,58.0,29.0,203.0,58.7,,,,,,,     649,117.0,16.6,3.4,0.0,0.2,0.0,,2360310.0,45.0,7.0,16.0,2.5,139.0,21.6,346.0,53.8,282.0,43.9,Pittsfield,Theodore Herberg Middle
Pittsfield - Williams,2360100.0,0.0,48.0,51.0,49.0,56.0,52.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0, 02360100,5.0,4.4,5.3,77.4,0.0,0.6,7.2,51.7,48.3,,,,,,,,,,,SCIENCE AND TECH/ENG,30.0,58.0,7.0,13.0,23.0,44.0,21.0,40.0,1.0,2.0,52.0,85.6,,,,,,,     326,0.0,,,,,,,2360100.0,23.0,7.2,18.0,5.6,42.0,13.2,136.0,42.6,101.0,31.7,Pittsfield,Williams
Pittsfield - Stearns,2360090.0,0.0,51.0,39.0,42.0,49.0,30.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.0, 02360090,2.4,1.6,8.6,80.4,0.0,0.0,6.9,54.7,45.3,,,,,,,,,,,SCIENCE AND TECH/ENG,18.0,50.0,5.0,14.0,13.0,36.0,14.0,39.0,4.0,11.0,36.0,86.1,,,,,,,     239,1.0,,,,,,,2360090.0,4.0,1.6,0.0,0.0,61.0,24.9,125.0,51.0,111.0,45.3,Pittsfield,Stearns
Pittsfield - Allendale,2360010.0,0.0,56.0,49.0,44.0,46.0,42.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.0, 02360010,8.3,2.1,12.2,64.9,0.7,0.0,11.8,50.3,49.7,,,,,,,,,,,SCIENCE AND TECH/ENG,22.0,44.0,4.0,8.0,18.0,36.0,22.0,44.0,6.0,12.0,50.0,74.5,,,,,,,     285,3.0,,,,,,,2360010.0,25.0,8.7,10.0,3.5,35.0,12.2,162.0,56.3,138.0,47.9,Pittsfield,Allendale
Pittsfield - Egremont,2360035.0,0.0,71.0,64.0,60.0,76.0,72.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,423.0, 02360035,7.3,0.9,10.4,75.2,0.0,0.0,6.1,49.9,50.1,,,,,,,,,,,SCIENCE AND TECH/ENG,51.0,56.0,14.0,15.0,37.0,41.0,28.0,31.0,12.0,13.0,91.0,82.1,,,,,,,     483,4.0,,,,,,,2360035.0,31.0,7.3,25.0,5.9,65.0,15.4,226.0,53.4,178.0,42.1,Pittsfield,Egremont
Pittsfield - Silvio O Conte Community,2360105.0,17.0,72.0,58.0,51.0,60.0,52.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362.0, 02360105,18.5,1.1,24.3,40.1,0.8,0.0,15.2,49.7,50.3,,,,,,,,,,,SCIENCE AND TECH/ENG,6.0,16.0,1.0,3.0,5.0,14.0,22.0,59.0,9.0,24.0,37.0,57.4,,,,,,,     393,37.0,8.7,3.3,0.0,0.0,0.0,,2360105.0,51.0,14.1,40.0,11.0,48.0,13.3,313.0,86.5,298.0,82.3,Pittsfield,Silvio O Conte Community
Pittsfield - Morningside Community School,2360055.0,18.0,70.0,50.0,50.0,56.0,56.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387.0, 02360055,13.7,0.5,21.4,51.9,0.3,0.0,12.1,50.1,49.9,,,,,,,,,,,SCIENCE AND TECH/ENG,10.0,15.0,2.0,3.0,8.0,12.0,41.0,63.0,14.0,22.0,65.0,58.1,,,,,,,     447,7.0,0.2,1.6,0.0,0.0,0.0,,2360055.0,30.0,7.8,26.0,6.7,71.0,18.3,310.0,80.1,290.0,74.9,Pittsfield,Morningside Community School
