,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,HighSchoolGraduates(Num),AttendingColl./Univ.(Num),AttendingColl./Univ.(Percent),PrivateTwoYear(Percent),PrivateFourYear(Percent),PublicTwoYear(Percent),PublicFourYear(Percent),MACommunityCollege(Percent),MAStateUniversity(Percent),Univ.ofMass.(Percent),Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,W/FNum,W/FPercent,StudentIncluded,CPI,SGP,IncludedInSGP,TestsTaken,Reading/Writing,Writing,Math,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Unnamed:9,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Town,School
Plymouth - Cold Spring,2390005.0,0.0,41.0,39.0,38.0,41.0,44.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0, 02390005,1.2,2.7,12.5,78.4,0.0,0.0,5.1,46.7,53.3,,,,,,,,,,,SCIENCE AND TECH/ENG,14.0,33.0,2.0,5.0,12.0,28.0,24.0,56.0,5.0,12.0,43.0,70.9,,,,,,,     265,4.0,,,,,,,2390005.0,39.0,15.3,16.0,6.3,32.0,12.5,117.0,45.9,87.0,34.1,Plymouth,Cold Spring
Plymouth - Federal Furnace School,2390011.0,0.0,59.0,64.0,59.0,81.0,62.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,386.0, 02390011,6.5,0.5,6.7,82.1,0.0,0.0,4.1,52.1,47.9,,,,,,,,,,,SCIENCE AND TECH/ENG,21.0,34.0,3.0,5.0,18.0,30.0,28.0,46.0,12.0,20.0,61.0,72.5,,,,,,,     428,16.0,3.7,0.7,0.0,0.0,0.0,,2390011.0,6.0,1.6,0.0,0.0,93.0,24.1,180.0,46.6,131.0,33.9,Plymouth,Federal Furnace School
Plymouth - Hedge,2390010.0,0.0,0.0,24.0,28.0,29.0,32.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0, 02390010,3.2,3.2,7.8,75.3,0.0,0.0,10.4,58.4,41.6,,,,,,,,,,,SCIENCE AND TECH/ENG,9.0,23.0,2.0,5.0,7.0,18.0,18.0,45.0,13.0,33.0,40.0,56.9,,,,,,,     235,3.0,,,,,,,2390010.0,27.0,17.5,17.0,11.0,25.0,16.2,99.0,64.3,86.0,55.8,Plymouth,Hedge
Plymouth - Indian Brook,2390012.0,0.0,91.0,86.0,97.0,87.0,108.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,567.0, 02390012,1.4,0.0,2.6,93.3,0.0,0.0,2.6,50.8,49.2,,,,,,,,,,,SCIENCE AND TECH/ENG,57.0,50.0,16.0,14.0,41.0,36.0,50.0,44.0,7.0,6.0,114.0,78.9,,,,,,,     591,0.0,,,,,,,2390012.0,0.0,0.0,0.0,0.0,82.0,14.5,177.0,31.2,117.0,20.6,Plymouth,Indian Brook
Plymouth - Manomet Elementary,2390015.0,0.0,38.0,57.0,39.0,53.0,47.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.0, 02390015,0.7,0.0,3.5,91.6,0.0,0.0,4.2,48.4,51.6,,,,,,,,,,,SCIENCE AND TECH/ENG,51.0,84.0,31.0,51.0,20.0,33.0,10.0,16.0,0.0,0.0,61.0,94.7,,,,,,,     311,3.0,,,,,,,2390015.0,1.0,0.3,0.0,0.0,42.0,14.6,106.0,36.9,78.0,27.2,Plymouth,Manomet Elementary
Plymouth - Nathaniel Morton Elementary,2390030.0,0.0,85.0,87.0,85.0,113.0,77.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,547.0, 02390030,0.9,1.1,4.2,88.3,0.2,0.0,5.3,51.7,48.3,,,,,,,,,,,SCIENCE AND TECH/ENG,46.0,45.0,19.0,19.0,27.0,26.0,42.0,41.0,14.0,14.0,102.0,77.7,,,,,,,     604,1.0,,,,,,,2390030.0,30.0,5.5,10.0,1.8,76.0,13.9,165.0,30.2,112.0,20.5,Plymouth,Nathaniel Morton Elementary
Plymouth - Plymouth Commun Intermediate,2390405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369.0,321.0,330.0,0.0,0.0,0.0,0.0,0.0,1020.0, 02390405,2.3,2.1,5.0,86.7,0.2,0.0,3.8,55.4,44.5,,,,,,,,,,,SCIENCE AND TECH/ENG,120.0,37.0,4.0,1.0,116.0,36.0,159.0,49.0,46.0,14.0,325.0,70.8,,,,,,,"   1,034",77.0,5.8,2.5,0.0,0.0,0.0,,2390405.0,44.0,4.3,16.0,1.6,234.0,22.9,413.0,40.5,282.0,27.6,Plymouth,Plymouth Commun Intermediate
Plymouth - Plymouth Early Childhood Center,2390003.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0, 02390003,2.9,1.4,2.1,86.4,0.0,0.0,7.1,50.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     185,0.0,,,,,,,2390003.0,5.0,3.6,1.0,0.7,70.0,50.0,84.0,60.0,44.0,31.4,Plymouth,Plymouth Early Childhood Center
Plymouth - Plymouth North High,2390505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.0,333.0,310.0,287.0,0.0,1281.0, 02390505,2.7,1.7,6.1,85.6,0.2,0.1,3.7,49.5,50.5,251.0,187.0,74.5,0.0,40.6,20.9,38.5,19.8,13.9,12.8,SCIENCE AND TECH/ENG,221.0,79.0,75.0,27.0,146.0,52.0,57.0,20.0,3.0,1.0,281.0,92.4,,,422.0,548.0,,540.0,"   1,349",172.0,11.0,5.0,0.0,0.0,0.0,,2390505.0,66.0,5.2,26.0,2.0,206.0,16.1,434.0,33.9,288.0,22.5,Plymouth,Plymouth North High
Plymouth - Plymouth South High,2390515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306.0,260.0,273.0,256.0,0.0,1095.0, 02390515,1.6,1.5,2.6,90.3,0.4,0.1,3.6,53.0,47.0,296.0,186.0,62.8,0.5,28.0,26.9,44.6,25.8,16.7,17.7,SCIENCE AND TECH/ENG,195.0,79.0,78.0,31.0,117.0,47.0,47.0,19.0,6.0,2.0,248.0,91.5,,,342.0,529.0,,521.0,"   1,047",149.0,10.5,7.5,0.0,0.0,0.0,,2390515.0,12.0,1.1,4.0,0.4,228.0,20.8,350.0,32.0,185.0,16.9,Plymouth,Plymouth South High
