,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,HighSchoolGraduates(Num),AttendingColl./Univ.(Num),AttendingColl./Univ.(Percent),PrivateTwoYear(Percent),PrivateFourYear(Percent),PublicTwoYear(Percent),PublicFourYear(Percent),MACommunityCollege(Percent),MAStateUniversity(Percent),Univ.ofMass.(Percent),Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,W/FNum,W/FPercent,StudentIncluded,CPI,SGP,IncludedInSGP,TestsTaken,Reading/Writing,Writing,Math,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Unnamed:9,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Town,School
Quincy - North Quincy High,2430510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.0,285.0,320.0,323.0,1.0,1220.0, 02430510,2.8,57.2,3.3,35.3,0.4,0.0,1.0,51.2,48.8,302.0,240.0,79.5,0.0,39.6,16.7,43.8,15.4,9.6,29.6,SCIENCE AND TECH/ENG,238.0,86.0,121.0,44.0,117.0,42.0,32.0,12.0,8.0,3.0,278.0,95.1,,,386.0,541.0,,579.0,"   1,211",39.0,2.5,1.2,0.0,0.0,0.0,,2430510.0,549.0,45.0,137.0,11.2,164.0,13.4,602.0,49.3,418.0,34.3,Quincy,North Quincy High
Quincy - Quincy High,2430505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397.0,384.0,392.0,367.0,0.0,1540.0, 02430505,10.1,21.9,7.1,56.9,0.3,0.5,3.2,52.5,47.4,383.0,270.0,70.5,0.0,33.0,20.0,47.0,18.9,15.2,25.9,SCIENCE AND TECH/ENG,251.0,77.0,100.0,31.0,151.0,46.0,67.0,21.0,8.0,2.0,326.0,90.9,,,377.0,535.0,,543.0,"   1,567",122.0,2.2,7.0,0.0,0.0,0.0,,2430505.0,405.0,26.3,121.0,7.9,289.0,18.8,802.0,52.1,572.0,37.1,Quincy,Quincy High
Quincy - Broad Meadows Middle,2430310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,128.0,120.0,0.0,0.0,0.0,0.0,0.0,382.0, 02430310,7.1,16.5,7.1,65.4,0.8,0.3,2.9,54.2,45.8,,,,,,,,,,,SCIENCE AND TECH/ENG,24.0,18.0,0.0,0.0,24.0,18.0,71.0,55.0,35.0,27.0,130.0,60.8,,,,,,,     384,14.0,2.1,1.6,0.0,0.0,0.0,,2430310.0,85.0,22.3,30.0,7.9,135.0,35.3,230.0,60.2,150.0,39.3,Quincy,Broad Meadows Middle
Quincy - Atlantic Middle,2430305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,149.0,164.0,0.0,0.0,0.0,0.0,0.0,497.0, 02430305,4.0,50.7,3.0,37.2,0.0,0.4,4.6,51.1,48.9,,,,,,,,,,,SCIENCE AND TECH/ENG,61.0,39.0,1.0,1.0,60.0,38.0,76.0,48.0,21.0,13.0,158.0,72.2,,,,,,,     485,11.0,0.2,2.3,0.0,0.0,0.0,,2430305.0,234.0,47.1,56.0,11.3,65.0,13.1,240.0,48.3,155.0,31.2,Quincy,Atlantic Middle
Quincy - Central Middle,2430315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.0,216.0,212.0,0.0,0.0,0.0,0.0,0.0,634.0, 02430315,2.4,39.7,3.0,51.9,0.0,0.3,2.7,50.0,50.0,,,,,,,,,,,SCIENCE AND TECH/ENG,127.0,59.0,10.0,5.0,117.0,54.0,68.0,32.0,20.0,9.0,215.0,80.5,,,,,,,     654,20.0,2.4,1.7,0.0,0.0,0.0,,2430315.0,204.0,32.2,26.0,4.1,63.0,9.9,232.0,36.6,148.0,23.3,Quincy,Central Middle
Quincy - Reay E Sterling Middle,2430320.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,89.0,85.0,92.0,0.0,0.0,0.0,0.0,0.0,362.0, 02430320,13.0,26.5,12.4,42.5,0.3,0.6,4.7,54.7,45.3,,,,,,,,,,,SCIENCE AND TECH/ENG,57.0,37.0,17.0,11.0,40.0,26.0,70.0,45.0,27.0,18.0,154.0,71.6,,,,,,,     362,25.0,5.0,3.0,0.0,0.0,0.0,,2430320.0,128.0,35.4,36.0,9.9,79.0,21.8,241.0,66.6,179.0,49.4,Quincy,Reay E Sterling Middle
Quincy - Point Webster Middle,2430325.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,79.0,94.0,84.0,0.0,0.0,0.0,0.0,0.0,356.0, 02430325,11.8,36.5,9.3,38.2,0.3,0.3,3.7,51.7,48.3,,,,,,,,,,,SCIENCE AND TECH/ENG,68.0,46.0,14.0,9.0,54.0,36.0,64.0,43.0,17.0,11.0,149.0,74.3,,,,,,,     362,24.0,3.3,4.4,0.0,0.0,0.0,,2430325.0,131.0,36.8,25.0,7.0,50.0,14.0,203.0,57.0,145.0,40.7,Quincy,Point Webster Middle
Quincy - Atherton Hough,2430040.0,0.0,37.0,51.0,44.0,37.0,44.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.0, 02430040,3.6,12.0,6.0,75.7,0.0,0.0,2.8,56.2,43.8,,,,,,,,,,,SCIENCE AND TECH/ENG,18.0,41.0,4.0,9.0,14.0,32.0,23.0,52.0,3.0,7.0,44.0,75.6,,,,,,,     275,0.0,,,,,,,2430040.0,43.0,17.1,36.0,14.3,73.0,29.1,128.0,51.0,73.0,29.1,Quincy,Atherton Hough
Quincy - Francis W Parker,2430075.0,0.0,53.0,41.0,48.0,54.0,59.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.0, 02430075,2.9,68.7,4.5,22.4,0.0,0.3,1.3,59.4,40.6,,,,,,,,,,,SCIENCE AND TECH/ENG,15.0,31.0,5.0,10.0,10.0,21.0,24.0,50.0,9.0,19.0,48.0,77.1,,,,,,,     348,0.0,,,,,,,2430075.0,219.0,70.0,128.0,40.9,42.0,13.4,256.0,81.8,141.0,45.0,Quincy,Francis W Parker
Quincy - Wollaston School,2430110.0,0.0,53.0,62.0,55.0,57.0,53.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.0, 02430110,0.9,62.5,1.8,33.3,0.0,0.3,1.2,49.8,50.2,,,,,,,,,,,SCIENCE AND TECH/ENG,35.0,85.0,18.0,44.0,17.0,41.0,5.0,12.0,1.0,2.0,41.0,94.5,,,,,,,     348,0.0,,,,,,,2430110.0,200.0,60.1,127.0,38.1,28.0,8.4,212.0,63.7,120.0,36.0,Quincy,Wollaston School
