,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,HighSchoolGraduates(Num),AttendingColl./Univ.(Num),AttendingColl./Univ.(Percent),PrivateTwoYear(Percent),PrivateFourYear(Percent),PublicTwoYear(Percent),PublicFourYear(Percent),MACommunityCollege(Percent),MAStateUniversity(Percent),Univ.ofMass.(Percent),Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,W/FNum,W/FPercent,StudentIncluded,CPI,SGP,IncludedInSGP,TestsTaken,Reading/Writing,Writing,Math,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Unnamed:9,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Town,School
Revere - Seacoast School,2480520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,22.0,25.0,12.0,0.0,82.0, 02480520,8.5,1.2,58.5,26.8,0.0,0.0,4.9,67.1,32.9,24.0,7.0,29.2,0.0,14.3,85.7,0.0,85.7,0.0,0.0,SCIENCE AND TECH/ENG,1.0,6.0,0.0,0.0,1.0,6.0,13.0,81.0,2.0,13.0,16.0,56.3,,,,,,,     144,24.0,0.0,16.7,0.0,0.0,0.0,,2480520.0,36.0,43.9,5.0,6.1,19.0,23.2,57.0,69.5,45.0,54.9,Revere,Seacoast School
Revere - Revere High,2480505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,614.0,443.0,481.0,446.0,7.0,1991.0, 02480505,4.0,6.2,56.3,31.0,0.6,0.0,1.9,50.7,49.3,342.0,236.0,69.0,0.0,33.9,28.8,37.3,28.4,7.6,28.0,SCIENCE AND TECH/ENG,278.0,73.0,111.0,29.0,167.0,44.0,86.0,23.0,18.0,5.0,382.0,88.6,,,539.0,494.0,,499.0,"   1,981",31.0,0.1,1.6,0.0,0.0,0.0,,2480505.0,1243.0,62.4,323.0,16.2,204.0,10.2,1172.0,58.9,939.0,47.2,Revere,Revere High
Revere - Garfield Middle School,2480057.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0,181.0,174.0,0.0,0.0,0.0,0.0,0.0,538.0, 02480057,2.8,5.9,56.1,33.1,0.2,0.0,1.9,50.9,49.1,,,,,,,,,,,SCIENCE AND TECH/ENG,34.0,19.0,0.0,0.0,34.0,19.0,78.0,45.0,63.0,36.0,175.0,53.6,,,,,,,     581,25.0,0.2,4.1,0.0,0.0,0.0,,2480057.0,344.0,63.9,84.0,15.6,59.0,11.0,336.0,62.5,258.0,48.0,Revere,Garfield Middle School
Revere - Susan B. Anthony Middle School,2480305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,195.0,186.0,0.0,0.0,0.0,0.0,0.0,570.0, 02480305,3.3,4.7,57.0,33.3,0.2,0.0,1.4,47.4,52.6,,,,,,,,,,,SCIENCE AND TECH/ENG,49.0,28.0,2.0,1.0,47.0,27.0,82.0,47.0,44.0,25.0,175.0,63.4,,,,,,,     591,33.0,1.9,4.4,0.0,0.0,0.0,,2480305.0,352.0,61.8,77.0,13.5,64.0,11.2,359.0,63.0,280.0,49.1,Revere,Susan B. Anthony Middle School
Revere - Rumney Marsh Academy,2480014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0,195.0,197.0,0.0,0.0,0.0,0.0,0.0,597.0, 02480014,4.0,4.2,46.4,41.9,0.7,0.2,2.7,53.3,46.7,,,,,,,,,,,SCIENCE AND TECH/ENG,64.0,34.0,5.0,3.0,59.0,31.0,84.0,44.0,41.0,22.0,189.0,64.7,,,,,,,     614,47.0,0.3,7.7,0.0,0.0,0.0,,2480014.0,339.0,56.8,23.0,3.9,134.0,22.4,351.0,58.8,286.0,47.9,Revere,Rumney Marsh Academy
Revere - Paul Revere,2480050.0,0.0,71.0,80.0,81.0,74.0,86.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,472.0, 02480050,3.4,5.7,43.2,43.2,0.0,0.0,4.4,49.4,50.6,,,,,,,,,,,SCIENCE AND TECH/ENG,28.0,38.0,11.0,15.0,17.0,23.0,38.0,52.0,7.0,10.0,73.0,73.3,,,,,,,     517,1.0,,,,,,,2480050.0,276.0,58.5,138.0,29.2,81.0,17.2,321.0,68.0,237.0,50.2,Revere,Paul Revere
Revere - Staff Sargent James J. Hill Elementary School,2480035.0,0.0,117.0,104.0,116.0,111.0,131.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,712.0, 02480035,4.9,2.7,61.9,27.1,0.4,0.0,2.9,47.1,52.9,,,,,,,,,,,SCIENCE AND TECH/ENG,45.0,52.0,15.0,17.0,30.0,34.0,34.0,39.0,8.0,9.0,87.0,81.3,,,,,,,     747,0.0,,,,,,,2480035.0,475.0,66.7,239.0,33.6,98.0,13.8,521.0,73.2,379.0,53.2,Revere,Staff Sargent James J. Hill Elementary School
Revere - A. C. Whelan Elementary School,2480003.0,0.0,118.0,128.0,119.0,123.0,136.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,753.0, 02480003,3.5,5.2,43.6,45.8,0.1,0.1,1.7,53.3,46.7,,,,,,,,,,,SCIENCE AND TECH/ENG,66.0,53.0,15.0,12.0,51.0,41.0,52.0,42.0,7.0,6.0,125.0,81.4,,,,,,,     786,1.0,,,,,,,2480003.0,395.0,52.5,152.0,20.2,137.0,18.2,524.0,69.6,377.0,50.1,Revere,A. C. Whelan Elementary School
Revere - Beachmont Veterans Memorial School,2480013.0,38.0,62.0,58.0,52.0,49.0,54.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374.0, 02480013,3.7,1.9,48.4,44.7,0.0,0.0,1.3,54.8,45.2,,,,,,,,,,,SCIENCE AND TECH/ENG,21.0,42.0,6.0,12.0,15.0,30.0,25.0,50.0,4.0,8.0,50.0,75.5,,,,,,,     398,5.0,,,,,,,2480013.0,236.0,63.1,125.0,33.4,69.0,18.4,287.0,76.7,190.0,50.8,Revere,Beachmont Veterans Memorial School
Revere - Garfield Elementary School,2480056.0,63.0,106.0,130.0,125.0,107.0,116.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,768.0, 02480056,2.7,6.6,62.9,26.3,0.0,0.0,1.4,51.0,49.0,,,,,,,,,,,SCIENCE AND TECH/ENG,31.0,27.0,9.0,8.0,22.0,19.0,65.0,56.0,20.0,17.0,116.0,66.8,,,,,,,     927,1.0,,,,,,,2480056.0,575.0,74.9,332.0,43.2,101.0,13.2,613.0,79.8,428.0,55.7,Revere,Garfield Elementary School
Revere - Abraham Lincoln,2480025.0,90.0,103.0,97.0,96.0,84.0,110.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695.0, 02480025,4.0,4.3,48.2,42.0,0.0,0.0,1.4,52.1,47.9,,,,,,,,,,,SCIENCE AND TECH/ENG,22.0,27.0,0.0,0.0,22.0,27.0,45.0,55.0,15.0,18.0,82.0,64.9,,,,,,,     746,1.0,,,,,,,2480025.0,416.0,59.9,226.0,32.5,114.0,16.4,497.0,71.5,332.0,47.8,Revere,Abraham Lincoln
