,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,HighSchoolGraduates(Num),AttendingColl./Univ.(Num),AttendingColl./Univ.(Percent),PrivateTwoYear(Percent),PrivateFourYear(Percent),PublicTwoYear(Percent),PublicFourYear(Percent),MACommunityCollege(Percent),MAStateUniversity(Percent),Univ.ofMass.(Percent),Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,W/FNum,W/FPercent,StudentIncluded,CPI,SGP,IncludedInSGP,TestsTaken,Reading/Writing,Writing,Math,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Unnamed:9,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Town,School
Salem - New Liberty Innovation School,2580510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,13.0,20.0,0.0,45.0, 02580510,6.7,0.0,46.7,44.4,0.0,0.0,2.2,46.7,51.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      69,1.0,,,,,,,2580510.0,11.0,24.4,4.0,8.9,18.0,40.0,37.0,82.2,33.0,73.3,Salem,New Liberty Innovation School
Salem - Salem High,2580505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,219.0,227.0,223.0,4.0,920.0, 02580505,7.5,2.9,43.9,41.5,0.0,0.0,4.1,52.7,47.2,273.0,190.0,69.6,0.5,17.4,33.7,48.4,32.6,31.1,11.1,SCIENCE AND TECH/ENG,111.0,56.0,44.0,22.0,67.0,34.0,73.0,37.0,15.0,8.0,199.0,80.7,,,195.0,523.0,,522.0,"   1,011",24.0,1.0,1.5,0.0,0.0,0.0,,2580505.0,327.0,35.5,140.0,15.2,213.0,23.2,575.0,62.5,424.0,46.1,Salem,Salem High
Salem - Salem Prep High School,2580515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,6.0,7.0,4.0,1.0,26.0, 02580515,3.8,3.8,26.9,61.5,0.0,0.0,3.8,65.4,34.6,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      35,0.0,,,,,,,2580515.0,7.0,26.9,1.0,3.8,23.0,88.5,26.0,100.0,19.0,73.1,Salem,Salem Prep High School
Salem - Collins Middle,2580305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,185.0,173.0,0.0,0.0,0.0,0.0,0.0,536.0, 02580305,7.3,3.4,33.8,51.1,0.0,0.0,4.5,53.2,46.8,,,,,,,,,,,SCIENCE AND TECH/ENG,54.0,33.0,3.0,2.0,51.0,31.0,76.0,47.0,32.0,20.0,162.0,67.6,,,,,,,     601,25.0,2.2,2.0,0.0,0.0,0.2,,2580305.0,138.0,25.7,41.0,7.6,120.0,22.4,324.0,60.4,265.0,49.4,Salem,Collins Middle
Salem - Nathaniel Bowditch,2580025.0,0.0,35.0,38.0,43.0,48.0,44.0,51.0,40.0,45.0,34.0,0.0,0.0,0.0,0.0,0.0,378.0, 02580025,6.9,2.4,69.6,17.7,0.3,0.0,3.2,51.6,48.4,,,,,,,,,,,SCIENCE AND TECH/ENG,13.0,15.0,2.0,2.0,11.0,13.0,36.0,41.0,38.0,44.0,87.0,50.3,,,,,,,     490,7.0,0.6,1.0,0.0,0.0,0.0,,2580025.0,215.0,56.9,141.0,37.3,44.0,11.6,314.0,83.1,276.0,73.0,Salem,Nathaniel Bowditch
Salem - Saltonstall School,2580050.0,0.0,39.0,43.0,40.0,44.0,51.0,41.0,37.0,40.0,37.0,0.0,0.0,0.0,0.0,0.0,372.0, 02580050,5.4,3.0,33.6,51.9,0.0,0.0,6.2,48.7,51.3,,,,,,,,,,,SCIENCE AND TECH/ENG,28.0,33.0,4.0,5.0,24.0,28.0,42.0,49.0,16.0,19.0,86.0,68.0,,,,,,,     399,7.0,0.8,1.0,0.0,0.0,0.0,,2580050.0,98.0,26.3,36.0,9.7,55.0,14.8,181.0,48.7,145.0,39.0,Salem,Saltonstall School
Salem - Horace Mann Laboratory,2580030.0,0.0,44.0,43.0,39.0,45.0,53.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.0, 02580030,6.3,1.5,40.4,45.6,0.0,0.0,6.3,50.0,50.0,,,,,,,,,,,SCIENCE AND TECH/ENG,11.0,34.0,1.0,3.0,10.0,31.0,15.0,47.0,6.0,19.0,32.0,64.8,,,,,,,     312,7.0,0.0,2.2,0.0,0.0,0.0,,2580030.0,68.0,25.0,32.0,11.8,38.0,14.0,173.0,63.6,142.0,52.2,Salem,Horace Mann Laboratory
Salem - Bates,2580003.0,0.0,48.0,65.0,67.0,57.0,53.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0, 02580003,7.0,2.0,27.2,56.7,0.3,0.0,6.7,51.5,48.5,,,,,,,,,,,SCIENCE AND TECH/ENG,22.0,48.0,3.0,7.0,19.0,41.0,17.0,37.0,7.0,15.0,46.0,73.9,,,,,,,     358,0.0,,,,,,,2580003.0,54.0,15.8,25.0,7.3,75.0,21.9,199.0,58.2,163.0,47.7,Salem,Bates
Salem - Carlton,2580015.0,0.0,55.0,45.0,31.0,44.0,45.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.0, 02580015,3.6,0.4,28.2,62.3,0.0,0.0,5.6,46.8,53.2,,,,,,,,,,,SCIENCE AND TECH/ENG,18.0,50.0,8.0,22.0,10.0,28.0,14.0,39.0,4.0,11.0,36.0,77.8,,,,,,,     270,0.0,,,,,,,2580015.0,41.0,16.3,14.0,5.6,51.0,20.2,141.0,56.0,115.0,45.6,Salem,Carlton
Salem - Witchcraft Heights,2580070.0,0.0,66.0,83.0,69.0,71.0,84.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458.0, 02580070,6.6,5.5,27.1,56.6,0.0,0.0,4.4,55.0,45.0,,,,,,,,,,,SCIENCE AND TECH/ENG,35.0,45.0,8.0,10.0,27.0,35.0,33.0,43.0,9.0,12.0,77.0,77.3,,,,,,,     514,0.0,,,,,,,2580070.0,94.0,20.5,37.0,8.1,99.0,21.6,237.0,51.7,183.0,40.0,Salem,Witchcraft Heights
