,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,HighSchoolGraduates(Num),AttendingColl./Univ.(Num),AttendingColl./Univ.(Percent),PrivateTwoYear(Percent),PrivateFourYear(Percent),PublicTwoYear(Percent),PublicFourYear(Percent),MACommunityCollege(Percent),MAStateUniversity(Percent),Univ.ofMass.(Percent),Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,W/FNum,W/FPercent,StudentIncluded,CPI,SGP,IncludedInSGP,TestsTaken,Reading/Writing,Writing,Math,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Unnamed:9,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Town,School
Somerville - Full Circle High School,2740510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,17.0,13.0,13.0,0.0,52.0, 02740510,21.2,1.9,44.2,32.7,0.0,0.0,0.0,61.5,38.5,10.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,      79,17.0,1.3,21.5,0.0,0.0,0.0,,2740510.0,19.0,36.5,1.0,1.9,39.0,75.0,47.0,90.4,39.0,75.0,Somerville,Full Circle High School
Somerville - Somerville High,2740505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.0,316.0,320.0,261.0,5.0,1215.0, 02740505,13.6,8.2,45.2,31.5,0.0,0.0,1.5,54.7,45.3,279.0,203.0,72.8,0.0,36.9,35.5,27.6,35.0,7.9,19.2,SCIENCE AND TECH/ENG,209.0,74.0,96.0,34.0,113.0,40.0,64.0,23.0,9.0,3.0,282.0,90.9,,,252.0,522.0,,523.0,"   1,346",137.0,7.1,4.5,0.0,0.0,0.0,,2740505.0,669.0,55.1,153.0,12.6,206.0,17.0,696.0,57.3,529.0,43.5,Somerville,Somerville High
Somerville - Next Wave Junior High,2740410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,15.0, 02740410,0.0,0.0,60.0,40.0,0.0,0.0,0.0,86.7,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      20,6.0,0.0,30.0,0.0,0.0,0.0,,2740410.0,6.0,40.0,0.0,0.0,11.0,73.3,14.0,93.3,10.0,66.7,Somerville,Next Wave Junior High
Somerville - Benjamin G Brown,2740015.0,0.0,32.0,44.0,45.0,36.0,37.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0, 02740015,1.3,9.5,7.8,71.9,0.4,0.0,9.1,47.2,52.8,,,,,,,,,,,SCIENCE AND TECH/ENG,30.0,97.0,17.0,55.0,13.0,42.0,1.0,3.0,0.0,0.0,31.0,99.2,,,,,,,     237,0.0,,,,,,,2740015.0,33.0,14.3,5.0,2.2,24.0,10.4,61.0,26.4,33.0,14.3,Somerville,Benjamin G Brown
Somerville - John F Kennedy,2740083.0,0.0,46.0,50.0,47.0,50.0,45.0,44.0,75.0,47.0,52.0,0.0,0.0,0.0,0.0,0.0,456.0, 02740083,9.6,5.0,16.0,62.1,0.0,0.0,7.2,55.0,45.0,,,,,,,,,,,SCIENCE AND TECH/ENG,69.0,63.0,22.0,20.0,47.0,43.0,27.0,25.0,13.0,12.0,109.0,84.9,,,,,,,     485,4.0,,,,,,,2740083.0,73.0,16.0,6.0,1.3,110.0,24.1,187.0,41.0,134.0,29.4,Somerville,John F Kennedy
Somerville - E Somerville Community,2740111.0,0.0,67.0,88.0,95.0,88.0,88.0,95.0,83.0,65.0,51.0,0.0,0.0,0.0,0.0,0.0,720.0, 02740111,4.3,3.6,71.8,17.8,0.0,0.1,2.4,50.7,49.3,,,,,,,,,,,SCIENCE AND TECH/ENG,39.0,28.0,11.0,8.0,28.0,20.0,58.0,41.0,44.0,31.0,141.0,58.2,,,,,,,     740,3.0,,,,,,,2740111.0,519.0,72.1,237.0,32.9,126.0,17.5,501.0,69.6,370.0,51.4,Somerville,E Somerville Community
Somerville - Winter Hill Community,2740120.0,18.0,32.0,38.0,40.0,51.0,38.0,56.0,62.0,55.0,69.0,0.0,0.0,0.0,0.0,0.0,459.0, 02740120,14.4,8.3,50.3,24.2,0.0,0.0,2.8,57.3,42.5,,,,,,,,,,,SCIENCE AND TECH/ENG,27.0,30.0,4.0,4.0,23.0,26.0,42.0,47.0,21.0,23.0,90.0,68.3,,,,,,,     506,15.0,1.6,2.0,0.0,0.0,0.0,,2740120.0,273.0,59.5,154.0,33.6,138.0,30.1,362.0,78.9,257.0,56.0,Somerville,Winter Hill Community
Somerville - West Somerville Neighborhood,2740115.0,18.0,42.0,40.0,47.0,44.0,30.0,35.0,32.0,35.0,48.0,0.0,0.0,0.0,0.0,0.0,371.0, 02740115,14.6,4.6,19.1,55.5,0.0,0.0,6.2,52.0,47.4,,,,,,,,,,,SCIENCE AND TECH/ENG,25.0,38.0,4.0,6.0,21.0,32.0,34.0,52.0,6.0,9.0,65.0,73.8,,,,,,,     390,6.0,0.8,0.8,0.0,0.0,0.0,,2740115.0,103.0,27.8,23.0,6.2,67.0,18.1,191.0,51.5,141.0,38.0,Somerville,West Somerville Neighborhood
Somerville - Arthur D Healey,2740075.0,18.0,54.0,51.0,49.0,46.0,44.0,49.0,51.0,40.0,49.0,0.0,0.0,0.0,0.0,0.0,451.0, 02740075,14.0,7.3,44.3,31.0,0.0,0.0,3.3,50.6,49.4,,,,,,,,,,,SCIENCE AND TECH/ENG,38.0,42.0,13.0,14.0,25.0,28.0,32.0,36.0,20.0,22.0,90.0,69.4,,,,,,,     463,7.0,1.1,0.4,0.0,0.0,0.0,,2740075.0,209.0,46.3,95.0,21.1,116.0,25.7,320.0,71.0,246.0,54.5,Somerville,Arthur D Healey
Somerville - Albert F. Argenziano School at Lincoln Park,2740087.0,18.0,68.0,75.0,85.0,86.0,63.0,59.0,42.0,44.0,44.0,0.0,0.0,0.0,0.0,0.0,584.0, 02740087,5.8,9.1,38.4,42.8,0.3,0.0,3.6,52.4,47.6,,,,,,,,,,,SCIENCE AND TECH/ENG,37.0,49.0,6.0,8.0,31.0,41.0,26.0,34.0,13.0,17.0,76.0,74.0,,,,,,,     620,3.0,,,,,,,2740087.0,286.0,49.0,163.0,27.9,79.0,13.5,313.0,53.6,214.0,36.6,Somerville,Albert F. Argenziano School at Lincoln Park
