,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,HighSchoolGraduates(Num),AttendingColl./Univ.(Num),AttendingColl./Univ.(Percent),PrivateTwoYear(Percent),PrivateFourYear(Percent),PublicTwoYear(Percent),PublicFourYear(Percent),MACommunityCollege(Percent),MAStateUniversity(Percent),Univ.ofMass.(Percent),Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,W/FNum,W/FPercent,StudentIncluded,CPI,SGP,IncludedInSGP,TestsTaken,Reading/Writing,Writing,Math,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Unnamed:9,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Town,School
Springfield - Springfield Vocational Academy,2810675.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,92.0, 02810675,16.3,2.2,68.5,13.0,0.0,0.0,0.0,60.9,39.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2810675.0,32.0,34.8,2.0,2.2,92.0,100.0,92.0,100.0,81.0,88.0,Springfield,Springfield Vocational Academy
Springfield - Gateway to College at Holyoke Community College,2810575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,9.0,0.0,26.0, 02810575,30.8,0.0,46.2,23.1,0.0,0.0,0.0,38.5,61.5,13.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,      34,0.0,,,,,,,2810575.0,4.0,15.4,2.0,7.7,2.0,7.7,19.0,73.1,19.0,73.1,Springfield,Gateway to College at Holyoke Community College
Springfield - Gateway to College at Springfield Technical Community College,2810580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,24.0,10.0,0.0,45.0, 02810580,31.1,0.0,57.8,11.1,0.0,0.0,0.0,28.9,71.1,14.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,      59,0.0,,,,,,,2810580.0,5.0,11.1,3.0,6.7,3.0,6.7,37.0,82.2,37.0,82.2,Springfield,Gateway to College at Springfield Technical Community College
Springfield - Liberty Preparatory Academy,2810560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,0.0,0.0,12.0, 02810560,8.3,8.3,8.3,58.3,0.0,0.0,16.7,83.3,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,      24,4.0,,,,,,,2810560.0,2.0,16.7,1.0,8.3,1.0,8.3,11.0,91.7,10.0,83.3,Springfield,Liberty Preparatory Academy
Springfield - Springfield Public Day High School,2810550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,28.0,27.0,11.0,2.0,98.0, 02810550,22.4,0.0,60.2,15.3,0.0,0.0,2.0,71.4,28.6,7.0,,,,,,,,,,SCIENCE AND TECH/ENG,0.0,0.0,0.0,0.0,0.0,0.0,3.0,30.0,7.0,70.0,10.0,72.5,,,,,,,     130,42.0,9.2,28.5,0.0,0.8,0.0,,2810550.0,22.0,22.4,12.0,12.2,98.0,100.0,98.0,100.0,85.0,86.7,Springfield,Springfield Public Day High School
Springfield - Springfield High School,2810570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,59.0,50.0,44.0,1.0,211.0, 02810570,25.6,0.0,59.2,13.7,0.0,0.0,1.4,55.5,44.5,17.0,10.0,58.8,0.0,0.0,100.0,0.0,100.0,0.0,0.0,,,,,,,,,,,,,,,,4.0,,,,     172,42.0,0.0,24.4,0.0,0.0,0.0,,2810570.0,48.0,22.7,22.0,10.4,71.0,33.6,182.0,86.3,164.0,77.7,Springfield,Springfield High School
Springfield - High School Of Commerce,2810510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.0,242.0,223.0,257.0,1.0,1079.0, 02810510,19.0,1.7,68.8,9.2,0.0,0.1,1.3,52.6,47.4,171.0,97.0,56.7,0.0,15.5,73.2,11.3,69.1,10.3,1.0,SCIENCE AND TECH/ENG,41.0,26.0,3.0,2.0,38.0,24.0,74.0,47.0,42.0,27.0,157.0,61.1,,,224.0,416.0,,428.0,"   1,489",252.0,2.2,15.6,0.0,0.0,0.0,,2810510.0,423.0,39.2,294.0,27.2,248.0,23.0,913.0,84.6,843.0,78.1,Springfield,High School Of Commerce
Springfield - Roger L. Putnam Vocational Technical Academy,2810620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,376.0,341.0,352.0,0.0,1436.0, 02810620,19.7,1.4,66.9,11.3,0.1,0.0,0.7,45.9,54.1,281.0,164.0,58.4,0.0,17.7,66.5,15.9,64.0,11.6,2.4,SCIENCE AND TECH/ENG,121.0,37.0,13.0,4.0,108.0,33.0,172.0,53.0,34.0,10.0,327.0,71.1,,,413.0,432.0,,437.0,"   1,471",56.0,1.7,2.4,0.0,0.0,0.0,,2810620.0,414.0,28.8,151.0,10.5,220.0,15.3,1074.0,74.8,993.0,69.2,Springfield,Roger L. Putnam Vocational Technical Academy
Springfield - Springfield High School of Science and Technology,2810530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.0,378.0,300.0,229.0,13.0,1304.0, 02810530,17.3,1.8,69.3,10.5,0.1,0.1,0.9,57.7,42.3,258.0,140.0,54.3,0.0,12.9,76.4,10.7,73.6,4.3,3.6,SCIENCE AND TECH/ENG,62.0,23.0,6.0,2.0,56.0,21.0,109.0,41.0,96.0,36.0,267.0,58.4,,,239.0,401.0,,394.0,"   1,486",274.0,11.8,12.7,0.0,0.1,0.0,,2810530.0,448.0,34.4,283.0,21.7,300.0,23.0,1131.0,86.7,1041.0,79.8,Springfield,Springfield High School of Science and Technology
Springfield - Springfield Central High,2810500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.0,530.0,428.0,404.0,0.0,2049.0, 02810500,23.8,6.2,53.5,15.1,0.0,0.1,1.2,53.3,46.7,435.0,328.0,75.4,0.0,19.8,63.1,17.1,62.5,10.1,5.2,SCIENCE AND TECH/ENG,180.0,40.0,24.0,5.0,156.0,35.0,218.0,49.0,50.0,11.0,448.0,74.9,,,526.0,469.0,,466.0,"   2,123",299.0,12.0,4.4,0.0,0.0,0.0,,2810500.0,560.0,27.3,289.0,14.1,320.0,15.6,1493.0,72.9,1369.0,66.8,Springfield,Springfield Central High
