,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,HighSchoolGraduates(Num),AttendingColl./Univ.(Num),AttendingColl./Univ.(Percent),PrivateTwoYear(Percent),PrivateFourYear(Percent),PublicTwoYear(Percent),PublicFourYear(Percent),MACommunityCollege(Percent),MAStateUniversity(Percent),Univ.ofMass.(Percent),Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,W/FNum,W/FPercent,StudentIncluded,CPI,SGP,IncludedInSGP,TestsTaken,Reading/Writing,Writing,Math,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Unnamed:9,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Town,School
Taunton - Taunton Alternative High School,2930525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,42.0,35.0,0.0,95.0, 02930525,10.5,0.0,9.5,70.5,0.0,0.0,9.5,61.1,38.9,58.0,11.0,19.0,0.0,18.2,72.7,9.1,72.7,0.0,9.1,,,,,,,,,,,,,,,,1.0,,,,     137,12.0,4.4,5.8,0.0,0.0,0.0,,2930525.0,5.0,5.3,0.0,0.0,33.0,34.7,80.0,84.2,69.0,72.6,Taunton,Taunton Alternative High School
Taunton - Taunton High,2930505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,693.0,551.0,492.0,481.0,407.0,14.0,2638.0, 02930505,15.7,2.0,12.6,65.5,0.0,0.2,3.9,49.7,50.3,342.0,247.0,72.2,0.4,26.3,29.1,44.1,28.7,19.0,17.8,SCIENCE AND TECH/ENG,426.0,41.0,81.0,8.0,345.0,33.0,416.0,40.0,200.0,19.0,1042.0,70.6,,,535.0,526.0,,514.0,"   2,603",333.0,0.0,12.8,0.0,0.0,0.0,,2930505.0,276.0,10.5,75.0,2.8,402.0,15.2,1245.0,47.2,1049.0,39.8,Taunton,Taunton High
Taunton - John F Parker Middle,2930305.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,179.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,497.0, 02930305,24.7,1.0,15.1,52.1,0.4,0.0,6.6,49.7,50.3,,,,,,,,,,,SCIENCE AND TECH/ENG,35.0,22.0,15.0,9.0,20.0,12.0,85.0,53.0,41.0,25.0,161.0,60.7,,,,,,,     490,10.0,0.0,2.0,0.0,0.0,0.0,,2930305.0,80.0,16.1,30.0,6.0,85.0,17.1,320.0,64.4,283.0,56.9,Taunton,John F Parker Middle
Taunton - Joseph H Martin,2930042.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0,226.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,676.0, 02930042,14.6,1.3,10.9,68.6,0.4,0.1,3.8,53.4,46.6,,,,,,,,,,,SCIENCE AND TECH/ENG,65.0,31.0,9.0,4.0,56.0,27.0,114.0,54.0,32.0,15.0,211.0,67.4,,,,,,,     754,54.0,3.8,4.6,0.0,0.0,0.0,,2930042.0,63.0,9.3,11.0,1.6,105.0,15.5,361.0,53.4,305.0,45.1,Taunton,Joseph H Martin
Taunton - Benjamin Friedman Middle,2930315.0,0.0,0.0,0.0,0.0,0.0,0.0,264.0,256.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0,762.0, 02930315,9.7,0.8,10.0,74.0,0.3,0.3,5.0,51.4,48.6,,,,,,,,,,,SCIENCE AND TECH/ENG,92.0,36.0,16.0,6.0,76.0,30.0,109.0,42.0,56.0,22.0,257.0,67.1,,,,,,,     837,31.0,0.7,3.6,0.0,0.0,0.0,,2930315.0,48.0,6.3,11.0,1.4,155.0,20.3,375.0,49.2,302.0,39.6,Taunton,Benjamin Friedman Middle
Taunton - Hopewell,2930035.0,0.0,45.0,54.0,57.0,61.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.0, 02930035,18.2,0.7,11.3,60.6,0.0,0.0,9.1,46.7,53.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     321,1.0,,,,,,,2930035.0,22.0,8.0,13.0,4.7,53.0,19.3,188.0,68.6,160.0,58.4,Taunton,Hopewell
Taunton - H H Galligan,2930057.0,0.0,47.0,51.0,48.0,47.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0, 02930057,24.6,0.4,20.4,45.8,0.4,1.3,7.1,50.4,49.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     277,3.0,,,,,,,2930057.0,46.0,19.2,36.0,15.0,45.0,18.8,191.0,79.6,166.0,69.2,Taunton,H H Galligan
Taunton - Edmund Hatch Bennett,2930007.0,0.0,71.0,60.0,54.0,63.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.0, 02930007,7.8,0.9,8.4,79.8,0.3,0.0,2.7,52.1,47.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     345,5.0,,,,,,,2930007.0,30.0,9.0,21.0,6.3,31.0,9.3,134.0,40.4,107.0,32.2,Taunton,Edmund Hatch Bennett
Taunton - Joseph C Chamberlain,2930008.0,0.0,88.0,98.0,116.0,94.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,517.0, 02930008,9.1,1.5,4.8,80.3,0.2,0.2,3.9,50.5,49.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     557,13.0,0.5,2.2,0.0,0.0,0.0,,2930008.0,27.0,5.2,12.0,2.3,95.0,18.4,217.0,42.0,169.0,32.7,Taunton,Joseph C Chamberlain
Taunton - Mulcahey Elementary School,2930015.0,0.0,100.0,94.0,81.0,118.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,487.0, 02930015,18.7,0.6,14.2,60.2,0.2,0.0,6.2,49.9,50.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     537,14.0,0.0,2.6,0.0,0.0,0.0,,2930015.0,74.0,15.2,50.0,10.3,91.0,18.7,306.0,62.8,250.0,51.3,Taunton,Mulcahey Elementary School
