,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,HighSchoolGraduates(Num),AttendingColl./Univ.(Num),AttendingColl./Univ.(Percent),PrivateTwoYear(Percent),PrivateFourYear(Percent),PublicTwoYear(Percent),PublicFourYear(Percent),MACommunityCollege(Percent),MAStateUniversity(Percent),Univ.ofMass.(Percent),Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,W/FNum,W/FPercent,StudentIncluded,CPI,SGP,IncludedInSGP,TestsTaken,Reading/Writing,Writing,Math,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Unnamed:9,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Town,School
Wachusett - Central Tree Middle,7750310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,132.0,119.0,0.0,0.0,0.0,0.0,0.0,372.0, 07750310,1.1,2.2,3.2,88.2,0.0,0.8,4.6,50.8,49.2,,,,,,,,,,,SCIENCE AND TECH/ENG,90.0,63.0,9.0,6.0,81.0,56.0,45.0,31.0,9.0,6.0,144.0,85.8,,,,,,,     412,1.0,,,,,,,7750310.0,2.0,0.5,1.0,0.3,64.0,17.2,99.0,26.6,47.0,12.6,Wachusett,Central Tree Middle
Wachusett - Chocksett Middle School,7750315.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,95.0,96.0,94.0,0.0,0.0,0.0,0.0,0.0,364.0, 07750315,1.4,2.5,6.0,88.2,0.0,0.0,1.9,50.0,50.0,,,,,,,,,,,SCIENCE AND TECH/ENG,115.0,63.0,21.0,11.0,94.0,51.0,54.0,30.0,14.0,8.0,183.0,85.1,,,,,,,     385,3.0,,,,,,,7750315.0,2.0,0.5,1.0,0.3,50.0,13.7,88.0,24.2,41.0,11.3,Wachusett,Chocksett Middle School
Wachusett - Davis Hill Elementary,7750018.0,0.0,61.0,74.0,73.0,74.0,75.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,451.0, 07750018,2.9,1.1,7.1,84.5,0.4,0.0,4.0,52.5,47.5,,,,,,,,,,,SCIENCE AND TECH/ENG,50.0,53.0,22.0,23.0,28.0,30.0,42.0,45.0,2.0,2.0,94.0,81.9,,,,,,,     482,3.0,,,,,,,7750018.0,9.0,2.0,9.0,2.0,47.0,10.4,101.0,22.4,60.0,13.3,Wachusett,Davis Hill Elementary
Wachusett - Dawson,7750020.0,0.0,43.0,79.0,83.0,79.0,86.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460.0, 07750020,2.4,3.9,5.0,85.7,0.0,0.0,3.0,50.7,49.3,,,,,,,,,,,SCIENCE AND TECH/ENG,47.0,52.0,16.0,18.0,31.0,34.0,40.0,44.0,3.0,3.0,90.0,82.8,,,,,,,     544,5.0,,,,,,,7750020.0,27.0,5.9,26.0,5.7,52.0,11.3,122.0,26.5,44.0,9.6,Wachusett,Dawson
Wachusett - Early Childhood Center,7750001.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0, 07750001,1.9,4.9,7.4,82.7,0.0,0.6,2.5,58.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     187,0.0,,,,,,,7750001.0,4.0,2.5,0.0,0.0,68.0,42.0,91.0,56.2,30.0,18.5,Wachusett,Early Childhood Center
Wachusett - Glenwood Elementary School,7750060.0,0.0,0.0,0.0,0.0,102.0,112.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.0, 07750060,2.0,2.9,5.0,86.0,0.6,0.0,3.5,49.6,50.4,,,,,,,,,,,SCIENCE AND TECH/ENG,62.0,55.0,19.0,17.0,43.0,38.0,40.0,36.0,10.0,9.0,112.0,85.3,,,,,,,     369,2.0,,,,,,,7750060.0,14.0,4.1,5.0,1.5,56.0,16.3,101.0,29.4,47.0,13.7,Wachusett,Glenwood Elementary School
Wachusett - Houghton Elementary,7750027.0,0.0,65.0,62.0,84.0,69.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0, 07750027,1.9,1.9,5.9,87.7,0.0,0.0,2.7,53.6,46.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     400,0.0,,,,,,,7750027.0,4.0,1.1,1.0,0.3,54.0,14.4,86.0,22.9,43.0,11.5,Wachusett,Houghton Elementary
Wachusett - Leroy E.Mayo,7750032.0,0.0,60.0,79.0,82.0,83.0,86.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,477.0, 07750032,2.7,4.8,5.2,85.5,0.0,0.0,1.7,52.6,47.4,,,,,,,,,,,SCIENCE AND TECH/ENG,50.0,57.0,16.0,18.0,34.0,39.0,34.0,39.0,4.0,5.0,88.0,82.4,,,,,,,     522,0.0,,,,,,,7750032.0,22.0,4.6,16.0,3.4,44.0,9.2,98.0,20.5,41.0,8.6,Wachusett,Leroy E.Mayo
Wachusett - Mountview Middle,7750305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.0,258.0,263.0,0.0,0.0,0.0,0.0,0.0,802.0, 07750305,2.0,3.7,5.1,86.8,0.2,0.0,2.1,50.9,49.1,,,,,,,,,,,SCIENCE AND TECH/ENG,148.0,52.0,14.0,5.0,134.0,47.0,123.0,43.0,13.0,5.0,284.0,81.8,,,,,,,     821,14.0,0.0,1.7,0.0,0.0,0.0,,7750305.0,51.0,6.4,10.0,1.2,113.0,14.1,188.0,23.4,79.0,9.9,Wachusett,Mountview Middle
Wachusett - Naquag Elementary School,7750005.0,0.0,91.0,115.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0, 07750005,1.2,1.2,6.4,89.2,0.3,0.0,1.8,46.8,53.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     340,0.0,,,,,,,7750005.0,14.0,4.1,13.0,3.8,37.0,10.8,73.0,21.3,36.0,10.5,Wachusett,Naquag Elementary School
