,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,HighSchoolGraduates(Num),AttendingColl./Univ.(Num),AttendingColl./Univ.(Percent),PrivateTwoYear(Percent),PrivateFourYear(Percent),PublicTwoYear(Percent),PublicFourYear(Percent),MACommunityCollege(Percent),MAStateUniversity(Percent),Univ.ofMass.(Percent),Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,W/FNum,W/FPercent,StudentIncluded,CPI,SGP,IncludedInSGP,TestsTaken,Reading/Writing,Writing,Math,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Unnamed:9,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Town,School
Waltham - Waltham Sr High,3080505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,456.0,386.0,377.0,1.0,1620.0, 03080505,11.3,4.7,41.0,40.3,0.2,0.2,2.3,54.2,45.8,292.0,217.0,74.3,0.0,27.6,29.5,42.9,29.0,17.1,19.4,SCIENCE AND TECH/ENG,238.0,74.0,84.0,26.0,154.0,48.0,60.0,19.0,25.0,8.0,323.0,87.5,,,393.0,523.0,,526.0,"   1,702",164.0,6.0,5.9,0.0,0.0,0.0,,3080505.0,766.0,47.3,303.0,18.7,212.0,13.1,808.0,49.9,576.0,35.6,Waltham,Waltham Sr High
Waltham - John F Kennedy Middle,3080404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,177.0,164.0,0.0,0.0,0.0,0.0,0.0,512.0, 03080404,10.7,5.3,28.7,53.9,0.0,0.0,1.4,51.4,48.6,,,,,,,,,,,SCIENCE AND TECH/ENG,64.0,40.0,6.0,4.0,58.0,36.0,66.0,41.0,32.0,20.0,162.0,69.9,,,,,,,     549,40.0,4.0,5.8,0.0,0.0,0.0,,3080404.0,184.0,35.9,68.0,13.3,85.0,16.6,223.0,43.6,156.0,30.5,Waltham,John F Kennedy Middle
Waltham - John W. McDevitt Middle School,3080415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.0,206.0,198.0,0.0,0.0,0.0,0.0,0.0,631.0, 03080415,8.9,3.6,45.6,39.6,0.0,0.2,2.1,49.4,50.6,,,,,,,,,,,SCIENCE AND TECH/ENG,78.0,43.0,10.0,5.0,68.0,37.0,72.0,39.0,33.0,18.0,183.0,71.9,,,,,,,     611,11.0,0.8,1.6,0.0,0.0,0.0,,3080415.0,303.0,48.0,66.0,10.5,123.0,19.5,317.0,50.2,212.0,33.6,Waltham,John W. McDevitt Middle School
Waltham - Waltham Public Schools Dual Language Program,3080001.0,0.0,39.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0, 03080001,2.5,2.5,68.4,25.3,0.0,0.0,1.3,60.8,39.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      40,0.0,,,,,,,3080001.0,49.0,62.0,42.0,53.2,1.0,1.3,48.0,60.8,28.0,35.4,Waltham,Waltham Public Schools Dual Language Program
Waltham - Thomas R Plympton Elementary School,3080050.0,0.0,63.0,71.0,79.0,67.0,77.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,422.0, 03080050,11.6,4.5,42.2,39.3,0.0,0.0,2.4,52.1,47.9,,,,,,,,,,,SCIENCE AND TECH/ENG,39.0,55.0,17.0,24.0,22.0,31.0,26.0,37.0,6.0,8.0,71.0,79.9,,,,,,,     464,1.0,,,,,,,3080050.0,229.0,54.3,161.0,38.2,51.0,12.1,251.0,59.5,168.0,39.8,Waltham,Thomas R Plympton Elementary School
Waltham - Henry Whittemore Elementary School,3080065.0,0.0,65.0,74.0,76.0,62.0,80.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.0, 03080065,4.2,3.5,75.5,15.2,0.0,0.0,1.6,53.1,46.9,,,,,,,,,,,SCIENCE AND TECH/ENG,25.0,42.0,13.0,22.0,12.0,20.0,25.0,42.0,9.0,15.0,59.0,72.9,,,,,,,     480,0.0,,,,,,,3080065.0,345.0,79.7,221.0,51.0,49.0,11.3,349.0,80.6,239.0,55.2,Waltham,Henry Whittemore Elementary School
Waltham - Douglas MacArthur Elementary School,3080032.0,0.0,78.0,74.0,81.0,77.0,68.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.0, 03080032,9.5,6.4,15.0,64.3,0.2,0.0,4.5,55.7,44.3,,,,,,,,,,,SCIENCE AND TECH/ENG,25.0,49.0,9.0,18.0,16.0,31.0,21.0,41.0,5.0,10.0,51.0,74.5,,,,,,,     454,0.0,,,,,,,3080032.0,105.0,23.9,50.0,11.4,67.0,15.2,152.0,34.5,89.0,20.2,Waltham,Douglas MacArthur Elementary School
Waltham - James Fitzgerald Elementary School,3080060.0,0.0,79.0,62.0,61.0,78.0,69.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438.0, 03080060,6.6,5.0,30.1,54.3,0.0,0.0,3.9,50.2,49.8,,,,,,,,,,,SCIENCE AND TECH/ENG,33.0,43.0,17.0,22.0,16.0,21.0,32.0,42.0,12.0,16.0,77.0,74.4,,,,,,,     467,3.0,,,,,,,3080060.0,161.0,36.8,97.0,22.1,57.0,13.0,198.0,45.2,122.0,27.9,Waltham,James Fitzgerald Elementary School
Waltham - William F. Stanley Elementary School,3080005.0,41.0,62.0,70.0,71.0,61.0,60.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.0, 03080005,6.9,8.1,45.4,38.2,0.0,0.0,1.4,54.4,45.6,,,,,,,,,,,SCIENCE AND TECH/ENG,22.0,34.0,6.0,9.0,16.0,25.0,26.0,41.0,16.0,25.0,64.0,69.1,,,,,,,     491,0.0,,,,,,,3080005.0,223.0,51.6,115.0,26.6,99.0,22.9,257.0,59.5,151.0,35.0,Waltham,William F. Stanley Elementary School
Waltham - Northeast Elementary School,3080040.0,105.0,101.0,68.0,98.0,79.0,75.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,593.0, 03080040,12.0,11.1,27.8,46.5,0.3,0.0,2.2,52.8,47.2,,,,,,,,,,,SCIENCE AND TECH/ENG,29.0,47.0,14.0,23.0,15.0,24.0,25.0,40.0,8.0,13.0,62.0,80.6,,,,,,,     594,14.0,2.0,0.3,0.0,0.0,0.0,,3080040.0,227.0,38.3,120.0,20.2,81.0,13.7,288.0,48.6,190.0,32.0,Waltham,Northeast Elementary School
