,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,HighSchoolGraduates(Num),AttendingColl./Univ.(Num),AttendingColl./Univ.(Percent),PrivateTwoYear(Percent),PrivateFourYear(Percent),PublicTwoYear(Percent),PublicFourYear(Percent),MACommunityCollege(Percent),MAStateUniversity(Percent),Univ.ofMass.(Percent),Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,W/FNum,W/FPercent,StudentIncluded,CPI,SGP,IncludedInSGP,TestsTaken,Reading/Writing,Writing,Math,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Unnamed:9,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Town,School
Westfield - Abner Gibbs,3250020.0,0.0,32.0,39.0,42.0,26.0,41.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0, 03250020,4.0,8.1,18.4,66.4,0.0,0.0,3.1,48.0,52.0,,,,,,,,,,,SCIENCE AND TECH/ENG,12.0,35.0,4.0,12.0,8.0,24.0,20.0,59.0,2.0,6.0,34.0,76.5,,,,,,,     238,0.0,,,,,,,3250020.0,9.0,4.0,4.0,1.8,21.0,9.4,121.0,54.3,109.0,48.9,Westfield,Abner Gibbs
Westfield - Fort Meadow Early Childhood Center,3250003.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0, 03250003,0.5,8.7,23.0,66.3,0.0,0.0,1.5,60.7,39.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     234,0.0,,,,,,,3250003.0,6.0,3.1,3.0,1.5,78.0,39.8,135.0,68.9,91.0,46.4,Westfield,Fort Meadow Early Childhood Center
Westfield - Franklin Ave,3250015.0,0.0,32.0,45.0,48.0,43.0,48.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.0, 03250015,4.4,3.2,30.2,60.1,0.4,0.0,1.6,48.0,52.0,,,,,,,,,,,SCIENCE AND TECH/ENG,21.0,48.0,6.0,14.0,15.0,34.0,17.0,39.0,6.0,14.0,44.0,73.9,,,,,,,     267,3.0,,,,,,,3250015.0,34.0,13.7,10.0,4.0,32.0,12.9,180.0,72.6,164.0,66.1,Westfield,Franklin Ave
Westfield - Highland,3250025.0,0.0,55.0,58.0,66.0,63.0,73.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373.0, 03250025,2.4,8.6,14.5,73.2,0.0,0.0,1.3,53.9,46.1,,,,,,,,,,,SCIENCE AND TECH/ENG,23.0,33.0,7.0,10.0,16.0,23.0,34.0,49.0,12.0,17.0,69.0,68.8,,,,,,,     438,9.0,0.0,2.1,0.0,0.0,0.0,,3250025.0,180.0,48.3,157.0,42.1,51.0,13.7,279.0,74.8,231.0,61.9,Westfield,Highland
Westfield - Munger Hill,3250033.0,0.0,45.0,63.0,67.0,58.0,70.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379.0, 03250033,2.9,1.8,10.8,82.3,0.3,0.0,1.8,50.4,49.6,,,,,,,,,,,SCIENCE AND TECH/ENG,41.0,47.0,11.0,13.0,30.0,34.0,31.0,36.0,15.0,17.0,87.0,76.4,,,,,,,     414,0.0,,,,,,,3250033.0,14.0,3.7,2.0,0.5,73.0,19.3,127.0,33.5,92.0,24.3,Westfield,Munger Hill
Westfield - North Middle School,3250305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.0,199.0,232.0,0.0,0.0,0.0,0.0,0.0,676.0, 03250305,1.6,1.9,11.4,82.0,0.0,0.1,3.0,50.4,49.6,,,,,,,,,,,SCIENCE AND TECH/ENG,89.0,43.0,1.0,0.0,88.0,43.0,83.0,40.0,33.0,16.0,205.0,73.2,,,,,,,     667,52.0,3.1,6.1,0.0,0.0,0.0,,3250305.0,21.0,3.1,2.0,0.3,129.0,19.1,262.0,38.8,179.0,26.5,Westfield,North Middle School
Westfield - Paper Mill,3250036.0,0.0,61.0,72.0,67.0,69.0,72.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412.0, 03250036,3.2,0.5,23.1,69.2,0.2,0.2,3.6,52.4,47.6,,,,,,,,,,,SCIENCE AND TECH/ENG,26.0,37.0,7.0,10.0,19.0,27.0,41.0,59.0,3.0,4.0,70.0,78.6,,,,,,,     453,4.0,,,,,,,3250036.0,20.0,4.9,10.0,2.4,61.0,14.8,212.0,51.5,184.0,44.7,Westfield,Paper Mill
Westfield - Russell Elementary School,3250055.0,0.0,19.0,24.0,20.0,29.0,38.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0, 03250055,2.5,0.6,6.8,89.4,0.0,0.0,0.6,52.8,47.2,,,,,,,,,,,SCIENCE AND TECH/ENG,12.0,46.0,2.0,8.0,10.0,38.0,13.0,50.0,1.0,4.0,26.0,76.9,,,,,,,     193,1.0,,,,,,,3250055.0,4.0,2.5,0.0,0.0,26.0,16.1,65.0,40.4,47.0,29.2,Westfield,Russell Elementary School
Westfield - South Middle School,3250310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,198.0,201.0,0.0,0.0,0.0,0.0,0.0,588.0, 03250310,2.2,3.4,17.5,76.4,0.0,0.0,0.5,52.9,47.1,,,,,,,,,,,SCIENCE AND TECH/ENG,51.0,28.0,1.0,1.0,50.0,27.0,87.0,48.0,45.0,25.0,183.0,63.3,,,,,,,     615,28.0,1.5,3.7,0.0,0.0,0.0,,3250310.0,81.0,13.8,46.0,7.8,126.0,21.4,334.0,56.8,272.0,46.3,Westfield,South Middle School
Westfield - Southampton Road,3250040.0,0.0,64.0,70.0,70.0,67.0,75.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425.0, 03250040,0.9,2.1,11.3,82.4,0.0,0.0,3.3,49.6,50.4,,,,,,,,,,,SCIENCE AND TECH/ENG,45.0,52.0,16.0,18.0,29.0,33.0,38.0,44.0,4.0,5.0,87.0,80.7,,,,,,,     467,2.0,,,,,,,3250040.0,26.0,6.1,12.0,2.8,57.0,13.4,187.0,44.0,150.0,35.3,Westfield,Southampton Road
Westfield - Westfield High,3250505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.0,330.0,292.0,320.0,28.0,1257.0, 03250505,2.6,3.8,12.5,79.2,0.2,0.0,1.7,46.0,53.9,340.0,262.0,77.1,0.0,29.0,37.4,33.6,36.6,18.7,7.3,SCIENCE AND TECH/ENG,198.0,74.0,71.0,27.0,127.0,48.0,56.0,21.0,13.0,5.0,267.0,89.0,,,289.0,567.0,,549.0,"   1,332",85.0,2.2,5.2,0.0,0.0,0.0,,3250505.0,81.0,6.4,46.0,3.7,205.0,16.3,450.0,35.8,334.0,26.6,Westfield,Westfield High
Westfield - Westfield Technical Academy,3250605.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,142.0,126.0,133.0,0.0,541.0, 03250605,1.8,1.1,7.6,87.4,0.2,0.2,1.7,62.8,37.2,,,,,,,,,,,SCIENCE AND TECH/ENG,69.0,53.0,7.0,5.0,62.0,48.0,53.0,41.0,7.0,5.0,129.0,80.6,,,10.0,475.0,,470.0,     544,48.0,0.2,8.6,0.0,0.0,0.0,,3250605.0,27.0,5.0,4.0,0.7,156.0,28.8,295.0,54.5,194.0,35.9,Westfield,Westfield Technical Academy
