,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,HighSchoolGraduates(Num),AttendingColl./Univ.(Num),AttendingColl./Univ.(Percent),PrivateTwoYear(Percent),PrivateFourYear(Percent),PublicTwoYear(Percent),PublicFourYear(Percent),MACommunityCollege(Percent),MAStateUniversity(Percent),Univ.ofMass.(Percent),Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,W/FNum,W/FPercent,StudentIncluded,CPI,SGP,IncludedInSGP,TestsTaken,Reading/Writing,Writing,Math,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Unnamed:9,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Town,School
Westford - Abbot Elementary,3260004.0,0.0,0.0,0.0,0.0,128.0,119.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.0, 03260004,0.3,19.1,1.4,76.3,0.0,0.0,3.0,49.6,50.4,,,,,,,,,,,SCIENCE AND TECH/ENG,88.0,73.0,44.0,36.0,44.0,36.0,33.0,27.0,0.0,0.0,121.0,91.3,,,,,,,     359,0.0,,,,,,,3260004.0,11.0,3.0,1.0,0.3,56.0,15.3,82.0,22.3,28.0,7.6,Westford,Abbot Elementary
Westford - Blanchard Middle,3260310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0,193.0,218.0,0.0,0.0,0.0,0.0,0.0,590.0, 03260310,0.8,30.0,1.4,66.1,0.2,0.2,1.4,52.7,47.3,,,,,,,,,,,SCIENCE AND TECH/ENG,153.0,75.0,22.0,11.0,131.0,64.0,44.0,21.0,8.0,4.0,205.0,90.4,,,,,,,     625,9.0,1.3,0.2,0.0,0.0,0.0,,3260310.0,117.0,19.8,8.0,1.4,82.0,13.9,119.0,20.2,32.0,5.4,Westford,Blanchard Middle
Westford - Col John Robinson,3260025.0,0.0,89.0,105.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.0, 03260025,1.0,26.8,0.7,69.1,0.0,0.0,2.4,51.5,48.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     281,0.0,,,,,,,3260025.0,44.0,15.1,21.0,7.2,26.0,8.9,57.0,19.6,16.0,5.5,Westford,Col John Robinson
Westford - Day Elementary,3260007.0,0.0,0.0,0.0,0.0,125.0,105.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.0, 03260007,1.1,38.8,1.7,53.7,0.0,0.0,4.8,50.3,49.7,,,,,,,,,,,SCIENCE AND TECH/ENG,94.0,74.0,53.0,42.0,41.0,32.0,28.0,22.0,5.0,4.0,127.0,90.7,,,,,,,     369,0.0,,,,,,,3260007.0,89.0,25.0,8.0,2.2,54.0,15.2,89.0,25.0,19.0,5.3,Westford,Day Elementary
Westford - John A. Crisafulli Elementary School,3260045.0,0.0,0.0,0.0,0.0,109.0,107.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.0, 03260045,2.3,27.7,2.6,62.1,0.0,0.0,5.2,47.2,52.8,,,,,,,,,,,SCIENCE AND TECH/ENG,88.0,73.0,46.0,38.0,42.0,35.0,29.0,24.0,4.0,3.0,121.0,90.3,,,,,,,     347,1.0,,,,,,,3260045.0,59.0,17.2,4.0,1.2,46.0,13.4,67.0,19.5,13.0,3.8,Westford,John A. Crisafulli Elementary School
Westford - Millennium Elementary,3260013.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0, 03260013,2.7,34.5,2.7,52.7,0.0,0.0,7.3,59.1,40.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     149,0.0,,,,,,,3260013.0,5.0,4.5,0.0,0.0,42.0,38.2,48.0,43.6,15.0,13.6,Westford,Millennium Elementary
Westford - Nabnasset,3260015.0,0.0,89.0,111.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.0, 03260015,0.3,21.9,2.4,71.1,0.0,0.0,4.3,52.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     364,0.0,,,,,,,3260015.0,17.0,5.2,5.0,1.5,38.0,11.6,60.0,18.2,19.0,5.8,Westford,Nabnasset
Westford - Rita E. Miller Elementary School,3260055.0,0.0,99.0,108.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326.0, 03260055,0.9,31.0,3.7,57.7,0.0,0.0,6.7,49.4,50.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     339,0.0,,,,,,,3260055.0,57.0,17.5,23.0,7.1,56.0,17.2,88.0,27.0,20.0,6.1,Westford,Rita E. Miller Elementary School
Westford - Stony Brook School,3260330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.0,251.0,192.0,0.0,0.0,0.0,0.0,0.0,647.0, 03260330,1.1,26.6,0.6,68.9,0.0,0.0,2.8,52.4,47.6,,,,,,,,,,,SCIENCE AND TECH/ENG,170.0,68.0,17.0,7.0,153.0,61.0,61.0,24.0,19.0,8.0,250.0,86.0,,,,,,,     700,32.0,3.3,2.1,0.0,0.0,0.0,,3260330.0,77.0,11.9,1.0,0.2,87.0,13.4,113.0,17.5,38.0,5.9,Westford,Stony Brook School
Westford - Westford Academy,3260505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,447.0,433.0,443.0,388.0,4.0,1715.0, 03260505,0.8,21.3,1.5,72.7,0.0,0.0,3.7,50.7,49.3,409.0,372.0,91.0,0.0,40.6,11.3,48.1,10.8,8.1,16.7,SCIENCE AND TECH/ENG,425.0,97.0,293.0,67.0,132.0,30.0,13.0,3.0,2.0,0.0,440.0,99.1,,,523.0,620.0,,638.0,"   1,684",32.0,1.5,0.5,0.0,0.0,0.0,,3260505.0,192.0,11.2,11.0,0.6,180.0,10.5,258.0,15.0,79.0,4.6,Westford,Westford Academy
