,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,HighSchoolGraduates(Num),AttendingColl./Univ.(Num),AttendingColl./Univ.(Percent),PrivateTwoYear(Percent),PrivateFourYear(Percent),PublicTwoYear(Percent),PublicFourYear(Percent),MACommunityCollege(Percent),MAStateUniversity(Percent),Univ.ofMass.(Percent),Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,W/FNum,W/FPercent,StudentIncluded,CPI,SGP,IncludedInSGP,TestsTaken,Reading/Writing,Writing,Math,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Unnamed:9,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Town,School
West Springfield - 21st Century Skills Academy,3320515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0, 03320515,0.0,0.0,25.0,75.0,0.0,0.0,0.0,50.0,50.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      17,0.0,,,,,,,3320515.0,3.0,37.5,0.0,0.0,3.0,37.5,7.0,87.5,7.0,87.5,West Springfield,21st Century Skills Academy
West Springfield - West Springfield High,3320505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.0,303.0,295.0,294.0,13.0,1234.0, 03320505,3.7,7.3,16.5,70.7,0.0,0.0,1.8,51.5,48.5,235.0,165.0,70.2,0.0,23.0,51.5,25.5,49.1,13.3,6.7,SCIENCE AND TECH/ENG,201.0,76.0,90.0,34.0,111.0,42.0,49.0,19.0,13.0,5.0,263.0,90.3,,,221.0,543.0,,541.0,"   1,274",43.0,0.1,3.3,0.0,0.0,0.0,,3320505.0,379.0,30.7,99.0,8.0,220.0,17.8,623.0,50.5,509.0,41.2,West Springfield,West Springfield High
West Springfield - West Springfield Middle,3320305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296.0,317.0,286.0,0.0,0.0,0.0,0.0,0.0,899.0, 03320305,3.3,7.2,18.7,68.4,0.2,0.0,2.1,54.3,45.7,,,,,,,,,,,SCIENCE AND TECH/ENG,111.0,38.0,10.0,3.0,101.0,35.0,123.0,42.0,56.0,19.0,290.0,70.9,,,,,,,     948,47.0,0.8,4.6,0.0,0.0,0.0,,3320305.0,260.0,28.9,55.0,6.1,164.0,18.2,473.0,52.6,398.0,44.3,West Springfield,West Springfield Middle
West Springfield - Mittineague,3320030.0,0.0,0.0,37.0,32.0,32.0,32.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0, 03320030,4.3,1.2,18.6,71.4,0.0,0.0,4.3,44.7,55.3,,,,,,,,,,,SCIENCE AND TECH/ENG,11.0,33.0,1.0,3.0,10.0,30.0,15.0,45.0,7.0,21.0,33.0,65.9,,,,,,,     172,0.0,,,,,,,3320030.0,15.0,9.3,1.0,0.6,24.0,14.9,86.0,53.4,75.0,46.6,West Springfield,Mittineague
West Springfield - Memorial,3320025.0,0.0,0.0,38.0,45.0,43.0,44.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.0, 03320025,4.6,9.6,27.6,54.0,0.0,0.0,4.2,55.6,44.4,,,,,,,,,,,SCIENCE AND TECH/ENG,18.0,53.0,8.0,24.0,10.0,29.0,14.0,41.0,2.0,6.0,34.0,82.4,,,,,,,     257,1.0,,,,,,,3320025.0,85.0,35.6,7.0,2.9,36.0,15.1,175.0,73.2,155.0,64.9,West Springfield,Memorial
West Springfield - John R Fausey,3320010.0,0.0,0.0,82.0,86.0,92.0,115.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460.0, 03320010,3.5,5.0,16.3,70.9,0.2,0.2,3.9,52.2,47.8,,,,,,,,,,,SCIENCE AND TECH/ENG,70.0,72.0,41.0,42.0,29.0,30.0,19.0,20.0,8.0,8.0,97.0,88.1,,,,,,,     484,4.0,,,,,,,3320010.0,78.0,17.0,9.0,2.0,91.0,19.8,209.0,45.4,164.0,35.7,West Springfield,John R Fausey
West Springfield - Tatham,3320040.0,0.0,2.0,51.0,42.0,50.0,45.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.0, 03320040,0.8,2.9,8.4,83.3,0.0,0.0,4.6,48.5,51.5,,,,,,,,,,,SCIENCE AND TECH/ENG,31.0,57.0,6.0,11.0,25.0,46.0,21.0,39.0,2.0,4.0,54.0,82.9,,,,,,,     234,2.0,,,,,,,3320040.0,20.0,8.4,4.0,1.7,34.0,14.2,98.0,41.0,76.0,31.8,West Springfield,Tatham
West Springfield - Philip G Coburn,3320007.0,0.0,46.0,118.0,99.0,110.0,72.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,518.0, 03320007,5.4,15.8,16.0,60.0,0.0,0.0,2.7,48.3,51.7,,,,,,,,,,,SCIENCE AND TECH/ENG,15.0,24.0,4.0,6.0,11.0,18.0,29.0,47.0,18.0,29.0,62.0,66.1,,,,,,,     559,3.0,,,,,,,3320007.0,333.0,64.3,252.0,48.6,58.0,11.2,438.0,84.6,361.0,69.7,West Springfield,Philip G Coburn
West Springfield - John Ashley,3320005.0,0.0,234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0, 03320005,1.7,6.4,17.9,70.9,0.0,0.0,3.0,46.2,53.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     239,2.0,,,,,,,3320005.0,38.0,16.2,8.0,3.4,31.0,13.2,117.0,50.0,98.0,41.9,West Springfield,John Ashley
West Springfield - Cowing Early Childhood,3320001.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0, 03320001,7.4,10.7,19.7,58.2,0.0,0.0,4.1,60.7,39.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     155,0.0,,,,,,,3320001.0,47.0,38.5,0.0,0.0,64.0,52.5,96.0,78.7,73.0,59.8,West Springfield,Cowing Early Childhood
