,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,HighSchoolGraduates(Num),AttendingColl./Univ.(Num),AttendingColl./Univ.(Percent),PrivateTwoYear(Percent),PrivateFourYear(Percent),PublicTwoYear(Percent),PublicFourYear(Percent),MACommunityCollege(Percent),MAStateUniversity(Percent),Univ.ofMass.(Percent),Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,W/FNum,W/FPercent,StudentIncluded,CPI,SGP,IncludedInSGP,TestsTaken,Reading/Writing,Writing,Math,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Unnamed:9,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Town,School
Weymouth - Abigail Adams Middle School,3360310.0,0.0,0.0,0.0,0.0,0.0,0.0,437.0,469.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,906.0, 03360310,7.2,4.3,10.0,74.7,0.3,0.1,3.3,48.9,51.1,,,,,,,,,,,SCIENCE AND TECH/ENG,172.0,37.0,51.0,11.0,121.0,26.0,226.0,49.0,67.0,14.0,465.0,70.1,,,,,,,     972,66.0,6.4,2.3,0.0,0.0,0.0,,3360310.0,101.0,11.1,14.0,1.5,166.0,18.3,387.0,42.7,287.0,31.7,Weymouth,Abigail Adams Middle School
Weymouth - Academy Avenue,3360005.0,0.0,52.0,67.0,49.0,60.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.0, 03360005,3.6,7.2,10.1,74.9,0.0,0.0,4.2,51.5,48.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     330,0.0,,,,,,,3360005.0,61.0,19.9,35.0,11.4,41.0,13.4,123.0,40.1,76.0,24.8,Weymouth,Academy Avenue
Weymouth - Frederick C Murphy,3360050.0,0.0,43.0,45.0,50.0,48.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.0, 03360050,6.5,1.2,8.9,76.0,0.0,0.0,7.3,52.4,47.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     247,2.0,,,,,,,3360050.0,11.0,4.5,1.0,0.4,55.0,22.4,98.0,39.8,70.0,28.5,Weymouth,Frederick C Murphy
Weymouth - Johnson Early Childhood Center,3360003.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.0, 03360003,4.7,13.5,6.7,69.9,0.5,0.0,4.7,56.5,43.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     253,0.0,,,,,,,3360003.0,23.0,11.9,4.0,2.1,89.0,46.1,107.0,55.4,51.0,26.4,Weymouth,Johnson Early Childhood Center
Weymouth - Lawrence W Pingree,3360065.0,0.0,37.0,36.0,44.0,41.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.0, 03360065,5.7,4.7,5.2,79.8,0.5,0.0,4.1,46.6,53.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     233,0.0,,,,,,,3360065.0,5.0,2.6,1.0,0.5,38.0,19.7,75.0,38.9,56.0,29.0,Weymouth,Lawrence W Pingree
Weymouth - Maria Weston Chapman Middle School,3360020.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,419.0,458.0,0.0,0.0,0.0,0.0,0.0,882.0, 03360020,6.1,4.9,7.3,77.4,0.2,0.2,3.9,52.8,47.1,,,,,,,,,,,SCIENCE AND TECH/ENG,138.0,33.0,4.0,1.0,134.0,32.0,203.0,48.0,78.0,19.0,419.0,68.7,,,,,,,     943,88.0,6.6,5.7,0.0,0.0,0.0,,3360020.0,69.0,7.8,18.0,2.0,155.0,17.6,346.0,39.2,244.0,27.7,Weymouth,Maria Weston Chapman Middle School
Weymouth - Ralph Talbot,3360085.0,0.0,38.0,50.0,56.0,58.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.0, 03360085,7.3,8.9,10.5,71.0,0.0,0.4,2.0,55.2,44.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     292,0.0,,,,,,,3360085.0,41.0,16.5,25.0,10.1,50.0,20.2,116.0,46.8,73.0,29.4,Weymouth,Ralph Talbot
Weymouth - Thomas V Nash,3360060.0,0.0,27.0,35.0,47.0,41.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0, 03360060,4.4,4.9,5.9,80.3,0.0,0.0,4.4,43.3,56.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     236,1.0,,,,,,,3360060.0,8.0,3.9,1.0,0.5,39.0,19.2,76.0,37.4,50.0,24.6,Weymouth,Thomas V Nash
Weymouth - Thomas W. Hamilton Primary School,3360105.0,0.0,72.0,64.0,76.0,61.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.0, 03360105,3.4,12.3,11.4,66.7,1.1,0.0,5.1,50.4,49.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     361,0.0,,,,,,,3360105.0,59.0,16.8,24.0,6.8,48.0,13.7,138.0,39.3,70.0,19.9,Weymouth,Thomas W. Hamilton Primary School
Weymouth - Wessagusset,3360110.0,0.0,57.0,54.0,52.0,62.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279.0, 03360110,1.8,5.7,7.2,80.3,0.4,0.0,4.7,53.8,46.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     300,0.0,,,,,,,3360110.0,19.0,6.8,0.0,0.0,35.0,12.5,88.0,31.5,63.0,22.6,Weymouth,Wessagusset
Weymouth - Weymouth High School,3360505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495.0,476.0,456.0,469.0,4.0,1900.0, 03360505,5.2,4.9,7.9,79.2,0.1,0.0,2.7,51.5,48.5,461.0,289.0,62.7,1.0,28.7,28.4,41.9,27.0,18.0,15.9,SCIENCE AND TECH/ENG,340.0,79.0,153.0,36.0,187.0,43.0,71.0,17.0,19.0,4.0,430.0,91.6,,,443.0,549.0,,533.0,"   2,015",288.0,12.8,4.6,0.0,0.0,0.0,,3360505.0,164.0,8.6,41.0,2.2,278.0,14.6,669.0,35.2,474.0,24.9,Weymouth,Weymouth High School
Weymouth - William Seach,3360080.0,0.0,57.0,70.0,61.0,65.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318.0, 03360080,20.1,9.4,16.4,48.4,0.3,0.0,5.3,52.2,47.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     371,10.0,2.7,0.5,0.0,0.0,0.0,,3360080.0,86.0,27.0,53.0,16.7,45.0,14.2,229.0,72.0,181.0,56.9,Weymouth,William Seach
