,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,HighSchoolGraduates(Num),AttendingColl./Univ.(Num),AttendingColl./Univ.(Percent),PrivateTwoYear(Percent),PrivateFourYear(Percent),PublicTwoYear(Percent),PublicFourYear(Percent),MACommunityCollege(Percent),MAStateUniversity(Percent),Univ.ofMass.(Percent),Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,W/FNum,W/FPercent,StudentIncluded,CPI,SGP,IncludedInSGP,TestsTaken,Reading/Writing,Writing,Math,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Unnamed:9,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Town,School
Woburn - Woburn High,3470505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297.0,314.0,355.0,351.0,0.0,1317.0, 03470505,7.2,6.0,12.5,72.8,0.1,0.1,1.4,49.2,50.8,300.0,229.0,76.3,0.0,34.9,24.9,40.2,24.5,15.3,17.9,SCIENCE AND TECH/ENG,265.0,84.0,131.0,41.0,134.0,42.0,38.0,12.0,13.0,4.0,316.0,93.3,,,383.0,549.0,,557.0,"   1,386",23.0,0.4,1.4,0.0,0.0,0.0,,3470505.0,250.0,19.0,88.0,6.7,207.0,15.7,494.0,37.5,311.0,23.6,Woburn,Woburn High
Woburn - John F Kennedy Middle School,3470405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,147.0,186.0,0.0,0.0,0.0,0.0,0.0,483.0, 03470405,6.4,7.5,9.1,74.1,0.8,0.0,2.1,46.6,53.4,,,,,,,,,,,SCIENCE AND TECH/ENG,41.0,25.0,2.0,1.0,39.0,24.0,92.0,56.0,31.0,19.0,164.0,65.1,,,,,,,     527,20.0,0.0,3.8,0.0,0.0,0.0,,3470405.0,75.0,15.5,19.0,3.9,82.0,17.0,210.0,43.5,141.0,29.2,Woburn,John F Kennedy Middle School
Woburn - Daniel L Joyce Middle School,3470410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,159.0,184.0,0.0,0.0,0.0,0.0,0.0,524.0, 03470410,6.1,4.8,8.8,76.9,0.6,0.2,2.7,50.2,49.8,,,,,,,,,,,SCIENCE AND TECH/ENG,64.0,42.0,5.0,3.0,59.0,39.0,67.0,44.0,21.0,14.0,152.0,74.5,,,,,,,     519,6.0,0.2,1.0,0.0,0.0,0.0,,3470410.0,66.0,12.6,14.0,2.7,95.0,18.1,205.0,39.1,125.0,23.9,Woburn,Daniel L Joyce Middle School
Woburn - Wyman,3470060.0,0.0,28.0,29.0,34.0,38.0,18.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0, 03470060,1.1,9.3,9.3,78.0,0.0,0.0,2.2,47.8,52.2,,,,,,,,,,,SCIENCE AND TECH/ENG,12.0,43.0,3.0,11.0,9.0,32.0,16.0,57.0,0.0,0.0,28.0,82.1,,,,,,,     185,0.0,,,,,,,3470060.0,23.0,12.6,5.0,2.7,14.0,7.7,54.0,29.7,40.0,22.0,Woburn,Wyman
Woburn - Linscott-Rumford,3470025.0,0.0,32.0,42.0,32.0,31.0,27.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0, 03470025,9.2,18.8,4.3,62.8,0.5,0.0,4.3,44.9,55.1,,,,,,,,,,,SCIENCE AND TECH/ENG,20.0,61.0,10.0,30.0,10.0,30.0,12.0,36.0,1.0,3.0,33.0,84.1,,,,,,,     228,0.0,,,,,,,3470025.0,55.0,26.6,12.0,5.8,23.0,11.1,90.0,43.5,67.0,32.4,Woburn,Linscott-Rumford
Woburn - Mary D Altavesta,3470065.0,0.0,35.0,41.0,51.0,45.0,43.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.0, 03470065,11.7,21.0,14.5,45.6,2.4,0.8,4.0,54.0,46.0,,,,,,,,,,,SCIENCE AND TECH/ENG,20.0,65.0,11.0,35.0,9.0,29.0,9.0,29.0,2.0,6.0,31.0,84.7,,,,,,,     265,0.0,,,,,,,3470065.0,92.0,37.1,38.0,15.3,32.0,12.9,119.0,48.0,70.0,28.2,Woburn,Mary D Altavesta
Woburn - Goodyear Elementary School,3470005.0,0.0,36.0,53.0,49.0,51.0,59.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.0, 03470005,8.8,3.9,5.5,76.2,1.0,0.3,4.2,56.0,44.0,,,,,,,,,,,SCIENCE AND TECH/ENG,34.0,60.0,11.0,19.0,23.0,40.0,17.0,30.0,6.0,11.0,57.0,81.6,,,,,,,     341,0.0,,,,,,,3470005.0,39.0,12.7,17.0,5.5,37.0,12.1,149.0,48.5,112.0,36.5,Woburn,Goodyear Elementary School
Woburn - Daniel P Hurld,3470020.0,0.0,38.0,39.0,33.0,33.0,28.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0, 03470020,2.3,5.1,1.9,89.3,0.0,0.0,1.4,48.8,51.2,,,,,,,,,,,SCIENCE AND TECH/ENG,11.0,32.0,2.0,6.0,9.0,26.0,19.0,56.0,4.0,12.0,34.0,68.4,,,,,,,     210,0.0,,,,,,,3470020.0,22.0,10.2,16.0,7.4,14.0,6.5,54.0,25.1,31.0,14.4,Woburn,Daniel P Hurld
Woburn - Malcolm White,3470055.0,0.0,59.0,45.0,55.0,51.0,58.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.0, 03470055,6.8,4.3,10.5,72.2,0.9,0.3,4.9,44.8,55.2,,,,,,,,,,,SCIENCE AND TECH/ENG,20.0,43.0,7.0,15.0,13.0,28.0,22.0,47.0,5.0,11.0,47.0,77.7,,,,,,,     339,0.0,,,,,,,3470055.0,66.0,20.4,33.0,10.2,27.0,8.3,148.0,45.7,118.0,36.4,Woburn,Malcolm White
Woburn - Clyde Reeves,3470040.0,42.0,53.0,67.0,55.0,58.0,82.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429.0, 03470040,7.2,5.6,4.7,77.9,0.2,0.0,4.4,49.0,51.0,,,,,,,,,,,SCIENCE AND TECH/ENG,49.0,67.0,22.0,30.0,27.0,37.0,21.0,29.0,3.0,4.0,73.0,86.3,,,,,,,     473,0.0,,,,,,,3470040.0,53.0,12.4,46.0,10.7,49.0,11.4,141.0,32.9,79.0,18.4,Woburn,Clyde Reeves
