,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,HighSchoolGraduates(Num),AttendingColl./Univ.(Num),AttendingColl./Univ.(Percent),PrivateTwoYear(Percent),PrivateFourYear(Percent),PublicTwoYear(Percent),PublicFourYear(Percent),MACommunityCollege(Percent),MAStateUniversity(Percent),Univ.ofMass.(Percent),Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,W/FNum,W/FPercent,StudentIncluded,CPI,SGP,IncludedInSGP,TestsTaken,Reading/Writing,Writing,Math,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Unnamed:9,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Town,School
Worcester - Burncoat Senior High,3480503.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,269.0,270.0,229.0,16.0,1034.0, 03480503,19.1,5.4,40.5,30.3,0.1,0.0,4.5,51.3,48.7,218.0,149.0,68.3,0.0,15.4,48.3,36.2,47.0,18.8,14.8,SCIENCE AND TECH/ENG,116.0,55.0,25.0,12.0,91.0,43.0,70.0,33.0,25.0,12.0,211.0,80.0,,,252.0,476.0,,477.0,"   1,123",143.0,0.0,11.6,0.0,0.0,5.1,,3480503.0,501.0,48.5,291.0,28.1,249.0,24.1,756.0,73.1,597.0,57.7,Worcester,Burncoat Senior High
Worcester - North High,3480515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341.0,302.0,304.0,332.0,13.0,1292.0, 03480515,22.4,7.1,48.1,18.4,0.3,0.0,3.6,51.4,48.6,281.0,153.0,54.4,0.0,11.8,63.4,24.8,62.7,16.3,5.9,SCIENCE AND TECH/ENG,84.0,42.0,13.0,7.0,71.0,36.0,85.0,43.0,30.0,15.0,199.0,73.7,,,343.0,446.0,,441.0,"   1,477",231.0,4.8,3.4,0.0,0.0,13.0,,3480515.0,772.0,59.8,411.0,31.8,315.0,24.4,1073.0,83.0,866.0,67.0,Worcester,North High
Worcester - South High Community,3480520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363.0,363.0,346.0,313.0,22.0,1407.0, 03480520,16.0,13.3,45.1,22.7,0.1,0.0,2.8,52.0,48.0,274.0,166.0,60.6,0.0,14.5,49.4,36.1,45.8,20.5,14.5,SCIENCE AND TECH/ENG,141.0,58.0,44.0,18.0,97.0,40.0,73.0,30.0,28.0,12.0,242.0,80.6,,,328.0,471.0,,481.0,"   1,568",195.0,8.7,4.4,0.0,0.0,5.5,,3480520.0,820.0,58.3,435.0,30.9,324.0,23.0,1081.0,76.8,859.0,61.1,Worcester,South High Community
Worcester - Worcester Technical High,3480605.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380.0,346.0,328.0,335.0,0.0,1389.0, 03480605,16.3,6.1,37.1,36.9,0.1,0.0,3.6,45.4,54.6,338.0,227.0,67.2,0.0,20.3,52.0,27.8,51.1,22.5,4.0,SCIENCE AND TECH/ENG,260.0,82.0,77.0,24.0,183.0,57.0,56.0,18.0,3.0,1.0,319.0,93.4,,,548.0,488.0,,484.0,"   1,403",41.0,1.9,1.2,0.0,0.0,0.4,,3480605.0,612.0,44.1,112.0,8.1,158.0,11.4,811.0,58.4,631.0,45.4,Worcester,Worcester Technical High
Worcester - Doherty Memorial High,3480512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,383.0,431.0,350.0,386.0,9.0,1559.0, 03480512,16.2,7.5,30.6,41.2,0.3,0.0,4.2,54.1,45.9,303.0,228.0,75.2,0.0,20.2,32.5,47.4,31.1,23.7,19.7,SCIENCE AND TECH/ENG,204.0,70.0,86.0,30.0,118.0,41.0,64.0,22.0,23.0,8.0,291.0,86.5,,,506.0,497.0,,511.0,"   1,689",238.0,11.0,6.9,0.0,0.0,0.2,,3480512.0,759.0,48.7,306.0,19.6,263.0,16.9,900.0,57.7,696.0,44.6,Worcester,Doherty Memorial High
Worcester - University Pk Campus School,3480285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,44.0,36.0,41.0,36.0,38.0,0.0,239.0, 03480285,11.7,23.0,51.9,10.0,0.4,0.0,2.9,53.6,46.4,29.0,21.0,72.4,0.0,52.4,23.8,23.8,23.8,9.5,9.5,SCIENCE AND TECH/ENG,36.0,47.0,11.0,14.0,25.0,32.0,23.0,30.0,18.0,23.0,77.0,69.2,,,67.0,478.0,,489.0,     257,38.0,1.6,12.5,0.0,0.0,2.7,,3480285.0,173.0,72.4,53.0,22.2,29.0,12.1,180.0,75.3,145.0,60.7,Worcester,University Pk Campus School
Worcester - Claremont Academy,3480350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,95.0,88.0,102.0,92.0,89.0,0.0,552.0, 03480350,8.7,8.5,75.2,6.5,0.0,0.0,1.1,50.5,49.5,54.0,32.0,59.3,0.0,28.1,53.1,18.8,50.0,18.8,0.0,SCIENCE AND TECH/ENG,25.0,19.0,1.0,1.0,24.0,18.0,62.0,47.0,46.0,35.0,133.0,54.9,,,106.0,439.0,,440.0,     599,45.0,0.7,5.2,0.0,0.0,3.5,,3480350.0,437.0,79.2,215.0,38.9,66.0,12.0,471.0,85.3,394.0,71.4,Worcester,Claremont Academy
Worcester - Burncoat Middle School,3480405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.0,288.0,0.0,0.0,0.0,0.0,0.0,623.0, 03480405,15.6,3.7,42.2,32.9,0.0,0.0,5.6,49.9,50.1,,,,,,,,,,,SCIENCE AND TECH/ENG,67.0,28.0,2.0,1.0,65.0,27.0,113.0,47.0,63.0,26.0,243.0,61.0,,,,,,,     595,56.0,0.7,8.2,0.0,0.0,1.8,,3480405.0,276.0,44.3,117.0,18.8,140.0,22.5,424.0,68.1,354.0,56.8,Worcester,Burncoat Middle School
Worcester - Forest Grove Middle,3480415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,486.0,492.0,0.0,0.0,0.0,0.0,0.0,978.0, 03480415,12.5,5.1,35.4,42.1,0.1,0.0,4.8,50.8,49.2,,,,,,,,,,,SCIENCE AND TECH/ENG,142.0,30.0,5.0,1.0,137.0,29.0,216.0,46.0,115.0,24.0,473.0,64.7,,,,,,,"   1,054",138.0,0.3,8.3,0.0,0.0,9.6,,3480415.0,471.0,48.2,211.0,21.6,172.0,17.6,627.0,64.1,474.0,48.5,Worcester,Forest Grove Middle
Worcester - Sullivan Middle,3480423.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,424.0,393.0,0.0,0.0,0.0,0.0,0.0,865.0, 03480423,14.6,10.8,44.4,25.7,0.2,0.0,4.4,51.7,48.3,,,,,,,,,,,SCIENCE AND TECH/ENG,89.0,25.0,12.0,3.0,77.0,22.0,110.0,31.0,158.0,44.0,357.0,57.6,,,,,,,     938,145.0,4.8,7.9,0.0,0.0,9.9,,3480423.0,471.0,54.5,215.0,24.9,159.0,18.4,636.0,73.5,517.0,59.8,Worcester,Sullivan Middle
