RegionType,RegionName,StateName,MSAName,AllHomes_Tier1,AllHomes_Tier2,AllHomes_Tier3,AllHomes_AllTiers,UWHomes_Tier1,UWHomes_Tier2,UWHomes_Tier3,UWHomes_AllTiers,UWHomes_TotalValue_Tier1,UWHomes_TotalValue_Tier2,UWHomes_TotalValue_Tier3,UWHomes_TotalValue_AllTiers,UWHomes_MedianValue_AllTiers,AllHomes_Tier1_ShareUW,AllHomes_Tier2_ShareUW,AllHomes_Tier3_ShareUW,AllHomes_AllTiers_ShareUW,UWHomes_ShareInTier1,UWHomes_ShareInTier2,UWHomes_ShareInTier3
Nation,United States,NA,NA,35461549,35452941,35484532,106399022,594672,542681,725955,1863308,122991900758,195513109667,597449352579,915954363004,310306,0.01676948742425211,0.015307079883725302,0.02045835069770682,0.017512454202821527,0.3191485250962267,0.2912459990511499,0.3896054758526234
State,Alabama,Alabama,NA,546670,520247,491300,1558217,2890,2766,5046,10702,365986699,629176919,2583039495,3578203113,270254,0.005286553130773593,0.005316705334197026,0.010270710360268675,0.006868106303550789,0.27004298262007104,0.25845636329658006,0.4715006540833489
State,California,California,NA,3060171,3076238,3169584,9305993,8090,14266,17783,40139,4859725390,12969249624,26666381753,44495356767,860373,0.002643643116675506,0.004637482535486526,0.005610515449346034,0.004313242015118644,0.2015496150875707,0.3554149331074516,0.4430354518049777
State,Connecticut,Connecticut,NA,333904,334688,336254,1004846,4434,3807,7289,15530,1024758399,1807460170,8689479570,11521698139,442036,0.013279265896784704,0.011374772922841572,0.02167706555163656,0.015455104563286314,0.2855119124275596,0.2451384417256922,0.4693496458467482
State,Delaware,Delaware,NA,102983,127573,127983,358539,4105,2574,3286,9965,615890421,687943979,1498012532,2801846932,241344.5,0.039860947923443676,0.02017668315395891,0.025675284998788902,0.02779335023526032,0.4119417962870045,0.25830406422478674,0.32975413948820875
State,Florida,Florida,NA,2391491,2435575,2456637,7283703,313090,263276,331817,908183,53776974685,84327562563,278243647354,416348184602,276690,0.13091832668406447,0.10809603481724028,0.1350696093887701,0.1246869895711014,0.34474329512884516,0.2898931162552041,0.36536358861595075
State,Georgia,Georgia,NA,1003890,986416,920843,2911149,5433,6904,9831,22168,1143841779,2318976705,6102691239,9565509723,295405,0.00541194752413113,0.006999075440787659,0.010676087020262955,0.007614862722588229,0.24508300252616383,0.31143991338866833,0.4434770840851678
State,Hawaii,Hawaii,NA,132718,132760,139397,404875,16716,12536,7201,36453,5861105917,7957929785,11347781227,25166816929,500666,0.1259512650883829,0.09442603193733053,0.05165821359139723,0.09003519604816301,0.4585630812278825,0.3438948783364881,0.19754204043562945
State,Louisiana,Louisiana,NA,439606,424665,417773,1282044,25678,23280,25237,74195,2767882743,3568865248,6755053878,13091801869,149888,0.05841139565883996,0.054819681395923844,0.06040840360674338,0.0578724287153951,0.3460880113215176,0.31376777410876744,0.34014421456971494
State,Massachusetts,Massachusetts,NA,610378,611776,611920,1834074,16830,16491,24935,58256,5994030087,9525942056,34367948613,49887920756,582126,0.027573077666626256,0.02695594465948321,0.04074879069159367,0.03176316768025718,0.28889728096676737,0.2830781378742104,0.42802458115902225
State,Maryland,Maryland,NA,654264,683706,701183,2039153,17770,18312,25466,61548,2705831641,4245809177,12101180742,19052821560,246266,0.027160290035826515,0.026783442005774413,0.03631862152961495,0.030183120148414563,0.2887177487489439,0.2975238837980113,0.4137583674530448
State,Maine,Maine,NA,134505,134284,137197,405986,593,962,3024,4579,107627974,299466370,2132161471,2539255815,457768,0.004408758038734619,0.007163921241547765,0.02204129827911689,0.011278714044326652,0.12950425857174055,0.21008953920069884,0.6604062022275606
State,Mississippi,Mississippi,NA,256076,245298,239117,740491,1382,1618,2324,5324,97948864,185605914,602039997,885594775,129395,0.005396835314516003,0.006596058671493449,0.009719091490776481,0.007189824049178181,0.2595792637114951,0.30390683696468823,0.4365138993238167
State,North Carolina,North Carolina,NA,1100343,1089319,1045562,3235224,15113,15608,22517,53238,2597176266,4473007155,12479813258,19549996679,273856,0.013734808146187143,0.014328217904947954,0.021535786495683662,0.01645573845891351,0.2838761786693715,0.2931740486118938,0.42294977271873474
State,New Hampshire,New Hampshire,NA,166262,166350,166572,499184,1444,780,1333,3557,259073626,331450182,1067336924,1657860732,355053,0.008685087392188233,0.004688908926961226,0.008002545445813221,0.0071256290265713645,0.4059600787180208,0.21928591509699186,0.37475400618498733
State,New Jersey,New Jersey,NA,843411,853312,852376,2549099,58500,55897,65713,180110,16980012356,26057725257,51944171752,94981909365,387284.5,0.06936120112258436,0.06550593452336309,0.0770939116070842,0.07065633778837149,0.3248015101882183,0.31034923102548445,0.36484925878629726
